cell_id,Terpsiphone mutata,Terpsiphone mutata [mutata Group],Terpsiphone mutata vulpina/voeltzkowiana,Terpsiphone mutata comorensis
82a207fffffffff,2.0,0.0,0.0,0.0
82a217fffffffff,401.0,185.0,0.0,0.0
82a227fffffffff,370.0,139.0,0.0,0.0
82a237fffffffff,602.0,237.0,0.0,0.0
82a2a7fffffffff,307.0,136.0,0.0,0.0
82a2affffffffff,28.0,10.0,0.0,0.0
82a307fffffffff,26.0,0.0,0.0,0.0
82a30ffffffffff,126.0,26.0,0.0,0.0
82a31ffffffffff,422.0,196.0,0.0,0.0
82a337fffffffff,47.0,0.0,0.0,0.0
82a357fffffffff,140.0,52.0,0.0,0.0
82a377fffffffff,35.0,13.0,0.0,0.0
82a38ffffffffff,111.0,43.0,0.0,0.0
82a39ffffffffff,213.0,99.0,0.0,0.0
82a3affffffffff,27.0,14.0,0.0,0.0
