cell_id,Pachycephala melanura,Pachycephala melanura dammeriana,Pachycephala melanura [melanura Group]
837791fffffffff,1.0,0.0,0.0
839418fffffffff,6.0,0.0,0.0
839419fffffffff,5.0,0.0,0.0
83941afffffffff,9.0,0.0,0.0
83941bfffffffff,1.0,0.0,0.0
839450fffffffff,95.0,0.0,0.0
839451fffffffff,193.0,0.0,0.0
839453fffffffff,14.0,0.0,0.0
839455fffffffff,2.0,0.0,0.0
83945efffffffff,2.0,0.0,0.0
839480fffffffff,235.0,0.0,0.0
839485fffffffff,2.0,0.0,0.0
839490fffffffff,1.0,0.0,0.0
839496fffffffff,2.0,0.0,0.0
8394a9fffffffff,3.0,0.0,0.0
8394aafffffffff,1.0,0.0,0.0
8394aefffffffff,47.0,0.0,0.0
8394e2fffffffff,16.0,0.0,0.0
839558fffffffff,13.0,13.0,0.0
839c19fffffffff,4.0,0.0,0.0
839c43fffffffff,7.0,0.0,0.0
839c58fffffffff,12.0,0.0,0.0
839c5dfffffffff,4.0,0.0,0.0
839c74fffffffff,25.0,0.0,0.0
839c75fffffffff,6.0,0.0,0.0
839c90fffffffff,65.0,0.0,0.0
839caafffffffff,1.0,0.0,0.0
839cb5fffffffff,2.0,0.0,0.0
839cf0fffffffff,2.0,0.0,0.0
839cf1fffffffff,2.0,0.0,0.0
839cf3fffffffff,2.0,0.0,0.0
839cf5fffffffff,26.0,0.0,0.0
839d9bfffffffff,3.0,0.0,0.0
83a610fffffffff,3.0,0.0,0.0
83a612fffffffff,2.0,0.0,0.0
83a6a5fffffffff,4.0,0.0,0.0
83a6a6fffffffff,11.0,0.0,0.0
83a79afffffffff,12.0,0.0,0.0
83a79bfffffffff,1.0,0.0,0.0
