cell_id,Rallus obsoletus,Rallus obsoletus obsoletus,Rallus obsoletus levipes,Rallus obsoletus beldingi,Rallus obsoletus yumanensis
822837fffffffff,4116.0,756.0,0.0,0.0,0.0
822917fffffffff,3.0,0.0,0.0,0.0,0.0
822987fffffffff,9.0,0.0,0.0,0.0,0.0
8229a7fffffffff,6004.0,0.0,1150.0,0.0,29.0
8229b7fffffffff,320.0,0.0,0.0,0.0,69.0
824807fffffffff,102.0,0.0,0.0,0.0,0.0
82480ffffffffff,89.0,0.0,0.0,0.0,2.0
824827fffffffff,3.0,0.0,0.0,1.0,0.0
82482ffffffffff,120.0,0.0,0.0,10.0,0.0
824837fffffffff,366.0,0.0,0.0,0.0,5.0
824847fffffffff,10.0,0.0,0.0,0.0,0.0
824857fffffffff,59.0,0.0,0.0,0.0,2.0
82485ffffffffff,1685.0,0.0,9.0,0.0,261.0
824877fffffffff,51.0,0.0,0.0,1.0,0.0
8249affffffffff,8.0,0.0,0.0,0.0,0.0
