cell_id,Platyrinchus mystaceus,Platyrinchus mystaceus [albogularis Group],Platyrinchus mystaceus [mystaceus Group]
835f5bfffffffff,79.0,0.0,0.0
836613fffffffff,3.0,0.0,0.0
836675fffffffff,4.0,0.0,0.0
8366a0fffffffff,3.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366b5fffffffff,4.0,0.0,0.0
8366d3fffffffff,9.0,0.0,0.0
8366defffffffff,4.0,4.0,0.0
83674afffffffff,1.0,0.0,0.0
836751fffffffff,3.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0
83675efffffffff,3.0,0.0,0.0
83679afffffffff,1.0,0.0,0.0
836d68fffffffff,3.0,0.0,0.0
838036fffffffff,1.0,0.0,1.0
838140fffffffff,4.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0
838b6efffffffff,7.0,0.0,0.0
838b75fffffffff,5.0,0.0,0.0
838f0dfffffffff,2.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
83a950fffffffff,3.0,0.0,0.0
83a953fffffffff,11.0,0.0,0.0
83a971fffffffff,4.0,0.0,0.0
