cell_id,Piaya cayana,Piaya cayana mexicana,Piaya cayana thermophila,Piaya cayana nigricrissa,Piaya cayana [cayana Group]
8445019ffffffff,2.0,0.0,0.0,0.0,0.0
8445083ffffffff,2.0,0.0,0.0,0.0,0.0
844509bffffffff,3.0,0.0,3.0,0.0,0.0
84450c1ffffffff,4.0,0.0,0.0,0.0,0.0
8445201ffffffff,3.0,0.0,0.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0,0.0,0.0
844520dffffffff,10.0,0.0,0.0,0.0,0.0
8445215ffffffff,2.0,0.0,0.0,0.0,0.0
8445217ffffffff,1.0,0.0,0.0,0.0,0.0
8445233ffffffff,3.0,0.0,0.0,0.0,0.0
8445281ffffffff,9.0,0.0,8.0,0.0,0.0
84452e5ffffffff,4.0,0.0,0.0,0.0,0.0
84452ebffffffff,2.0,0.0,0.0,0.0,0.0
84480adffffffff,1.0,0.0,0.0,0.0,0.0
8448333ffffffff,1.0,1.0,0.0,0.0,0.0
8448337ffffffff,23.0,5.0,0.0,0.0,0.0
8448363ffffffff,1.0,1.0,0.0,0.0,0.0
8448369ffffffff,5.0,5.0,0.0,0.0,0.0
8449811ffffffff,1.0,0.0,0.0,0.0,0.0
8449869ffffffff,9.0,9.0,0.0,0.0,0.0
84498c7ffffffff,1.0,0.0,0.0,0.0,0.0
8449903ffffffff,1.0,0.0,1.0,0.0,0.0
8449917ffffffff,1.0,0.0,1.0,0.0,0.0
844991dffffffff,2.0,0.0,2.0,0.0,0.0
8449959ffffffff,2.0,0.0,0.0,0.0,0.0
8449961ffffffff,4.0,0.0,0.0,0.0,0.0
8449963ffffffff,3.0,0.0,0.0,0.0,0.0
8449965ffffffff,7.0,0.0,0.0,0.0,0.0
8449969ffffffff,2.0,0.0,1.0,0.0,0.0
844996bffffffff,5.0,0.0,0.0,0.0,0.0
8449981ffffffff,3.0,0.0,3.0,0.0,0.0
8449987ffffffff,4.0,0.0,4.0,0.0,0.0
8449a2bffffffff,1.0,1.0,0.0,0.0,0.0
8449a89ffffffff,2.0,2.0,0.0,0.0,0.0
8449b21ffffffff,3.0,3.0,0.0,0.0,0.0
8449b33ffffffff,2.0,2.0,0.0,0.0,0.0
845f161ffffffff,2.0,0.0,0.0,0.0,2.0
845f583ffffffff,7.0,0.0,0.0,0.0,7.0
845f5b9ffffffff,4.0,0.0,0.0,0.0,4.0
8466005ffffffff,2.0,0.0,0.0,2.0,0.0
8466081ffffffff,2.0,0.0,0.0,0.0,0.0
846608dffffffff,2.0,0.0,0.0,0.0,0.0
84660c7ffffffff,3.0,0.0,0.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0,0.0,0.0
846619dffffffff,6.0,0.0,0.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0,0.0,0.0
8466a39ffffffff,2.0,0.0,0.0,0.0,0.0
8466b0bffffffff,2.0,0.0,0.0,0.0,0.0
8466b47ffffffff,2.0,0.0,2.0,0.0,0.0
8466b49ffffffff,1.0,0.0,1.0,0.0,0.0
8466b4dffffffff,5.0,0.0,1.0,0.0,0.0
8466b55ffffffff,4.0,0.0,0.0,0.0,0.0
8466c21ffffffff,7.0,0.0,0.0,0.0,7.0
8466c2dffffffff,1.0,0.0,0.0,0.0,1.0
8466d35ffffffff,4.0,0.0,0.0,4.0,0.0
8466dc7ffffffff,2.0,0.0,0.0,0.0,0.0
8466dcbffffffff,1.0,0.0,0.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0,0.0
8466de3ffffffff,4.0,0.0,0.0,0.0,0.0
8466e65ffffffff,1.0,0.0,0.0,0.0,1.0
8466e6dffffffff,6.0,0.0,0.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0,0.0,0.0
8466f1dffffffff,3.0,0.0,0.0,0.0,1.0
8467413ffffffff,12.0,0.0,0.0,0.0,0.0
84674c5ffffffff,5.0,0.0,0.0,0.0,0.0
8467519ffffffff,2.0,0.0,0.0,0.0,0.0
