cell_id,Urocissa whiteheadi,Urocissa whiteheadi xanthomelana,Urocissa whiteheadi whiteheadi
834052fffffffff,1.0,0.0,0.0
8340e5fffffffff,1.0,0.0,0.0
834141fffffffff,1.0,0.0,0.0
834142fffffffff,1.0,0.0,0.0
834143fffffffff,85.0,17.0,0.0
834151fffffffff,1.0,0.0,0.0
834153fffffffff,6.0,0.0,0.0
834158fffffffff,5.0,0.0,0.0
83415afffffffff,3.0,0.0,0.0
83415efffffffff,126.0,22.0,0.0
834160fffffffff,2.0,0.0,0.0
834161fffffffff,5.0,0.0,0.0
834165fffffffff,23.0,4.0,0.0
83416efffffffff,16.0,8.0,0.0
834171fffffffff,47.0,0.0,23.0
836934fffffffff,31.0,5.0,0.0
836936fffffffff,1.0,0.0,0.0
