cell_id,Myiothlypis luteoviridis,Myiothlypis luteoviridis [luteoviridis Group],Myiothlypis luteoviridis striaticeps,Myiothlypis luteoviridis euophrys
8466089ffffffff,13.0,0.0,0.0,0.0
846608dffffffff,4.0,0.0,0.0,0.0
8466095ffffffff,2.0,0.0,0.0,0.0
846609dffffffff,2.0,0.0,0.0,0.0
84660b7ffffffff,1.0,0.0,0.0,0.0
84660b9ffffffff,3.0,0.0,0.0,0.0
84660bbffffffff,2.0,0.0,0.0,0.0
84660bdffffffff,2.0,0.0,0.0,0.0
84660d5ffffffff,6.0,0.0,0.0,0.0
84660ddffffffff,7.0,0.0,0.0,0.0
8466181ffffffff,151.0,3.0,0.0,0.0
8466183ffffffff,1.0,0.0,0.0,0.0
8466185ffffffff,1.0,0.0,0.0,0.0
8466187ffffffff,79.0,0.0,0.0,0.0
8466189ffffffff,2.0,0.0,0.0,0.0
8466191ffffffff,2.0,0.0,0.0,0.0
8466197ffffffff,52.0,0.0,0.0,0.0
846619dffffffff,6.0,0.0,0.0,0.0
84661b1ffffffff,5.0,0.0,0.0,0.0
84661b3ffffffff,5.0,2.0,0.0,0.0
84661b9ffffffff,13.0,0.0,0.0,0.0
84661bbffffffff,481.0,4.0,0.0,0.0
84661bdffffffff,1.0,0.0,0.0,0.0
84661d5ffffffff,3.0,0.0,0.0,0.0
8466291ffffffff,5.0,0.0,0.0,0.0
8466299ffffffff,23.0,3.0,0.0,0.0
84662b1ffffffff,8.0,0.0,0.0,0.0
8466c0dffffffff,7.0,0.0,0.0,0.0
8466c21ffffffff,12.0,0.0,0.0,0.0
8466c25ffffffff,32.0,0.0,0.0,0.0
8466c29ffffffff,2.0,0.0,0.0,0.0
8466c2dffffffff,24.0,0.0,0.0,0.0
8466c47ffffffff,4.0,0.0,0.0,0.0
8466c4bffffffff,2.0,0.0,0.0,0.0
8466c61ffffffff,77.0,0.0,0.0,0.0
8466c63ffffffff,29.0,0.0,0.0,0.0
8466c67ffffffff,7.0,0.0,0.0,0.0
8466c69ffffffff,48.0,0.0,0.0,0.0
8466c6bffffffff,8.0,0.0,0.0,0.0
8466d11ffffffff,7.0,0.0,0.0,0.0
8466d19ffffffff,3.0,0.0,0.0,0.0
8466d33ffffffff,1.0,0.0,0.0,0.0
8466d51ffffffff,4.0,0.0,0.0,0.0
8466d53ffffffff,11.0,0.0,0.0,0.0
8466de1ffffffff,58.0,8.0,0.0,0.0
8466de5ffffffff,8.0,0.0,0.0,0.0
8466dedffffffff,164.0,8.0,0.0,0.0
8466e07ffffffff,1.0,0.0,0.0,0.0
8466e09ffffffff,46.0,0.0,0.0,0.0
8466e0bffffffff,76.0,2.0,0.0,0.0
8466e0dffffffff,4.0,0.0,0.0,0.0
8466e2dffffffff,8.0,0.0,0.0,0.0
8466e43ffffffff,36.0,0.0,0.0,0.0
8466e47ffffffff,41.0,0.0,0.0,0.0
8466e51ffffffff,2.0,0.0,0.0,0.0
8466e55ffffffff,22.0,0.0,0.0,0.0
8466e57ffffffff,7.0,0.0,0.0,0.0
8466e59ffffffff,1.0,0.0,0.0,0.0
8466e61ffffffff,36.0,0.0,0.0,0.0
8466e65ffffffff,63.0,1.0,0.0,0.0
8466e67ffffffff,69.0,0.0,0.0,0.0
8466e69ffffffff,11.0,0.0,0.0,0.0
8466e6dffffffff,219.0,5.0,0.0,0.0
8466f15ffffffff,3.0,0.0,0.0,0.0
8466f19ffffffff,44.0,0.0,0.0,0.0
8466f3bffffffff,7.0,1.0,0.0,0.0
8466f53ffffffff,7.0,0.0,0.0,0.0
8466f57ffffffff,11.0,0.0,0.0,0.0
8466f59ffffffff,1.0,0.0,0.0,0.0
8466f5bffffffff,10.0,0.0,0.0,0.0
8466f5dffffffff,1.0,0.0,0.0,0.0
84675a5ffffffff,4.0,0.0,0.0,0.0
848b203ffffffff,24.0,0.0,0.0,0.0
848b205ffffffff,2.0,0.0,0.0,0.0
848b21dffffffff,3.0,0.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0,0.0
848b2c1ffffffff,6.0,0.0,0.0,0.0
848b2c5ffffffff,4.0,0.0,0.0,1.0
848b2cdffffffff,107.0,0.0,0.0,2.0
848b603ffffffff,1.0,0.0,0.0,0.0
848b611ffffffff,21.0,0.0,3.0,0.0
848b613ffffffff,3.0,0.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0,0.0
848b617ffffffff,493.0,0.0,8.0,0.0
848b61bffffffff,3.0,0.0,0.0,0.0
848b639ffffffff,3.0,0.0,0.0,0.0
848b665ffffffff,12.0,0.0,0.0,0.0
848b6c1ffffffff,4.0,0.0,0.0,0.0
848b6c5ffffffff,11.0,0.0,0.0,0.0
848b6c9ffffffff,16.0,0.0,0.0,0.0
848b6cdffffffff,263.0,0.0,1.0,0.0
848b751ffffffff,2.0,0.0,0.0,0.0
848b759ffffffff,8.0,0.0,0.0,0.0
848b75bffffffff,2.0,0.0,0.0,0.0
848e60bffffffff,8.0,0.0,0.0,0.0
848e61dffffffff,4.0,0.0,0.0,0.0
848e641ffffffff,10.0,0.0,0.0,0.0
848e643ffffffff,3.0,0.0,0.0,0.0
848e649ffffffff,23.0,0.0,0.0,0.0
848e64bffffffff,34.0,0.0,0.0,0.0
848e651ffffffff,113.0,0.0,0.0,0.0
848e655ffffffff,16.0,0.0,0.0,0.0
848e657ffffffff,8.0,0.0,0.0,0.0
848e65dffffffff,1.0,0.0,0.0,0.0
848e6c9ffffffff,1.0,0.0,0.0,0.0
848e6d9ffffffff,13.0,0.0,0.0,0.0
848e6ddffffffff,1.0,0.0,0.0,0.0
848f0d3ffffffff,4.0,4.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0,0.0
848f401ffffffff,1.0,0.0,0.0,0.0
848f425ffffffff,14.0,0.0,0.0,0.0
848f427ffffffff,3.0,0.0,0.0,0.0
848f42dffffffff,29.0,0.0,0.0,0.0
848f465ffffffff,6.0,0.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0,0.0
848f4a5ffffffff,239.0,0.0,25.0,0.0
848f4a7ffffffff,19.0,0.0,0.0,0.0
848f4adffffffff,6.0,0.0,0.0,0.0
848f517ffffffff,1.0,0.0,0.0,0.0
848f519ffffffff,2.0,0.0,0.0,0.0
848f54dffffffff,18.0,0.0,0.0,0.0
