cell_id,Fringilla spodiogenys,Fringilla spodiogenys africana,Fringilla spodiogenys spodiogenys/harterti
843829bffffffff,1.0,1.0,0.0
8438365ffffffff,2.0,2.0,0.0
8438621ffffffff,2.0,2.0,0.0
8438625ffffffff,36.0,28.0,0.0
843862bffffffff,1.0,0.0,0.0
843862dffffffff,1.0,1.0,0.0
8438635ffffffff,2.0,2.0,0.0
843863dffffffff,1.0,1.0,0.0
8438667ffffffff,3.0,3.0,0.0
84386e9ffffffff,1.0,1.0,0.0
8438707ffffffff,2.0,2.0,0.0
8438711ffffffff,1.0,1.0,0.0
8438715ffffffff,1.0,1.0,0.0
8438717ffffffff,3.0,3.0,0.0
8438719ffffffff,1.0,0.0,0.0
843871bffffffff,2.0,2.0,0.0
843871dffffffff,1.0,0.0,1.0
8438743ffffffff,5.0,4.0,0.0
8438747ffffffff,2.0,2.0,0.0
8438751ffffffff,12.0,12.0,0.0
8438753ffffffff,19.0,19.0,0.0
843875bffffffff,2.0,0.0,0.0
84395a5ffffffff,1.0,1.0,0.0
