cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
82089ffffffffff,4.0,0.0,0.0
8208b7fffffffff,1.0,0.0,0.0
820997fffffffff,4.0,0.0,0.0
821597fffffffff,1.0,0.0,0.0
82182ffffffffff,3.0,0.0,0.0
82184ffffffffff,19.0,0.0,0.0
82185ffffffffff,53.0,0.0,0.0
821947fffffffff,10.0,3.0,0.0
82194ffffffffff,10.0,2.0,0.0
82195ffffffffff,13.0,0.0,0.0
82196ffffffffff,7.0,0.0,0.0
821e07fffffffff,12.0,1.0,0.0
821e17fffffffff,1.0,0.0,0.0
821e1ffffffffff,3.0,0.0,0.0
821e27fffffffff,1.0,0.0,0.0
821e2ffffffffff,2.0,0.0,0.0
821e8ffffffffff,2.0,0.0,0.0
821e97fffffffff,7.0,0.0,0.0
821ea7fffffffff,2.0,0.0,0.0
821ecffffffffff,3.0,0.0,0.0
821edffffffffff,18.0,0.0,0.0
821eeffffffffff,9.0,0.0,0.0
821ef7fffffffff,19.0,11.0,0.0
821f07fffffffff,4.0,0.0,0.0
821f0ffffffffff,6.0,0.0,0.0
821f27fffffffff,2.0,2.0,0.0
821f2ffffffffff,3.0,0.0,0.0
821f77fffffffff,2.0,0.0,0.0
821f8ffffffffff,2.0,0.0,0.0
822037fffffffff,4.0,0.0,0.0
8220e7fffffffff,3.0,0.0,0.0
822157fffffffff,2.0,2.0,0.0
822407fffffffff,5.0,3.0,0.0
82242ffffffffff,4.0,2.0,0.0
822437fffffffff,1.0,0.0,0.0
82244ffffffffff,3.0,3.0,0.0
822517fffffffff,9.0,9.0,0.0
8225affffffffff,2.0,2.0,0.0
822c27fffffffff,6.0,0.0,0.0
822c2ffffffffff,2.0,0.0,0.0
822c47fffffffff,2.0,0.0,0.0
822c4ffffffffff,6.0,0.0,0.0
822c57fffffffff,22.0,0.0,0.0
822c5ffffffffff,5.0,0.0,0.0
822c97fffffffff,26.0,8.0,0.0
822ce7fffffffff,15.0,2.0,0.0
822d17fffffffff,1.0,1.0,0.0
822d37fffffffff,1.0,0.0,0.0
822d67fffffffff,9.0,0.0,0.0
822da7fffffffff,5.0,0.0,0.0
822db7fffffffff,14.0,2.0,0.0
822e17fffffffff,2.0,0.0,0.0
822f47fffffffff,3.0,0.0,0.0
823087fffffffff,11.0,2.0,0.0
82309ffffffffff,76.0,0.0,0.0
8230c7fffffffff,4.0,0.0,0.0
8230dffffffffff,4.0,0.0,0.0
823427fffffffff,11.0,0.0,0.0
823447fffffffff,2.0,0.0,0.0
82344ffffffffff,1.0,0.0,0.0
82346ffffffffff,7.0,2.0,0.0
82351ffffffffff,25.0,0.0,0.0
823827fffffffff,69.0,0.0,0.0
82384ffffffffff,1.0,0.0,0.0
823857fffffffff,1.0,0.0,0.0
823867fffffffff,3.0,0.0,0.0
82386ffffffffff,2.0,0.0,0.0
823877fffffffff,6.0,0.0,0.0
823907fffffffff,77.0,12.0,0.0
82390ffffffffff,19.0,8.0,0.0
823917fffffffff,55.0,6.0,0.0
82391ffffffffff,15.0,0.0,0.0
823927fffffffff,35.0,0.0,0.0
82392ffffffffff,111.0,0.0,0.0
823937fffffffff,59.0,3.0,0.0
823947fffffffff,21.0,17.0,0.0
823957fffffffff,52.0,28.0,0.0
82395ffffffffff,26.0,11.0,0.0
82396ffffffffff,7.0,0.0,0.0
823977fffffffff,230.0,76.0,0.0
823c07fffffffff,10.0,0.0,0.0
823c0ffffffffff,12.0,3.0,0.0
