cell_id,Hemitriccus minor,Hemitriccus minor pallens,Hemitriccus minor minor/snethlageae,Hemitriccus minor [undescribed form]
8480619ffffffff,9.0,0.0,0.0,0.0
8480623ffffffff,2.0,0.0,0.0,0.0
8480643ffffffff,14.0,0.0,0.0,0.0
848064bffffffff,1.0,0.0,0.0,0.0
8480655ffffffff,55.0,0.0,0.0,0.0
8480657ffffffff,2.0,0.0,0.0,0.0
848065dffffffff,1.0,0.0,0.0,0.0
8481401ffffffff,16.0,0.0,0.0,0.0
8481403ffffffff,7.0,0.0,0.0,0.0
8481407ffffffff,2.0,0.0,0.0,0.0
8481409ffffffff,1.0,0.0,0.0,0.0
848141dffffffff,2.0,0.0,0.0,0.0
8481423ffffffff,8.0,0.0,0.0,0.0
8481431ffffffff,14.0,0.0,0.0,0.0
8481439ffffffff,2.0,0.0,0.0,0.0
8481455ffffffff,1.0,0.0,0.0,0.0
8481459ffffffff,1.0,0.0,0.0,0.0
848146bffffffff,4.0,0.0,0.0,0.0
8481485ffffffff,4.0,0.0,0.0,0.0
84814a1ffffffff,4.0,0.0,0.0,0.0
84814a9ffffffff,58.0,0.0,0.0,0.0
84814adffffffff,69.0,0.0,0.0,0.0
84814d1ffffffff,2.0,0.0,0.0,0.0
84814d5ffffffff,79.0,0.0,0.0,0.0
84814d9ffffffff,10.0,0.0,0.0,0.0
84814e1ffffffff,3.0,0.0,0.0,0.0
84814e3ffffffff,60.0,0.0,0.0,0.0
84814e5ffffffff,14.0,0.0,0.0,0.0
84814e7ffffffff,197.0,0.0,0.0,0.0
84814ebffffffff,9.0,0.0,0.0,0.0
8481581ffffffff,3.0,0.0,0.0,0.0
848159dffffffff,3.0,0.0,0.0,0.0
84815c9ffffffff,7.0,0.0,0.0,0.0
84815d3ffffffff,7.0,0.0,0.0,0.0
84815d7ffffffff,2.0,0.0,0.0,0.0
84815d9ffffffff,72.0,0.0,0.0,0.0
84815dbffffffff,9.0,0.0,0.0,0.0
8481637ffffffff,1.0,0.0,0.0,0.0
848a003ffffffff,13.0,2.0,0.0,0.0
848a00bffffffff,4.0,2.0,0.0,0.0
848a01dffffffff,6.0,0.0,2.0,0.0
848a049ffffffff,1.0,0.0,0.0,0.0
848a051ffffffff,14.0,0.0,0.0,0.0
848a053ffffffff,2.0,0.0,0.0,0.0
848a059ffffffff,36.0,0.0,0.0,0.0
848a05bffffffff,23.0,0.0,0.0,0.0
848a05dffffffff,5.0,0.0,0.0,0.0
848a069ffffffff,19.0,0.0,0.0,0.0
848a109ffffffff,36.0,0.0,0.0,0.0
848a11dffffffff,1.0,0.0,0.0,0.0
848a121ffffffff,2.0,0.0,0.0,0.0
848a127ffffffff,1.0,0.0,0.0,0.0
848a155ffffffff,48.0,0.0,0.0,0.0
848a157ffffffff,7.0,1.0,0.0,0.0
848a1a7ffffffff,6.0,0.0,0.0,0.0
848a1e5ffffffff,2.0,0.0,0.0,0.0
848a213ffffffff,12.0,0.0,0.0,0.0
848a217ffffffff,14.0,0.0,0.0,0.0
848a21bffffffff,6.0,0.0,0.0,0.0
848a233ffffffff,5.0,0.0,0.0,0.0
848a23bffffffff,11.0,0.0,0.0,0.0
848a241ffffffff,1.0,0.0,0.0,0.0
848a249ffffffff,13.0,0.0,0.0,0.0
848a25bffffffff,3.0,0.0,0.0,0.0
848a2cdffffffff,6.0,0.0,0.0,0.0
848a313ffffffff,7.0,0.0,0.0,0.0
848a317ffffffff,20.0,0.0,0.0,0.0
848a31dffffffff,1.0,0.0,0.0,0.0
848a337ffffffff,8.0,0.0,1.0,0.0
848a33bffffffff,4.0,0.0,0.0,0.0
848a459ffffffff,14.0,0.0,0.0,0.0
848a809ffffffff,29.0,0.0,0.0,0.0
848a81bffffffff,9.0,1.0,0.0,0.0
848a857ffffffff,1.0,0.0,0.0,0.0
848a8d9ffffffff,2.0,0.0,0.0,0.0
848a911ffffffff,1.0,0.0,0.0,0.0
848a91dffffffff,1.0,0.0,0.0,0.0
848a925ffffffff,16.0,0.0,0.0,0.0
848a927ffffffff,11.0,0.0,0.0,0.0
848a92dffffffff,3.0,0.0,0.0,0.0
848a9c1ffffffff,2.0,0.0,0.0,0.0
848a9cdffffffff,2.0,0.0,0.0,0.0
