cell_id,Mixornis bornensis,Mixornis bornensis [bornensis Group],Mixornis bornensis cagayanensis
8468025ffffffff,69.0,0.0,0.0
8468029ffffffff,5.0,0.0,0.0
8468101ffffffff,47.0,20.0,0.0
8468111ffffffff,14.0,6.0,0.0
8468113ffffffff,9.0,2.0,0.0
8468115ffffffff,4.0,0.0,0.0
8468119ffffffff,35.0,12.0,0.0
846811bffffffff,18.0,3.0,0.0
846811dffffffff,2.0,0.0,0.0
8468123ffffffff,15.0,7.0,0.0
8468129ffffffff,5.0,0.0,0.0
846812bffffffff,6.0,0.0,0.0
8468153ffffffff,21.0,2.0,0.0
8468157ffffffff,34.0,0.0,0.0
8468167ffffffff,6.0,0.0,0.0
8468181ffffffff,11.0,2.0,0.0
8468183ffffffff,1.0,0.0,0.0
8468185ffffffff,46.0,1.0,0.0
8468189ffffffff,307.0,77.0,0.0
846818bffffffff,11.0,3.0,0.0
846818dffffffff,417.0,98.0,0.0
846819dffffffff,42.0,14.0,0.0
84681a9ffffffff,18.0,0.0,0.0
84681b9ffffffff,3.0,0.0,0.0
84681c3ffffffff,114.0,21.0,0.0
84681c5ffffffff,68.0,22.0,0.0
84681c7ffffffff,4.0,0.0,0.0
84681c9ffffffff,1.0,0.0,0.0
84681d5ffffffff,220.0,40.0,0.0
84681d7ffffffff,4.0,0.0,0.0
84681e3ffffffff,10.0,0.0,0.0
84681e5ffffffff,5.0,3.0,0.0
84681edffffffff,36.0,8.0,0.0
8468829ffffffff,1.0,0.0,0.0
8468833ffffffff,2.0,0.0,0.0
8468889ffffffff,6.0,0.0,0.0
84688adffffffff,6.0,0.0,0.0
8468965ffffffff,7.0,0.0,0.0
8468985ffffffff,7.0,0.0,0.0
84689a3ffffffff,5.0,0.0,0.0
84689a9ffffffff,1.0,0.0,0.0
8468a1dffffffff,4.0,0.0,0.0
8468a47ffffffff,2.0,0.0,0.0
8468a51ffffffff,2.0,0.0,0.0
8468a59ffffffff,34.0,6.0,0.0
8468a63ffffffff,2.0,0.0,0.0
8468a6bffffffff,1.0,0.0,0.0
8468ab5ffffffff,3.0,0.0,0.0
8468ac9ffffffff,27.0,15.0,0.0
8468b55ffffffff,4.0,0.0,0.0
84699a5ffffffff,24.0,2.0,0.0
848c921ffffffff,3.0,0.0,0.0
848c92dffffffff,4.0,0.0,0.0
848c959ffffffff,1.0,0.0,0.0
848c961ffffffff,27.0,2.0,0.0
848c965ffffffff,12.0,0.0,0.0
848c967ffffffff,8.0,3.0,0.0
848d9a5ffffffff,3.0,0.0,0.0
