cell_id,Thamnophilus ruficapillus,Thamnophilus ruficapillus [subfasciatus Group],Thamnophilus ruficapillus ruficapillus/cochabambae
828b27fffffffff,141.0,0.0,0.0
828b2ffffffffff,8.0,0.0,0.0
828b67fffffffff,12.0,0.0,0.0
828b77fffffffff,10.0,0.0,0.0
828f47fffffffff,18.0,0.0,0.0
828f57fffffffff,418.0,20.0,0.0
828f77fffffffff,75.0,3.0,0.0
82a807fffffffff,329.0,0.0,5.0
82a817fffffffff,945.0,0.0,3.0
82a81ffffffffff,222.0,0.0,0.0
82a827fffffffff,135.0,0.0,0.0
82a82ffffffffff,10.0,0.0,0.0
82a837fffffffff,88.0,0.0,3.0
82a887fffffffff,128.0,0.0,2.0
82a897fffffffff,1.0,0.0,0.0
82a8a7fffffffff,352.0,0.0,13.0
82a8affffffffff,340.0,0.0,4.0
82a8f7fffffffff,4.0,0.0,0.0
82a907fffffffff,56.0,0.0,0.0
82a90ffffffffff,160.0,0.0,0.0
82a91ffffffffff,142.0,0.0,5.0
82a927fffffffff,20.0,0.0,0.0
82a92ffffffffff,623.0,0.0,2.0
82a947fffffffff,239.0,0.0,0.0
82a957fffffffff,96.0,0.0,0.0
82a95ffffffffff,11.0,0.0,0.0
82a967fffffffff,124.0,0.0,12.0
82a977fffffffff,57.0,0.0,0.0
82b24ffffffffff,13.0,0.0,0.0
82b327fffffffff,27.0,0.0,0.0
82b347fffffffff,175.0,0.0,0.0
82b357fffffffff,178.0,0.0,0.0
82b35ffffffffff,576.0,0.0,0.0
82b367fffffffff,1.0,0.0,0.0
82c22ffffffffff,2.0,0.0,0.0
82c2c7fffffffff,775.0,0.0,1.0
82c2cffffffffff,124.0,0.0,0.0
82c2d7fffffffff,377.0,0.0,0.0
82c2dffffffffff,124.0,0.0,0.0
82c2e7fffffffff,867.0,0.0,3.0
82c2effffffffff,133.0,0.0,0.0
82c2f7fffffffff,876.0,0.0,0.0
