cell_id,Pampa curvipennis,Pampa curvipennis curvipennis,Pampa curvipennis pampa,Pampa curvipennis excellens
8444249ffffffff,7.0,0.0,0.0,0.0
8445011ffffffff,5.0,0.0,0.0,0.0
844501bffffffff,8.0,0.0,0.0,0.0
844505bffffffff,3.0,0.0,0.0,0.0
8445081ffffffff,7.0,0.0,0.0,0.0
8445083ffffffff,98.0,0.0,9.0,0.0
8445085ffffffff,88.0,0.0,7.0,0.0
8445087ffffffff,254.0,0.0,30.0,0.0
8445089ffffffff,2.0,0.0,0.0,0.0
844508bffffffff,2.0,0.0,1.0,0.0
844508dffffffff,45.0,0.0,2.0,0.0
844509dffffffff,2.0,0.0,0.0,0.0
84450a1ffffffff,769.0,0.0,22.0,0.0
84450a3ffffffff,159.0,0.0,22.0,0.0
84450a5ffffffff,50.0,0.0,3.0,0.0
84450a7ffffffff,30.0,0.0,0.0,0.0
84450a9ffffffff,41.0,0.0,5.0,0.0
84450abffffffff,80.0,0.0,6.0,0.0
84450adffffffff,4.0,0.0,0.0,0.0
84450b1ffffffff,12.0,0.0,0.0,0.0
84450b5ffffffff,44.0,0.0,0.0,0.0
84450b9ffffffff,7.0,0.0,0.0,0.0
84450bdffffffff,62.0,0.0,5.0,0.0
84450c1ffffffff,12.0,0.0,0.0,0.0
84450c5ffffffff,98.0,0.0,5.0,0.0
84450c7ffffffff,14.0,0.0,0.0,0.0
84450cdffffffff,10.0,0.0,0.0,0.0
84450d3ffffffff,12.0,0.0,4.0,0.0
84450d5ffffffff,33.0,0.0,20.0,0.0
84450ddffffffff,18.0,0.0,4.0,0.0
84450e3ffffffff,515.0,0.0,26.0,0.0
84450e7ffffffff,2.0,0.0,0.0,0.0
84450ebffffffff,281.0,0.0,38.0,0.0
84450edffffffff,2.0,0.0,0.0,0.0
844519bffffffff,1.0,0.0,1.0,0.0
8445203ffffffff,2.0,0.0,0.0,0.0
8445211ffffffff,10.0,0.0,0.0,0.0
8445213ffffffff,11.0,0.0,0.0,0.0
8445217ffffffff,12.0,0.0,0.0,0.0
8445233ffffffff,27.0,0.0,0.0,0.0
844523bffffffff,9.0,0.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0,0.0
8445281ffffffff,21.0,0.0,0.0,0.0
8445283ffffffff,39.0,0.0,4.0,0.0
8445285ffffffff,46.0,0.0,6.0,0.0
8445287ffffffff,286.0,0.0,44.0,0.0
8445289ffffffff,118.0,0.0,0.0,0.0
844528dffffffff,101.0,0.0,0.0,0.0
8445291ffffffff,2.0,0.0,2.0,0.0
8445297ffffffff,4.0,0.0,0.0,0.0
84452a1ffffffff,35.0,0.0,6.0,0.0
84452a3ffffffff,6.0,0.0,0.0,0.0
84452a5ffffffff,2.0,0.0,0.0,0.0
84452a7ffffffff,13.0,0.0,5.0,0.0
84452a9ffffffff,554.0,0.0,3.0,0.0
84452abffffffff,65.0,0.0,4.0,0.0
84452adffffffff,72.0,0.0,0.0,0.0
84452b5ffffffff,51.0,0.0,0.0,0.0
84452b9ffffffff,113.0,0.0,5.0,0.0
84452bdffffffff,237.0,0.0,26.0,0.0
84452c1ffffffff,13.0,0.0,0.0,0.0
84452c3ffffffff,527.0,0.0,51.0,0.0
84452c5ffffffff,81.0,0.0,0.0,0.0
84452c7ffffffff,276.0,0.0,30.0,0.0
84452c9ffffffff,6.0,0.0,0.0,0.0
84452d5ffffffff,2.0,0.0,0.0,0.0
84452d9ffffffff,20.0,0.0,0.0,0.0
84452dbffffffff,3.0,0.0,0.0,0.0
84452ddffffffff,1.0,0.0,0.0,0.0
84452e1ffffffff,2614.0,0.0,43.0,0.0
84452e3ffffffff,112.0,0.0,6.0,0.0
84452e5ffffffff,151.0,0.0,0.0,0.0
84452e7ffffffff,16.0,0.0,0.0,0.0
84452e9ffffffff,149.0,0.0,5.0,0.0
84452ebffffffff,475.0,0.0,41.0,0.0
84452edffffffff,68.0,0.0,0.0,0.0
8445309ffffffff,10.0,0.0,0.0,0.0
8445343ffffffff,106.0,0.0,0.0,0.0
8445351ffffffff,9.0,0.0,0.0,0.0
8445649ffffffff,34.0,0.0,0.0,34.0
8445721ffffffff,4.0,0.0,0.0,0.0
8445729ffffffff,2.0,0.0,0.0,0.0
8445745ffffffff,4.0,0.0,0.0,0.0
8445767ffffffff,2.0,0.0,0.0,0.0
8449901ffffffff,62.0,7.0,0.0,0.0
8449903ffffffff,34.0,3.0,0.0,0.0
8449905ffffffff,22.0,0.0,0.0,0.0
8449907ffffffff,4.0,0.0,0.0,0.0
844990bffffffff,5.0,0.0,0.0,0.0
844990dffffffff,3.0,0.0,0.0,0.0
8449911ffffffff,2.0,0.0,0.0,0.0
8449913ffffffff,38.0,0.0,0.0,0.0
8449917ffffffff,5.0,0.0,0.0,0.0
844991dffffffff,18.0,13.0,0.0,0.0
844992bffffffff,8.0,5.0,0.0,0.0
844993bffffffff,3.0,3.0,0.0,0.0
844993dffffffff,2.0,0.0,0.0,0.0
8449945ffffffff,2.0,0.0,0.0,0.0
8449961ffffffff,432.0,103.0,0.0,0.0
8449963ffffffff,2395.0,1025.0,0.0,0.0
8449965ffffffff,4.0,0.0,0.0,0.0
8449967ffffffff,10.0,7.0,0.0,0.0
8449969ffffffff,560.0,11.0,0.0,0.0
844996bffffffff,79.0,12.0,0.0,0.0
8449981ffffffff,14.0,3.0,0.0,0.0
8449983ffffffff,2.0,0.0,0.0,0.0
8449985ffffffff,1.0,0.0,0.0,0.0
8449987ffffffff,449.0,56.0,0.0,0.0
844998dffffffff,1.0,0.0,0.0,0.0
84499c1ffffffff,3.0,0.0,0.0,0.0
84499c5ffffffff,96.0,0.0,0.0,0.0
84499c7ffffffff,3.0,0.0,0.0,0.0
84499cdffffffff,21.0,0.0,0.0,0.0
84499e9ffffffff,2.0,0.0,0.0,0.0
84499ebffffffff,2.0,0.0,0.0,0.0
846d203ffffffff,25.0,0.0,0.0,0.0
846d20bffffffff,2.0,0.0,0.0,0.0
846d219ffffffff,4.0,0.0,1.0,0.0
846d21bffffffff,22.0,0.0,17.0,0.0
846d21dffffffff,68.0,0.0,14.0,0.0
846d221ffffffff,1.0,0.0,0.0,1.0
846d223ffffffff,37.0,0.0,0.0,37.0
