cell_id,Tyto tenebricosa,Tyto tenebricosa tenebricosa/arfaki,Tyto tenebricosa multipunctata
837289fffffffff,1.0,0.0,0.0
83728bfffffffff,9.0,4.0,0.0
8372a2fffffffff,54.0,29.0,0.0
8372dafffffffff,9.0,6.0,0.0
839c05fffffffff,6.0,0.0,3.0
839c20fffffffff,2.0,0.0,2.0
839c21fffffffff,20.0,0.0,14.0
839c23fffffffff,409.0,0.0,283.0
839c25fffffffff,1.0,0.0,0.0
839c85fffffffff,3.0,0.0,0.0
839c9dfffffffff,5.0,2.0,0.0
839cd2fffffffff,18.0,9.0,0.0
839cd3fffffffff,10.0,2.0,0.0
839d0cfffffffff,6.0,0.0,0.0
83be08fffffffff,75.0,20.0,0.0
83be0afffffffff,4.0,2.0,0.0
83be0cfffffffff,9.0,8.0,0.0
83be0dfffffffff,13.0,2.0,0.0
83be0efffffffff,7.0,5.0,0.0
83be18fffffffff,24.0,4.0,0.0
83be19fffffffff,10.0,7.0,0.0
83be1afffffffff,4.0,0.0,0.0
83be29fffffffff,5.0,5.0,0.0
83be62fffffffff,106.0,43.0,0.0
83be63fffffffff,9.0,1.0,0.0
83be74fffffffff,47.0,17.0,0.0
83be75fffffffff,4.0,3.0,0.0
83be76fffffffff,1.0,0.0,0.0
83be88fffffffff,16.0,6.0,0.0
83be89fffffffff,21.0,5.0,0.0
83be8dfffffffff,201.0,58.0,0.0
83beabfffffffff,19.0,3.0,0.0
83bef4fffffffff,5.0,1.0,0.0
83bef6fffffffff,100.0,33.0,0.0
