cell_id,Neochmia phaeton,Neochmia phaeton evangelinae,Neochmia phaeton phaeton
84728b3ffffffff,2.0,0.0,0.0
8472f23ffffffff,30.0,0.0,0.0
8472f35ffffffff,87.0,0.0,0.0
8494187ffffffff,1.0,0.0,0.0
8494191ffffffff,1.0,0.0,0.0
84941b1ffffffff,2.0,0.0,0.0
84941bdffffffff,9.0,0.0,0.0
8494501ffffffff,2.0,0.0,0.0
8494503ffffffff,20.0,0.0,0.0
8494507ffffffff,4.0,0.0,0.0
849450bffffffff,29.0,0.0,1.0
8494511ffffffff,505.0,0.0,6.0
8494513ffffffff,8.0,0.0,0.0
8494515ffffffff,44.0,0.0,0.0
8494517ffffffff,36.0,0.0,0.0
849451bffffffff,3.0,0.0,0.0
849451dffffffff,1351.0,0.0,37.0
8494531ffffffff,6.0,0.0,0.0
8494533ffffffff,4.0,0.0,0.0
8494535ffffffff,17.0,0.0,0.0
8494539ffffffff,39.0,0.0,0.0
849453bffffffff,5.0,0.0,0.0
8494593ffffffff,2.0,0.0,0.0
84945a1ffffffff,1.0,0.0,0.0
84945a5ffffffff,5.0,0.0,0.0
84945a7ffffffff,4.0,0.0,0.0
84945adffffffff,23.0,0.0,0.0
84945c3ffffffff,98.0,0.0,3.0
84945c5ffffffff,4.0,0.0,0.0
84945c7ffffffff,201.0,0.0,3.0
84945cbffffffff,2.0,0.0,0.0
84945d1ffffffff,2.0,0.0,0.0
84945d3ffffffff,2.0,0.0,0.0
84945e1ffffffff,10.0,0.0,0.0
84945e3ffffffff,30.0,0.0,0.0
84945e5ffffffff,22.0,0.0,0.0
84945ebffffffff,153.0,0.0,1.0
8494899ffffffff,3.0,0.0,3.0
84948c7ffffffff,2.0,0.0,0.0
84948dbffffffff,3.0,0.0,0.0
8494a93ffffffff,8.0,0.0,0.0
8494abbffffffff,1.0,0.0,0.0
8494c17ffffffff,7.0,0.0,0.0
8494c19ffffffff,2.0,0.0,0.0
8494c49ffffffff,31.0,0.0,0.0
8494c4bffffffff,3.0,0.0,0.0
8494c59ffffffff,2.0,0.0,0.0
8494cc9ffffffff,5.0,0.0,0.0
8494ccdffffffff,7.0,0.0,0.0
8494d51ffffffff,1.0,0.0,0.0
8494d53ffffffff,1.0,0.0,0.0
8494e21ffffffff,24.0,0.0,0.0
8494e23ffffffff,73.0,0.0,0.0
8494e25ffffffff,4.0,0.0,0.0
8494e27ffffffff,7.0,0.0,0.0
8494e29ffffffff,2.0,0.0,0.0
8494e2bffffffff,10.0,0.0,0.0
8494e2dffffffff,6.0,0.0,0.0
8494e31ffffffff,3.0,0.0,0.0
8494e35ffffffff,221.0,0.0,0.0
8494e3dffffffff,33.0,0.0,0.0
8494e81ffffffff,8.0,0.0,0.0
8494e85ffffffff,72.0,0.0,0.0
8494ea1ffffffff,6.0,0.0,0.0
8494ea9ffffffff,2.0,0.0,0.0
8494eadffffffff,2.0,0.0,0.0
8494eb5ffffffff,4.0,0.0,0.0
8494ed3ffffffff,88.0,0.0,0.0
8494ed7ffffffff,6.0,0.0,0.0
8494ed9ffffffff,2.0,0.0,0.0
8494edbffffffff,225.0,0.0,3.0
8494ee1ffffffff,46.0,0.0,0.0
8494ee3ffffffff,2.0,0.0,0.0
8494ee7ffffffff,94.0,0.0,0.0
8494f09ffffffff,3.0,0.0,0.0
8494f0dffffffff,2.0,0.0,0.0
8494f21ffffffff,90.0,0.0,0.0
8494f29ffffffff,3.0,0.0,0.0
8494f43ffffffff,3.0,0.0,0.0
8494f45ffffffff,2.0,0.0,0.0
8494f4bffffffff,6.0,0.0,0.0
8494f51ffffffff,21.0,0.0,0.0
8494f55ffffffff,2.0,0.0,0.0
8494f5dffffffff,18.0,0.0,0.0
8494f61ffffffff,11.0,0.0,0.0
8494f63ffffffff,2.0,0.0,0.0
8494f65ffffffff,63.0,0.0,2.0
8494f6bffffffff,5.0,0.0,0.0
8494f6dffffffff,6.0,0.0,0.0
849c011ffffffff,15.0,6.0,0.0
849c015ffffffff,4.0,0.0,0.0
849c017ffffffff,8.0,1.0,0.0
849c01dffffffff,6.0,1.0,0.0
849c0d7ffffffff,1.0,0.0,0.0
849c203ffffffff,76.0,0.0,0.0
849c20bffffffff,8.0,0.0,0.0
849c231ffffffff,380.0,0.0,1.0
849c233ffffffff,1.0,0.0,0.0
849c237ffffffff,9.0,0.0,0.0
849c239ffffffff,127.0,0.0,2.0
849c23bffffffff,1.0,0.0,0.0
849c251ffffffff,193.0,0.0,1.0
849c255ffffffff,2.0,0.0,0.0
849c257ffffffff,2.0,0.0,0.0
849c259ffffffff,4.0,0.0,0.0
849c25dffffffff,47.0,0.0,0.0
849c403ffffffff,3.0,0.0,0.0
849c40bffffffff,1.0,0.0,0.0
849c417ffffffff,40.0,0.0,0.0
849c433ffffffff,2.0,0.0,0.0
849c43bffffffff,7.0,0.0,0.0
849c45dffffffff,4.0,0.0,0.0
849c487ffffffff,2.0,0.0,0.0
849c4a1ffffffff,1.0,0.0,0.0
849c4a3ffffffff,5.0,0.0,0.0
849c4b3ffffffff,2.0,0.0,0.0
849c4e7ffffffff,2.0,0.0,0.0
849c5a3ffffffff,2.0,0.0,0.0
849c5a7ffffffff,9.0,0.0,0.0
849c605ffffffff,77.0,0.0,0.0
849c607ffffffff,3.0,0.0,0.0
849c60dffffffff,27.0,0.0,0.0
