cell_id,Tyrannus melancholicus,Tyrannus melancholicus occidentalis,Tyrannus melancholicus satrapa,Tyrannus melancholicus melancholicus/despotes
83281bfffffffff,31.0,0.0,0.0,0.0
832834fffffffff,41.0,0.0,0.0,0.0
8328f1fffffffff,26.0,0.0,0.0,0.0
8328f5fffffffff,94.0,0.0,0.0,0.0
834413fffffffff,1.0,0.0,0.0,0.0
834424fffffffff,568.0,0.0,0.0,0.0
8344acfffffffff,225.0,0.0,0.0,0.0
834501fffffffff,555.0,0.0,0.0,0.0
834505fffffffff,3039.0,0.0,0.0,0.0
834508fffffffff,463.0,0.0,0.0,0.0
834509fffffffff,3441.0,0.0,0.0,0.0
83450afffffffff,4914.0,0.0,0.0,0.0
83450bfffffffff,1758.0,0.0,0.0,0.0
83450cfffffffff,437.0,0.0,0.0,0.0
83450dfffffffff,299.0,0.0,0.0,0.0
83450efffffffff,1279.0,0.0,0.0,0.0
834519fffffffff,124.0,0.0,0.0,0.0
83451dfffffffff,81.0,0.0,0.0,0.0
834520fffffffff,2185.0,0.0,0.0,0.0
834521fffffffff,4380.0,0.0,0.0,0.0
834522fffffffff,2299.0,0.0,0.0,0.0
834523fffffffff,2099.0,0.0,0.0,0.0
834524fffffffff,1626.0,0.0,0.0,0.0
834525fffffffff,1033.0,0.0,0.0,0.0
834526fffffffff,3191.0,0.0,0.0,0.0
834528fffffffff,390.0,0.0,0.0,0.0
834529fffffffff,128.0,0.0,0.0,0.0
83452afffffffff,7459.0,0.0,0.0,0.0
83452bfffffffff,279.0,0.0,0.0,0.0
83452cfffffffff,3065.0,0.0,0.0,0.0
83452dfffffffff,271.0,0.0,0.0,0.0
83452efffffffff,8903.0,0.0,0.0,0.0
834530fffffffff,160.0,0.0,0.0,0.0
834531fffffffff,1080.0,0.0,0.0,0.0
834532fffffffff,287.0,0.0,0.0,0.0
834534fffffffff,173.0,0.0,0.0,0.0
834535fffffffff,582.0,0.0,0.0,0.0
834536fffffffff,271.0,0.0,0.0,0.0
834549fffffffff,2.0,0.0,0.0,0.0
834554fffffffff,3.0,0.0,0.0,0.0
834564fffffffff,24.0,0.0,0.0,0.0
834569fffffffff,2.0,0.0,0.0,0.0
83456dfffffffff,34.0,0.0,0.0,0.0
834572fffffffff,1671.0,0.0,0.0,0.0
