cell_id,Athene cunicularia,Athene cunicularia hypugaea/rostrata,Athene cunicularia floridana,Athene cunicularia [guadeloupensis Group],Athene cunicularia [tolimae Group],Athene cunicularia nanodes/juninensis,Athene cunicularia grallaria,Athene cunicularia [cunicularia Group]
8312c9fffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832600fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832603fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83260bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832610fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832611fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832616fffffffff,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832619fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83261efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83262afffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832634fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832636fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832640fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832648fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83264cfffffffff,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
832653fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83265bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832664fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832680fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832682fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832683fffffffff,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832685fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832686fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832688fffffffff,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832689fffffffff,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
83268afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83268bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83268cfffffffff,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83268dfffffffff,92.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
83268efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832692fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832694fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832696fffffffff,341.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
832698fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83269bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83269cfffffffff,159.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83269efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a2fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a8fffffffff,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a9fffffffff,38.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8326aafffffffff,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326abfffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8326aefffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326b0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326b1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326b2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326b6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326c2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326c3fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326c6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326c8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326cbfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326cefffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d3fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d4fffffffff,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d6fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d8fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326ddfffffffff,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8326defffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326e2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326e5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326e9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326ecfffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326eefffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326f0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326f1fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326f2fffffffff,57.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8326f3fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326f6fffffffff,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
832719fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83271bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832743fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832788fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83278cfffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832791fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832792fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832794fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832795fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832798fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83279afffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83279efffffffff,53.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8327a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832800fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832802fffffffff,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832806fffffffff,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832810fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832811fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832812fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832813fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832815fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832816fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832819fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83281bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83281cfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
