cell_id,Vireo chivi,Vireo chivi [agilis Group],Vireo chivi chivi/diversus
845f417ffffffff,3.0,3.0,0.0
845f483ffffffff,2.0,0.0,0.0
845f487ffffffff,10.0,0.0,0.0
845f4abffffffff,3.0,0.0,0.0
845f583ffffffff,4.0,1.0,3.0
845f5b5ffffffff,20.0,17.0,0.0
845f5b9ffffffff,2.0,0.0,2.0
8466205ffffffff,2.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
8466603ffffffff,3.0,0.0,0.0
846666bffffffff,2.0,0.0,0.0
8466c65ffffffff,3.0,3.0,0.0
8466d31ffffffff,2.0,2.0,0.0
8466d35ffffffff,6.0,6.0,0.0
8466d55ffffffff,11.0,11.0,0.0
8466dc3ffffffff,1.0,0.0,0.0
8466de1ffffffff,42.0,0.0,1.0
8466e6dffffffff,5.0,0.0,0.0
8467413ffffffff,14.0,0.0,0.0
846743bffffffff,10.0,1.0,0.0
8467461ffffffff,12.0,0.0,0.0
84674a7ffffffff,2.0,0.0,0.0
84674c5ffffffff,3.0,0.0,0.0
84674e1ffffffff,1.0,0.0,0.0
84674edffffffff,3.0,1.0,0.0
8467531ffffffff,1.0,0.0,0.0
8467599ffffffff,4.0,4.0,0.0
84675a9ffffffff,1.0,0.0,0.0
84675cbffffffff,3.0,0.0,0.0
84675d5ffffffff,1.0,0.0,0.0
8467693ffffffff,2.0,0.0,0.0
8480109ffffffff,1.0,1.0,0.0
8480141ffffffff,2.0,0.0,2.0
848024dffffffff,4.0,0.0,0.0
8480363ffffffff,8.0,8.0,0.0
8480445ffffffff,1.0,1.0,0.0
848044dffffffff,1.0,0.0,1.0
84804cbffffffff,1.0,0.0,1.0
848054bffffffff,3.0,2.0,1.0
8480665ffffffff,1.0,1.0,0.0
8480713ffffffff,1.0,1.0,0.0
8481125ffffffff,2.0,0.0,2.0
8481193ffffffff,2.0,0.0,0.0
8481219ffffffff,2.0,0.0,0.0
848124bffffffff,4.0,2.0,0.0
848132dffffffff,1.0,0.0,1.0
8481711ffffffff,1.0,0.0,1.0
