cell_id,Ramphastos ambiguus,Ramphastos ambiguus swainsonii,Ramphastos ambiguus ambiguus/abbreviatus
824537fffffffff,308.0,95.0,0.0
826607fffffffff,14.0,0.0,0.0
82660ffffffffff,1799.0,79.0,42.0
826617fffffffff,2575.0,740.0,0.0
82661ffffffffff,2450.0,481.0,54.0
826627fffffffff,505.0,0.0,137.0
82662ffffffffff,336.0,0.0,19.0
826657fffffffff,7.0,0.0,0.0
8266a7fffffffff,6669.0,1711.0,0.0
8266affffffffff,18.0,0.0,0.0
8266b7fffffffff,15374.0,75.0,0.0
8266c7fffffffff,830.0,0.0,12.0
8266d7fffffffff,6523.0,2517.0,12.0
8266dffffffffff,1653.0,0.0,662.0
8266e7fffffffff,186.0,0.0,0.0
8266f7fffffffff,2038.0,519.0,23.0
82674ffffffffff,15.0,0.0,0.0
82675ffffffffff,14.0,0.0,2.0
826797fffffffff,170.0,24.0,0.0
82679ffffffffff,4355.0,3.0,0.0
826d67fffffffff,5.0,0.0,0.0
826d6ffffffffff,26807.0,39.0,0.0
828e67fffffffff,8.0,0.0,4.0
828f0ffffffffff,988.0,501.0,0.0
828f27fffffffff,6.0,0.0,0.0
828f2ffffffffff,708.0,154.0,0.0
828f47fffffffff,50.0,0.0,14.0
828f4ffffffffff,41.0,0.0,8.0
828f5ffffffffff,50.0,0.0,2.0
828f77fffffffff,93.0,0.0,31.0
