cell_id,Entomyzon cyanotis,Entomyzon cyanotis albipennis,Entomyzon cyanotis [cyanotis Group]
82945ffffffffff,1.0,0.0,0.0
8294effffffffff,2.0,2.0,0.0
829c27fffffffff,3.0,0.0,0.0
829d0ffffffffff,2.0,0.0,2.0
829d27fffffffff,3.0,0.0,3.0
82be0ffffffffff,7.0,0.0,0.0
82be47fffffffff,6.0,0.0,6.0
82be4ffffffffff,4.0,0.0,0.0
82be57fffffffff,2.0,0.0,2.0
82be67fffffffff,6.0,0.0,0.0
82be77fffffffff,15.0,0.0,0.0
82be8ffffffffff,35.0,0.0,0.0
82beaffffffffff,2.0,0.0,0.0
82bee7fffffffff,2.0,0.0,0.0
82beeffffffffff,1.0,0.0,1.0
82bef7fffffffff,2.0,0.0,0.0
