cell_id,Cinnyris venustus,Cinnyris venustus [venustus Group],Cinnyris venustus igneiventris,Cinnyris venustus albiventris
8452d6bffffffff,2.0,0.0,0.0,2.0
846ada9ffffffff,4.0,0.0,2.0,0.0
847a4c1ffffffff,2.0,0.0,0.0,0.0
847a4d5ffffffff,1.0,0.0,1.0,0.0
847a603ffffffff,4.0,0.0,0.0,0.0
847a609ffffffff,9.0,3.0,0.0,0.0
847a631ffffffff,3.0,0.0,0.0,0.0
847a6adffffffff,5.0,4.0,1.0,0.0
847a6e1ffffffff,2.0,0.0,0.0,0.0
847a6e7ffffffff,2.0,2.0,0.0,0.0
847accdffffffff,3.0,0.0,0.0,0.0
8496935ffffffff,1.0,0.0,0.0,0.0
8496a39ffffffff,2.0,2.0,0.0,0.0
