cell_id,Pterodroma hasitata,Pterodroma hasitata (White-faced),Pterodroma hasitata (Dark-faced)
82264ffffffffff,1.0,0.0,0.0
822a07fffffffff,264.0,86.0,0.0
822a0ffffffffff,1.0,0.0,0.0
822a17fffffffff,5.0,0.0,0.0
822a1ffffffffff,570.0,13.0,2.0
822a27fffffffff,3.0,0.0,0.0
822a2ffffffffff,9.0,2.0,0.0
822a8ffffffffff,2.0,0.0,0.0
822aaffffffffff,6.0,0.0,0.0
822ac7fffffffff,77.0,2.0,4.0
822acffffffffff,6.0,0.0,0.0
822ad7fffffffff,2.0,0.0,0.0
822adffffffffff,9.0,0.0,0.0
822ae7fffffffff,2.0,0.0,0.0
822af7fffffffff,260.0,0.0,0.0
822b2ffffffffff,2.0,0.0,0.0
822b57fffffffff,1.0,0.0,0.0
822b9ffffffffff,7.0,0.0,0.0
82351ffffffffff,1.0,0.0,0.0
823927fffffffff,1.0,1.0,0.0
824417fffffffff,4.0,0.0,0.0
824487fffffffff,2.0,0.0,0.0
82448ffffffffff,136.0,2.0,3.0
82449ffffffffff,2.0,0.0,0.0
8244a7fffffffff,7.0,0.0,0.0
8244affffffffff,182.0,5.0,0.0
8244cffffffffff,20.0,0.0,8.0
8244d7fffffffff,162.0,0.0,0.0
8244e7fffffffff,2.0,0.0,0.0
8244f7fffffffff,14.0,0.0,0.0
824597fffffffff,2.0,0.0,0.0
82459ffffffffff,1.0,0.0,0.0
824897fffffffff,5.0,0.0,0.0
824c87fffffffff,1.0,1.0,0.0
824c8ffffffffff,2.0,0.0,0.0
824c9ffffffffff,3.0,0.0,0.0
824cc7fffffffff,2.0,0.0,0.0
824cd7fffffffff,4.0,0.0,0.0
824cf7fffffffff,5.0,0.0,0.0
825e47fffffffff,9.0,0.0,0.0
825e77fffffffff,4.0,0.0,0.0
826727fffffffff,41.0,2.0,0.0
82672ffffffffff,2.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0
82676ffffffffff,2.0,0.0,0.0
8267a7fffffffff,1.0,0.0,1.0
