cell_id,Bubo capensis,Bubo capensis dillonii/mackinderi,Bubo capensis capensis
837a41fffffffff,1.0,1.0,0.0
837a45fffffffff,13.0,10.0,0.0
837accfffffffff,1.0,0.0,0.0
83ada0fffffffff,2.0,0.0,0.0
83ada2fffffffff,2.0,0.0,0.0
83bc42fffffffff,2.0,0.0,1.0
83bc43fffffffff,7.0,0.0,3.0
83bc46fffffffff,1.0,0.0,0.0
83bc49fffffffff,6.0,0.0,3.0
83bc4dfffffffff,2.0,0.0,0.0
83bc54fffffffff,2.0,0.0,0.0
83bc59fffffffff,3.0,0.0,0.0
83bc5cfffffffff,1.0,0.0,0.0
83bc69fffffffff,9.0,0.0,0.0
83bc6bfffffffff,1.0,0.0,1.0
83bcc3fffffffff,1.0,0.0,0.0
83bcd0fffffffff,2.0,0.0,0.0
83bcd1fffffffff,36.0,0.0,3.0
83bce2fffffffff,4.0,0.0,0.0
83bce6fffffffff,7.0,0.0,0.0
83bce9fffffffff,1.0,0.0,0.0
83bcf5fffffffff,2.0,0.0,0.0
