cell_id,Catharus aurantiirostris,Catharus aurantiirostris [melpomene Group],Catharus aurantiirostris [griseiceps Group],Catharus aurantiirostris [aurantiirostris Group]
82278ffffffffff,11.0,0.0,0.0,0.0
824527fffffffff,4.0,2.0,0.0,0.0
824817fffffffff,4.0,0.0,0.0,0.0
824837fffffffff,1.0,1.0,0.0,0.0
8248a7fffffffff,5.0,0.0,0.0,0.0
8248cffffffffff,4.0,0.0,0.0,0.0
824987fffffffff,12.0,0.0,0.0,0.0
82498ffffffffff,2.0,0.0,0.0,0.0
824997fffffffff,68.0,31.0,0.0,0.0
82499ffffffffff,1.0,1.0,0.0,0.0
8249a7fffffffff,10.0,0.0,0.0,0.0
8249affffffffff,9.0,7.0,0.0,0.0
825f5ffffffffff,5.0,0.0,0.0,0.0
82662ffffffffff,2.0,0.0,0.0,0.0
8266b7fffffffff,48.0,1.0,14.0,2.0
8266c7fffffffff,1.0,0.0,0.0,0.0
8266f7fffffffff,5.0,0.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0,2.0
82674ffffffffff,5.0,0.0,0.0,0.0
826757fffffffff,1.0,0.0,0.0,0.0
82675ffffffffff,14.0,0.0,0.0,0.0
826797fffffffff,1.0,0.0,0.0,0.0
826d27fffffffff,5.0,1.0,0.0,0.0
826d2ffffffffff,43.0,33.0,0.0,0.0
826d37fffffffff,12.0,7.0,0.0,0.0
826d67fffffffff,5.0,0.0,0.0,2.0
826d6ffffffffff,140.0,101.0,0.0,2.0
826d77fffffffff,2.0,0.0,0.0,0.0
