cell_id,Pernis ptilorhynchus,Pernis ptilorhynchus orientalis,Pernis ptilorhynchus ruficollis/philippensis,Pernis ptilorhynchus [ptilorhynchus Group]
84200adffffffff,3.0,0.0,0.0,0.0
8420e65ffffffff,1.0,0.0,0.0,0.0
8424037ffffffff,1.0,0.0,0.0,0.0
84240e7ffffffff,1.0,0.0,0.0,0.0
84241d9ffffffff,1.0,0.0,0.0,0.0
8424d23ffffffff,2.0,0.0,0.0,0.0
8425ac9ffffffff,3.0,3.0,0.0,0.0
842c043ffffffff,4.0,4.0,0.0,0.0
842c215ffffffff,52.0,0.0,0.0,0.0
842c239ffffffff,2.0,0.0,0.0,0.0
842c915ffffffff,3.0,0.0,0.0,0.0
842c933ffffffff,2.0,0.0,0.0,0.0
842c93bffffffff,11.0,0.0,0.0,0.0
842cc07ffffffff,14.0,0.0,0.0,0.0
842cd5bffffffff,3.0,0.0,0.0,0.0
842da17ffffffff,1.0,0.0,0.0,0.0
842db05ffffffff,3.0,0.0,0.0,0.0
842db0dffffffff,2.0,0.0,0.0,0.0
842db1dffffffff,6.0,0.0,0.0,0.0
842db29ffffffff,1.0,0.0,0.0,0.0
842db2bffffffff,2.0,0.0,0.0,0.0
842e689ffffffff,2.0,0.0,0.0,0.0
8430155ffffffff,2.0,0.0,0.0,0.0
843015bffffffff,7.0,0.0,0.0,0.0
84309b3ffffffff,2.0,0.0,0.0,0.0
8430c0dffffffff,2.0,0.0,0.0,0.0
8430c29ffffffff,12.0,0.0,0.0,0.0
8430c67ffffffff,9.0,0.0,0.0,0.0
8430d03ffffffff,1.0,0.0,0.0,0.0
8430d39ffffffff,2.0,0.0,0.0,0.0
8430e57ffffffff,1.0,0.0,0.0,0.0
843185bffffffff,6.0,0.0,0.0,0.0
8431a87ffffffff,2.0,0.0,0.0,0.0
8431aa5ffffffff,3.0,0.0,0.0,0.0
843c159ffffffff,6.0,0.0,0.0,0.0
843c199ffffffff,3.0,0.0,0.0,0.0
843c19bffffffff,1.0,0.0,0.0,0.0
843c1b5ffffffff,6.0,0.0,3.0,0.0
843c1b9ffffffff,5.0,0.0,0.0,0.0
843c1c3ffffffff,6.0,0.0,0.0,0.0
843c1d1ffffffff,1.0,0.0,0.0,0.0
843c581ffffffff,2.0,0.0,0.0,0.0
843c585ffffffff,3.0,0.0,0.0,0.0
843c89bffffffff,1.0,0.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0,0.0
843c92dffffffff,1.0,0.0,0.0,0.0
843c943ffffffff,4.0,0.0,0.0,0.0
843c967ffffffff,4.0,0.0,0.0,0.0
843ca25ffffffff,2.0,0.0,0.0,0.0
843ca97ffffffff,20.0,0.0,0.0,0.0
843cb11ffffffff,4.0,0.0,0.0,0.0
843cb13ffffffff,1.0,0.0,0.0,0.0
843cc43ffffffff,3.0,0.0,0.0,0.0
843ce2bffffffff,1.0,0.0,0.0,0.0
843ce53ffffffff,2.0,0.0,0.0,0.0
843ce57ffffffff,2.0,0.0,2.0,0.0
843cec9ffffffff,3.0,0.0,0.0,0.0
843cecdffffffff,2.0,0.0,2.0,0.0
843cf29ffffffff,3.0,0.0,2.0,0.0
843cf2dffffffff,10.0,0.0,0.0,0.0
843cf69ffffffff,6.0,0.0,0.0,0.0
843d045ffffffff,3.0,0.0,0.0,0.0
843d04dffffffff,8.0,0.0,0.0,0.0
843d139ffffffff,2.0,0.0,0.0,0.0
843d143ffffffff,3.0,0.0,0.0,0.0
843d355ffffffff,3.0,0.0,0.0,0.0
843d35dffffffff,2.0,0.0,0.0,0.0
843d8c1ffffffff,1.0,0.0,0.0,0.0
843da1dffffffff,1.0,0.0,1.0,0.0
843da91ffffffff,1.0,0.0,0.0,0.0
843daddffffffff,1.0,0.0,0.0,0.0
843e451ffffffff,2.0,0.0,0.0,0.0
843e457ffffffff,11.0,2.0,0.0,0.0
843e631ffffffff,2.0,0.0,0.0,0.0
843e689ffffffff,86.0,0.0,0.0,0.0
843e68dffffffff,8.0,0.0,0.0,0.0
843e6c3ffffffff,2.0,0.0,0.0,0.0
