cell_id,Pterodroma brevipes,Pterodroma brevipes brevipes,Pterodroma brevipes magnificens
837918fffffffff,1.0,1.0,0.0
838930fffffffff,2.0,0.0,0.0
8389b4fffffffff,1.0,0.0,0.0
839a04fffffffff,1.0,0.0,0.0
839a28fffffffff,1.0,0.0,0.0
839b0afffffffff,1.0,0.0,0.0
839b0cfffffffff,1.0,0.0,0.0
839b18fffffffff,1.0,0.0,0.0
839b28fffffffff,1.0,0.0,0.0
839b41fffffffff,2.0,1.0,0.0
839b43fffffffff,1.0,0.0,0.0
839b45fffffffff,3.0,1.0,0.0
839b5dfffffffff,1.0,0.0,0.0
839b6efffffffff,1.0,1.0,0.0
839b8efffffffff,1.0,0.0,0.0
839e05fffffffff,1.0,0.0,1.0
839e06fffffffff,1.0,0.0,1.0
839e10fffffffff,1.0,0.0,1.0
839e15fffffffff,2.0,0.0,1.0
839e1cfffffffff,1.0,0.0,1.0
839e24fffffffff,1.0,0.0,0.0
839e8cfffffffff,1.0,0.0,0.0
839e8dfffffffff,1.0,0.0,0.0
839ed4fffffffff,1.0,0.0,0.0
839f18fffffffff,1.0,0.0,0.0
83a06bfffffffff,1.0,0.0,0.0
83a0d9fffffffff,1.0,0.0,0.0
83a0edfffffffff,1.0,0.0,0.0
83b4d3fffffffff,1.0,0.0,0.0
83b4ebfffffffff,1.0,0.0,0.0
83b4eefffffffff,1.0,1.0,0.0
83baf6fffffffff,8.0,0.0,0.0
83bb59fffffffff,2.0,0.0,0.0
83bb5bfffffffff,1.0,1.0,0.0
83bea8fffffffff,2.0,2.0,0.0
83beaefffffffff,4.0,0.0,4.0
83bfb0fffffffff,2.0,0.0,0.0
