cell_id,Onychorhynchus coronatus,Onychorhynchus coronatus mexicanus/fraterculus,Onychorhynchus coronatus occidentalis,Onychorhynchus coronatus coronatus/castelnaui
84450ddffffffff,3.0,0.0,0.0,0.0
8445225ffffffff,2.0,2.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0,0.0
8445287ffffffff,2.0,2.0,0.0,0.0
84452a1ffffffff,3.0,0.0,0.0,0.0
84452a9ffffffff,6.0,0.0,0.0,0.0
84452adffffffff,8.0,1.0,0.0,0.0
84452e1ffffffff,4.0,0.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0,0.0
8466113ffffffff,3.0,0.0,0.0,0.0
8466163ffffffff,4.0,0.0,0.0,0.0
8466189ffffffff,2.0,0.0,0.0,0.0
84661b1ffffffff,4.0,0.0,0.0,0.0
84661bbffffffff,2.0,0.0,0.0,0.0
84661c3ffffffff,11.0,2.0,0.0,0.0
84661c9ffffffff,3.0,0.0,0.0,0.0
84661cdffffffff,19.0,0.0,0.0,0.0
84661ebffffffff,20.0,3.0,0.0,0.0
8466b45ffffffff,2.0,0.0,0.0,0.0
8466b49ffffffff,2.0,2.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0,0.0
8466b55ffffffff,2.0,2.0,0.0,0.0
8466c5dffffffff,2.0,0.0,0.0,0.0
8466ecbffffffff,2.0,0.0,0.0,0.0
84679a5ffffffff,6.0,6.0,0.0,0.0
84679a7ffffffff,60.0,0.0,0.0,0.0
846d21dffffffff,8.0,1.0,0.0,0.0
846d2c9ffffffff,6.0,4.0,0.0,0.0
846d30dffffffff,3.0,3.0,0.0,0.0
846d315ffffffff,1.0,0.0,0.0,0.0
846d319ffffffff,1.0,0.0,0.0,0.0
846d35dffffffff,2.0,2.0,0.0,0.0
846d681ffffffff,6.0,0.0,0.0,0.0
846d685ffffffff,1.0,1.0,0.0,0.0
846d68dffffffff,1.0,0.0,0.0,0.0
846d691ffffffff,3.0,0.0,0.0,0.0
846d693ffffffff,8.0,0.0,0.0,0.0
846d697ffffffff,8.0,6.0,0.0,0.0
846d69bffffffff,2.0,2.0,0.0,0.0
846d69dffffffff,2.0,0.0,0.0,0.0
8481423ffffffff,1.0,0.0,0.0,0.0
8481431ffffffff,3.0,0.0,0.0,1.0
848b44bffffffff,4.0,0.0,0.0,4.0
848b637ffffffff,5.0,0.0,0.0,5.0
848f0d1ffffffff,3.0,0.0,3.0,0.0
848f2a9ffffffff,1.0,0.0,0.0,0.0
848f2b9ffffffff,5.0,0.0,3.0,0.0
848f2bbffffffff,2.0,0.0,2.0,0.0
