cell_id,Neotis denhami,Neotis denhami denhami,Neotis denhami jacksoni,Neotis denhami stanleyi
835449fffffffff,2.0,0.0,0.0,0.0
835858fffffffff,2.0,0.0,0.0,0.0
8358a4fffffffff,7.0,0.0,0.0,0.0
83599efffffffff,1.0,0.0,0.0,0.0
836a5afffffffff,1.0,0.0,0.0,0.0
836ac0fffffffff,2.0,2.0,0.0,0.0
836ae8fffffffff,40.0,8.0,0.0,0.0
836aeafffffffff,15.0,0.0,0.0,0.0
836aeefffffffff,120.0,6.0,0.0,0.0
836b30fffffffff,2.0,0.0,0.0,0.0
837520fffffffff,21.0,4.0,0.0,0.0
837531fffffffff,2.0,0.0,0.0,0.0
837a41fffffffff,2.0,0.0,0.0,0.0
837a45fffffffff,1.0,0.0,0.0,0.0
837a6dfffffffff,1.0,0.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0,0.0
839602fffffffff,1.0,0.0,0.0,0.0
839609fffffffff,4.0,0.0,0.0,0.0
83962cfffffffff,2.0,0.0,0.0,0.0
83962efffffffff,1.0,0.0,1.0,0.0
839646fffffffff,1.0,0.0,0.0,0.0
839671fffffffff,3.0,0.0,0.0,0.0
839675fffffffff,11.0,0.0,0.0,0.0
839692fffffffff,1.0,0.0,0.0,0.0
8396a0fffffffff,6.0,0.0,1.0,0.0
8396a5fffffffff,37.0,0.0,10.0,0.0
8396e6fffffffff,1.0,0.0,0.0,0.0
839743fffffffff,6.0,0.0,0.0,0.0
83974efffffffff,3.0,0.0,0.0,0.0
839751fffffffff,3.0,0.0,0.0,0.0
83bc09fffffffff,6.0,0.0,0.0,0.0
83bc40fffffffff,4.0,0.0,0.0,0.0
83bc43fffffffff,3.0,0.0,0.0,0.0
83bc44fffffffff,1.0,0.0,0.0,0.0
83bc45fffffffff,4.0,0.0,0.0,0.0
83bc46fffffffff,7.0,0.0,0.0,2.0
83bc4cfffffffff,1.0,0.0,0.0,1.0
83bc51fffffffff,2.0,0.0,0.0,0.0
83bc55fffffffff,3.0,0.0,0.0,0.0
83bc68fffffffff,182.0,0.0,0.0,51.0
83bc69fffffffff,30.0,0.0,0.0,7.0
83bc6afffffffff,152.0,0.0,0.0,47.0
83bc6bfffffffff,85.0,0.0,0.0,23.0
83bc71fffffffff,21.0,0.0,0.0,0.0
83bc72fffffffff,3.0,0.0,0.0,1.0
83bc73fffffffff,30.0,0.0,0.0,3.0
83bcc2fffffffff,2.0,0.0,0.0,0.0
83bcc6fffffffff,62.0,0.0,0.0,17.0
83bcd0fffffffff,6.0,0.0,0.0,5.0
83bcd1fffffffff,33.0,0.0,0.0,13.0
83bcd3fffffffff,2.0,0.0,0.0,2.0
83bcd4fffffffff,4.0,0.0,0.0,0.0
83bcd5fffffffff,4.0,0.0,0.0,1.0
83bce0fffffffff,7.0,0.0,0.0,2.0
83bce2fffffffff,28.0,0.0,0.0,3.0
83bce6fffffffff,38.0,0.0,0.0,12.0
83bcf2fffffffff,2.0,0.0,0.0,0.0
83bcf3fffffffff,81.0,0.0,0.0,39.0
83bcf5fffffffff,20.0,0.0,0.0,13.0
83bcf6fffffffff,14.0,0.0,0.0,2.0
