cell_id,Myiobius atricaudus,Myiobius atricaudus [atricaudus Group],Myiobius atricaudus ridgwayi
845f42bffffffff,2.0,0.0,0.0
845f68bffffffff,4.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0
846601bffffffff,1.0,0.0,0.0
8466037ffffffff,1.0,0.0,0.0
8466045ffffffff,30.0,0.0,0.0
846606bffffffff,4.0,0.0,0.0
846608dffffffff,8.0,0.0,0.0
84660a7ffffffff,8.0,0.0,0.0
84660c5ffffffff,6.0,0.0,0.0
84660e5ffffffff,2.0,0.0,0.0
8466103ffffffff,1.0,0.0,0.0
8466105ffffffff,2.0,0.0,0.0
8466107ffffffff,167.0,11.0,0.0
8466117ffffffff,9.0,0.0,0.0
8466131ffffffff,18.0,0.0,0.0
8466139ffffffff,70.0,2.0,0.0
846613dffffffff,3.0,0.0,0.0
8466163ffffffff,46.0,2.0,0.0
8466165ffffffff,38.0,2.0,0.0
8466167ffffffff,2.0,0.0,0.0
8466183ffffffff,26.0,0.0,0.0
8466191ffffffff,2.0,0.0,0.0
8466193ffffffff,5.0,0.0,0.0
846619bffffffff,167.0,0.0,0.0
84661b3ffffffff,18.0,0.0,0.0
84661b9ffffffff,17.0,0.0,0.0
84661d9ffffffff,1.0,0.0,0.0
84661ebffffffff,4.0,0.0,0.0
8466313ffffffff,2.0,0.0,0.0
8466a21ffffffff,1.0,0.0,0.0
8466a23ffffffff,3.0,0.0,0.0
8466a31ffffffff,2.0,0.0,0.0
8466a33ffffffff,11.0,0.0,0.0
8466a51ffffffff,535.0,30.0,0.0
8466a55ffffffff,2.0,1.0,0.0
8466a59ffffffff,14.0,1.0,0.0
8466a5bffffffff,3.0,0.0,0.0
8466a5dffffffff,4.0,0.0,0.0
8466a9bffffffff,1.0,0.0,0.0
8466b01ffffffff,60.0,0.0,0.0
8466b09ffffffff,21.0,0.0,0.0
8466b0bffffffff,114.0,0.0,0.0
8466b41ffffffff,13.0,0.0,0.0
8466b43ffffffff,100.0,0.0,0.0
8466b45ffffffff,9.0,0.0,0.0
8466b47ffffffff,7.0,0.0,0.0
8466b51ffffffff,6.0,0.0,0.0
8466b55ffffffff,44.0,0.0,0.0
8466b5dffffffff,5.0,0.0,0.0
8466d01ffffffff,1.0,0.0,0.0
8466d03ffffffff,3.0,0.0,0.0
8466d07ffffffff,2.0,2.0,0.0
8466d0dffffffff,6.0,0.0,0.0
8466d23ffffffff,2.0,0.0,0.0
8466d25ffffffff,2.0,0.0,0.0
8466d35ffffffff,22.0,1.0,0.0
8466d3dffffffff,4.0,0.0,0.0
8466d81ffffffff,7.0,0.0,0.0
8466dc3ffffffff,22.0,1.0,0.0
8466dc7ffffffff,8.0,0.0,0.0
8466dd3ffffffff,2.0,0.0,0.0
8466dd5ffffffff,4.0,4.0,0.0
8466de3ffffffff,9.0,0.0,0.0
8466de7ffffffff,2.0,0.0,0.0
8466e47ffffffff,1.0,0.0,0.0
8466e63ffffffff,1.0,0.0,0.0
8466e65ffffffff,6.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8466e6dffffffff,362.0,0.0,0.0
8466f01ffffffff,1.0,0.0,0.0
8466f03ffffffff,9.0,0.0,0.0
8466f19ffffffff,1.0,0.0,0.0
8466f1dffffffff,3.0,0.0,0.0
8466f33ffffffff,2.0,0.0,0.0
8466f35ffffffff,13.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0
84679b7ffffffff,4.0,0.0,0.0
8480007ffffffff,2.0,0.0,0.0
8480021ffffffff,7.0,0.0,0.0
8480027ffffffff,4.0,0.0,0.0
8480053ffffffff,1.0,0.0,0.0
8480055ffffffff,2.0,0.0,0.0
84800c5ffffffff,1.0,0.0,0.0
8480101ffffffff,5.0,0.0,0.0
8480109ffffffff,51.0,0.0,0.0
848011bffffffff,6.0,0.0,0.0
8480309ffffffff,2.0,0.0,0.0
848030dffffffff,7.0,0.0,0.0
8480361ffffffff,2.0,0.0,0.0
8480363ffffffff,89.0,0.0,0.0
8480655ffffffff,2.0,0.0,0.0
8480759ffffffff,1.0,0.0,0.0
8481005ffffffff,2.0,0.0,0.0
8481211ffffffff,10.0,0.0,0.0
848124bffffffff,2.0,0.0,0.0
848124dffffffff,3.0,0.0,0.0
84812bdffffffff,2.0,0.0,0.0
84812d7ffffffff,1.0,0.0,0.0
8481339ffffffff,4.0,0.0,0.0
848146bffffffff,1.0,0.0,0.0
84815e9ffffffff,1.0,0.0,0.0
8481711ffffffff,13.0,5.0,0.0
8481713ffffffff,11.0,0.0,0.0
848a1a7ffffffff,8.0,0.0,0.0
848a459ffffffff,8.0,0.0,0.0
848a637ffffffff,2.0,0.0,0.0
848a68bffffffff,2.0,0.0,0.0
848a699ffffffff,5.0,0.0,0.0
848a6d7ffffffff,2.0,0.0,0.0
848a6d9ffffffff,2.0,0.0,0.0
848a6dbffffffff,2.0,0.0,0.0
848a70bffffffff,3.0,0.0,0.0
848a8edffffffff,2.0,0.0,0.0
848aa9dffffffff,1.0,0.0,0.0
848af09ffffffff,2.0,0.0,0.0
848b513ffffffff,2.0,0.0,0.0
848f0d1ffffffff,39.0,4.0,0.0
848f0d5ffffffff,9.0,4.0,0.0
848f0dbffffffff,38.0,6.0,0.0
848f289ffffffff,1.0,1.0,0.0
848f295ffffffff,18.0,0.0,0.0
848f2a9ffffffff,95.0,10.0,0.0
848f2abffffffff,4.0,0.0,0.0
848f2b3ffffffff,1.0,0.0,0.0
848f2b9ffffffff,26.0,8.0,0.0
848f2bbffffffff,20.0,3.0,0.0
848f2bdffffffff,7.0,2.0,0.0
848f2c3ffffffff,7.0,0.0,0.0
848f2cdffffffff,43.0,0.0,0.0
848f2e3ffffffff,2.0,0.0,0.0
848f2e7ffffffff,1.0,0.0,0.0
848f401ffffffff,52.0,0.0,0.0
848f407ffffffff,22.0,0.0,0.0
848f439ffffffff,2.0,0.0,0.0
848f463ffffffff,11.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0
848f6b5ffffffff,3.0,0.0,0.0
848f729ffffffff,6.0,0.0,0.0
848f72bffffffff,11.0,0.0,0.0
84a8061ffffffff,5.0,0.0,0.0
84a8067ffffffff,5.0,0.0,0.0
84a8101ffffffff,22.0,0.0,0.0
84a8105ffffffff,22.0,0.0,0.0
84a8109ffffffff,8.0,0.0,0.0
84a810bffffffff,26.0,0.0,0.0
84a8123ffffffff,19.0,0.0,0.0
84a8125ffffffff,3.0,0.0,0.0
84a8127ffffffff,5.0,0.0,0.0
84a8129ffffffff,7.0,0.0,0.0
84a812bffffffff,4.0,0.0,0.0
84a812dffffffff,15.0,0.0,0.0
84a8143ffffffff,1.0,0.0,0.0
84a8151ffffffff,1.0,0.0,0.0
84a8155ffffffff,45.0,0.0,4.0
84a8157ffffffff,17.0,0.0,1.0
84a815bffffffff,20.0,0.0,2.0
84a8311ffffffff,2.0,0.0,0.0
84a8317ffffffff,6.0,0.0,0.0
84a831dffffffff,4.0,0.0,0.0
84a833bffffffff,10.0,0.0,0.0
84a8351ffffffff,1.0,0.0,0.0
84a8353ffffffff,30.0,0.0,0.0
84a8357ffffffff,2.0,0.0,0.0
84a8359ffffffff,2.0,0.0,0.0
84a835bffffffff,3.0,0.0,0.0
84a8805ffffffff,2.0,0.0,0.0
84a8811ffffffff,5.0,0.0,0.0
84a8819ffffffff,1.0,0.0,0.0
84a881bffffffff,2.0,0.0,0.0
84a8821ffffffff,1.0,0.0,0.0
84a8823ffffffff,1.0,0.0,0.0
84a882dffffffff,32.0,0.0,5.0
84a8849ffffffff,23.0,0.0,1.0
84a884dffffffff,4.0,0.0,0.0
84a8895ffffffff,8.0,0.0,0.0
84a88b1ffffffff,2.0,0.0,0.0
84a8917ffffffff,1.0,0.0,0.0
84a8919ffffffff,5.0,0.0,1.0
84a8a11ffffffff,3.0,0.0,0.0
84a8a13ffffffff,115.0,0.0,9.0
84a8a15ffffffff,3.0,0.0,0.0
84a8a17ffffffff,28.0,0.0,0.0
84a8a19ffffffff,11.0,0.0,1.0
84a8a23ffffffff,17.0,0.0,0.0
84a8a27ffffffff,3.0,0.0,0.0
84a8a39ffffffff,3.0,0.0,0.0
84a8a3dffffffff,9.0,0.0,0.0
84a8a53ffffffff,12.0,0.0,1.0
84a8a97ffffffff,1.0,0.0,0.0
84a8acdffffffff,7.0,0.0,0.0
84a8ad3ffffffff,1.0,0.0,0.0
84a8ad5ffffffff,1.0,0.0,0.0
84a8ae5ffffffff,2.0,0.0,0.0
84a8d19ffffffff,2.0,0.0,0.0
84a8d1bffffffff,24.0,0.0,0.0
84a8de1ffffffff,9.0,0.0,0.0
84a8de3ffffffff,9.0,0.0,0.0
84a8de7ffffffff,4.0,0.0,0.0
84a8debffffffff,10.0,0.0,0.0
