cell_id,Jynx ruficollis,Jynx ruficollis ruficollis,Jynx ruficollis pulchricollis,Jynx ruficollis aequatorialis
83529bfffffffff,6.0,0.0,0.0,0.0
8358defffffffff,3.0,0.0,0.0,0.0
836ac0fffffffff,2.0,0.0,0.0,0.0
836ac1fffffffff,10.0,0.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0,0.0
836acefffffffff,11.0,0.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0,0.0
836adcfffffffff,93.0,0.0,0.0,0.0
836addfffffffff,1.0,0.0,0.0,0.0
836adefffffffff,12.0,0.0,0.0,0.0
837a40fffffffff,2.0,0.0,0.0,0.0
837a41fffffffff,4.0,0.0,0.0,0.0
837a43fffffffff,2.0,0.0,0.0,0.0
837a45fffffffff,20.0,0.0,0.0,0.0
837a48fffffffff,5.0,0.0,0.0,0.0
837a4cfffffffff,6.0,0.0,0.0,0.0
837a68fffffffff,57.0,0.0,0.0,0.0
837a6afffffffff,40.0,0.0,0.0,0.0
837a6bfffffffff,5.0,0.0,0.0,0.0
837a6efffffffff,19.0,0.0,0.0,0.0
837ac8fffffffff,101.0,0.0,0.0,28.0
837acafffffffff,10.0,0.0,0.0,3.0
837accfffffffff,7.0,0.0,0.0,1.0
837acdfffffffff,49.0,0.0,0.0,6.0
837ad9fffffffff,2.0,0.0,0.0,0.0
837ae8fffffffff,2.0,0.0,0.0,0.0
837aebfffffffff,3.0,0.0,0.0,0.0
8382a0fffffffff,4.0,0.0,0.0,0.0
8382a5fffffffff,3.0,2.0,0.0,0.0
838312fffffffff,1.0,0.0,0.0,0.0
838332fffffffff,2.0,0.0,0.0,0.0
838333fffffffff,3.0,0.0,0.0,0.0
839609fffffffff,1.0,0.0,0.0,0.0
8396b0fffffffff,11.0,0.0,0.0,0.0
8396b6fffffffff,11.0,0.0,0.0,0.0
83972dfffffffff,2.0,0.0,0.0,0.0
83bc09fffffffff,4.0,0.0,0.0,0.0
83bc0bfffffffff,1.0,0.0,0.0,0.0
83bc19fffffffff,19.0,2.0,0.0,0.0
83bc46fffffffff,1.0,0.0,0.0,0.0
83bc54fffffffff,1.0,0.0,0.0,0.0
83bc56fffffffff,2.0,0.0,0.0,0.0
83bc73fffffffff,17.0,3.0,0.0,0.0
83bcc0fffffffff,2.0,0.0,0.0,0.0
83bcc1fffffffff,3.0,0.0,0.0,0.0
83bcc2fffffffff,29.0,4.0,0.0,0.0
83bcc3fffffffff,196.0,45.0,0.0,0.0
83bcc4fffffffff,31.0,2.0,0.0,0.0
83bcc6fffffffff,115.0,21.0,0.0,0.0
83bcd0fffffffff,59.0,7.0,0.0,0.0
83bcd1fffffffff,47.0,14.0,0.0,0.0
83bcd2fffffffff,1.0,1.0,0.0,0.0
83bcd3fffffffff,2.0,0.0,0.0,0.0
83bcd4fffffffff,22.0,0.0,0.0,0.0
83bcd5fffffffff,16.0,10.0,0.0,0.0
83bcdcfffffffff,81.0,18.0,0.0,0.0
83bcdefffffffff,3.0,0.0,0.0,0.0
83bce2fffffffff,214.0,66.0,0.0,0.0
83bce5fffffffff,2.0,0.0,0.0,0.0
83bce6fffffffff,58.0,17.0,0.0,0.0
83bcecfffffffff,2.0,0.0,0.0,0.0
83bcf0fffffffff,5.0,2.0,0.0,0.0
83bcf1fffffffff,24.0,2.0,0.0,0.0
83bcf2fffffffff,11.0,0.0,0.0,0.0
83bcf3fffffffff,91.0,34.0,0.0,0.0
83bcf5fffffffff,455.0,295.0,0.0,0.0
83bcf6fffffffff,10.0,2.0,0.0,0.0
