cell_id,Catharus aurantiirostris,Catharus aurantiirostris [melpomene Group],Catharus aurantiirostris [griseiceps Group],Catharus aurantiirostris [aurantiirostris Group]
834520fffffffff,62.0,0.0,0.0,0.0
834524fffffffff,505.0,0.0,0.0,0.0
834525fffffffff,97.0,0.0,0.0,0.0
834526fffffffff,194.0,0.0,0.0,0.0
834530fffffffff,19.0,0.0,0.0,0.0
834534fffffffff,6.0,0.0,0.0,0.0
834535fffffffff,39.0,0.0,0.0,0.0
834803fffffffff,3.0,0.0,0.0,0.0
83480afffffffff,140.0,0.0,0.0,0.0
834815fffffffff,19.0,0.0,0.0,0.0
834819fffffffff,1.0,0.0,0.0,0.0
83481dfffffffff,12.0,0.0,0.0,0.0
834830fffffffff,2.0,0.0,0.0,0.0
834832fffffffff,2.0,0.0,0.0,0.0
834833fffffffff,237.0,0.0,0.0,0.0
834836fffffffff,1636.0,27.0,0.0,0.0
8348a2fffffffff,89.0,0.0,0.0,0.0
8348cafffffffff,1.0,0.0,0.0,0.0
8348e4fffffffff,67.0,0.0,0.0,0.0
834980fffffffff,455.0,0.0,0.0,0.0
834981fffffffff,2.0,0.0,0.0,0.0
834982fffffffff,19.0,0.0,0.0,0.0
834983fffffffff,23.0,0.0,0.0,0.0
834985fffffffff,77.0,0.0,0.0,0.0
834986fffffffff,282.0,0.0,0.0,0.0
834988fffffffff,25.0,0.0,0.0,0.0
83498cfffffffff,33.0,0.0,0.0,0.0
83498dfffffffff,1.0,0.0,0.0,0.0
834990fffffffff,32.0,2.0,0.0,0.0
834991fffffffff,34.0,0.0,0.0,0.0
834994fffffffff,60.0,3.0,0.0,0.0
834995fffffffff,874.0,31.0,0.0,0.0
834996fffffffff,595.0,134.0,0.0,0.0
834998fffffffff,39.0,0.0,0.0,0.0
83499cfffffffff,31.0,0.0,0.0,0.0
83499dfffffffff,1.0,0.0,0.0,0.0
83499efffffffff,2.0,0.0,0.0,0.0
8349a8fffffffff,466.0,33.0,0.0,0.0
8349a9fffffffff,458.0,37.0,0.0,0.0
8349aafffffffff,403.0,16.0,0.0,0.0
8349abfffffffff,189.0,2.0,0.0,0.0
8349adfffffffff,2.0,2.0,0.0,0.0
8349aefffffffff,8.0,0.0,0.0,0.0
8349b0fffffffff,23.0,0.0,0.0,0.0
8349b1fffffffff,66.0,0.0,0.0,0.0
8349b2fffffffff,4.0,1.0,0.0,0.0
8349b3fffffffff,811.0,2.0,0.0,0.0
8349b5fffffffff,45.0,0.0,0.0,0.0
8349b6fffffffff,16.0,2.0,0.0,0.0
835f48fffffffff,4.0,0.0,0.0,0.0
835f4bfffffffff,13.0,0.0,0.0,0.0
836601fffffffff,121.0,0.0,0.0,0.0
836606fffffffff,3.0,0.0,0.0,0.0
836608fffffffff,269.0,0.0,0.0,3.0
836609fffffffff,3.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0
83660bfffffffff,54.0,0.0,0.0,0.0
83660cfffffffff,35.0,0.0,0.0,0.0
83660dfffffffff,12.0,0.0,0.0,0.0
836618fffffffff,123.0,0.0,0.0,0.0
836619fffffffff,190.0,0.0,0.0,0.0
83661bfffffffff,645.0,0.0,0.0,0.0
83661dfffffffff,10.0,0.0,0.0,0.0
836620fffffffff,1022.0,0.0,0.0,112.0
836621fffffffff,242.0,0.0,0.0,0.0
836622fffffffff,107.0,0.0,0.0,7.0
836623fffffffff,17.0,0.0,0.0,0.0
83662bfffffffff,17.0,0.0,0.0,2.0
83662dfffffffff,6.0,0.0,0.0,0.0
83662efffffffff,5.0,0.0,0.0,0.0
836631fffffffff,1.0,0.0,0.0,0.0
836656fffffffff,1.0,0.0,0.0,0.0
836676fffffffff,1.0,0.0,0.0,0.0
8366a0fffffffff,118.0,0.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0,0.0
8366a2fffffffff,15.0,0.0,0.0,0.0
8366a3fffffffff,55.0,0.0,14.0,0.0
8366a5fffffffff,40.0,0.0,0.0,0.0
8366b4fffffffff,3371.0,0.0,0.0,0.0
8366b5fffffffff,3919.0,0.0,78.0,0.0
8366c0fffffffff,48.0,0.0,0.0,0.0
8366c4fffffffff,170.0,0.0,0.0,0.0
8366c6fffffffff,813.0,0.0,0.0,0.0
8366d1fffffffff,19.0,0.0,0.0,0.0
8366d5fffffffff,67.0,0.0,0.0,0.0
8366e0fffffffff,12.0,0.0,0.0,0.0
8366e4fffffffff,5.0,0.0,0.0,0.0
8366e5fffffffff,104.0,0.0,0.0,0.0
8366e6fffffffff,2637.0,0.0,0.0,0.0
8366f0fffffffff,4.0,0.0,0.0,0.0
8366f1fffffffff,584.0,0.0,0.0,0.0
8366f3fffffffff,3.0,0.0,0.0,0.0
8366f5fffffffff,294.0,0.0,0.0,0.0
836741fffffffff,335.0,0.0,0.0,0.0
836743fffffffff,31.0,0.0,0.0,0.0
83674cfffffffff,233.0,0.0,0.0,6.0
83674efffffffff,597.0,0.0,0.0,4.0
836751fffffffff,16.0,0.0,0.0,0.0
836753fffffffff,2.0,0.0,0.0,0.0
836758fffffffff,1.0,0.0,0.0,0.0
83675afffffffff,8.0,0.0,0.0,0.0
83675cfffffffff,22.0,0.0,0.0,0.0
83675dfffffffff,3.0,0.0,0.0,0.0
83675efffffffff,85.0,0.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0,0.0
836d04fffffffff,3.0,0.0,0.0,0.0
836d05fffffffff,392.0,136.0,0.0,0.0
836d14fffffffff,2.0,1.0,0.0,0.0
836d20fffffffff,13.0,2.0,0.0,0.0
836d21fffffffff,7.0,1.0,0.0,0.0
836d22fffffffff,8.0,0.0,0.0,0.0
836d23fffffffff,182.0,26.0,0.0,0.0
836d28fffffffff,1067.0,28.0,0.0,0.0
836d29fffffffff,1191.0,104.0,0.0,0.0
