cell_id,Myadestes ralloides,Myadestes ralloides plumbeiceps,Myadestes ralloides venezuelensis/candelae,Myadestes ralloides ralloides
82660ffffffffff,759.0,0.0,2.0,0.0
82661ffffffffff,8022.0,12.0,0.0,0.0
826627fffffffff,86.0,0.0,0.0,0.0
82662ffffffffff,199.0,0.0,9.0,0.0
8266c7fffffffff,1871.0,0.0,0.0,0.0
8266d7fffffffff,6001.0,243.0,0.0,0.0
8266dffffffffff,1364.0,0.0,39.0,0.0
8266e7fffffffff,5459.0,38.0,3.0,0.0
8266f7fffffffff,7461.0,38.0,0.0,0.0
826747fffffffff,133.0,0.0,0.0,0.0
82674ffffffffff,69.0,0.0,0.0,0.0
826757fffffffff,21.0,0.0,0.0,0.0
82675ffffffffff,192.0,0.0,0.0,0.0
828b27fffffffff,38.0,0.0,0.0,0.0
828b2ffffffffff,46.0,0.0,0.0,0.0
828b67fffffffff,1358.0,0.0,0.0,17.0
828b6ffffffffff,558.0,0.0,0.0,0.0
828b77fffffffff,25.0,0.0,0.0,0.0
828e67fffffffff,380.0,0.0,0.0,0.0
828e6ffffffffff,23.0,0.0,0.0,0.0
828f0ffffffffff,378.0,0.0,0.0,0.0
828f2ffffffffff,155.0,0.0,0.0,0.0
828f47fffffffff,97.0,0.0,0.0,0.0
828f4ffffffffff,15.0,0.0,0.0,0.0
828f57fffffffff,148.0,0.0,0.0,0.0
828f5ffffffffff,41.0,0.0,0.0,0.0
828f77fffffffff,1049.0,0.0,0.0,0.0
82b327fffffffff,120.0,0.0,0.0,0.0
