cell_id,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca cyanoleuca,Pygochelidon cyanoleuca peruviana,Pygochelidon cyanoleuca patagonica
845f583ffffffff,5.0,0.0,0.0,0.0
845f711ffffffff,4.0,0.0,0.0,0.0
8466089ffffffff,6.0,0.0,0.0,0.0
84660bbffffffff,5.0,0.0,0.0,0.0
84660bdffffffff,1.0,0.0,0.0,0.0
84660c7ffffffff,1.0,0.0,0.0,0.0
8466119ffffffff,2.0,0.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0,0.0
84661b9ffffffff,1.0,1.0,0.0,0.0
8466291ffffffff,4.0,4.0,0.0,0.0
846629dffffffff,2.0,2.0,0.0,0.0
8466a0bffffffff,46.0,0.0,0.0,0.0
8466a57ffffffff,2.0,0.0,0.0,0.0
8466b0bffffffff,2.0,0.0,0.0,0.0
8466b19ffffffff,3.0,0.0,0.0,0.0
8466b1dffffffff,1.0,0.0,0.0,0.0
8466b41ffffffff,7.0,6.0,0.0,0.0
8466b45ffffffff,7.0,7.0,0.0,0.0
8466b49ffffffff,4.0,4.0,0.0,0.0
8466b4dffffffff,28.0,18.0,0.0,0.0
8466b51ffffffff,51.0,0.0,0.0,0.0
8466b53ffffffff,18.0,0.0,0.0,0.0
8466b55ffffffff,1.0,0.0,0.0,0.0
8466b59ffffffff,2.0,0.0,0.0,0.0
8466b5bffffffff,20.0,0.0,0.0,0.0
8466c63ffffffff,1.0,0.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0,0.0
8466d33ffffffff,8.0,0.0,0.0,2.0
8466d35ffffffff,4.0,4.0,0.0,0.0
8466d47ffffffff,1.0,0.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0
8466e65ffffffff,9.0,9.0,0.0,0.0
8466e6dffffffff,9.0,1.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0,0.0
8466f1dffffffff,1.0,0.0,0.0,0.0
8466f5bffffffff,5.0,0.0,0.0,0.0
8467413ffffffff,1.0,0.0,0.0,0.0
846742dffffffff,2.0,0.0,0.0,0.0
84674c5ffffffff,2.0,0.0,0.0,0.0
84674edffffffff,1.0,1.0,0.0,0.0
8467519ffffffff,4.0,0.0,0.0,0.0
8467553ffffffff,6.0,0.0,0.0,0.0
846758dffffffff,4.0,0.0,0.0,0.0
8467599ffffffff,1.0,0.0,0.0,0.0
84675a5ffffffff,1.0,1.0,0.0,0.0
84675a9ffffffff,2.0,0.0,0.0,0.0
84675cbffffffff,4.0,0.0,0.0,0.0
84675e3ffffffff,2.0,0.0,0.0,0.0
84679a3ffffffff,3.0,0.0,0.0,0.0
84679a5ffffffff,12.0,1.0,0.0,0.0
84679a7ffffffff,136.0,0.0,0.0,0.0
84679b3ffffffff,2.0,0.0,0.0,0.0
846d685ffffffff,1.0,0.0,0.0,0.0
846d68bffffffff,3.0,0.0,0.0,0.0
846d691ffffffff,7.0,3.0,0.0,0.0
