cell_id,Leptotila verreauxi,Leptotila verreauxi [verreauxi Group],Leptotila verreauxi decolor,Leptotila verreauxi [brasiliensis Group]
8444249ffffffff,26.0,0.0,0.0,0.0
8445011ffffffff,1.0,0.0,0.0,0.0
8445019ffffffff,190.0,0.0,0.0,0.0
844501bffffffff,67.0,6.0,0.0,0.0
8445053ffffffff,19.0,0.0,0.0,0.0
8445059ffffffff,17.0,0.0,0.0,0.0
844505bffffffff,125.0,0.0,0.0,0.0
8445081ffffffff,9.0,0.0,0.0,0.0
8445083ffffffff,295.0,23.0,0.0,0.0
8445085ffffffff,134.0,8.0,0.0,0.0
8445087ffffffff,680.0,52.0,0.0,0.0
8445089ffffffff,11.0,0.0,0.0,0.0
844508bffffffff,13.0,2.0,0.0,0.0
844508dffffffff,140.0,2.0,0.0,0.0
8445091ffffffff,127.0,15.0,0.0,0.0
8445093ffffffff,27.0,5.0,0.0,0.0
8445095ffffffff,17.0,9.0,0.0,0.0
8445097ffffffff,4.0,0.0,0.0,0.0
8445099ffffffff,430.0,3.0,0.0,0.0
844509bffffffff,784.0,191.0,0.0,0.0
844509dffffffff,22.0,2.0,0.0,0.0
84450a1ffffffff,279.0,3.0,0.0,0.0
84450a3ffffffff,173.0,11.0,0.0,0.0
84450a5ffffffff,104.0,14.0,0.0,0.0
84450a7ffffffff,95.0,3.0,0.0,0.0
84450a9ffffffff,61.0,0.0,0.0,0.0
84450abffffffff,101.0,5.0,0.0,0.0
84450adffffffff,150.0,0.0,0.0,0.0
84450b1ffffffff,298.0,20.0,0.0,0.0
84450b5ffffffff,174.0,0.0,0.0,0.0
84450b9ffffffff,31.0,1.0,0.0,0.0
84450bbffffffff,4.0,0.0,0.0,0.0
84450bdffffffff,102.0,13.0,0.0,0.0
84450c1ffffffff,46.0,1.0,0.0,0.0
84450c3ffffffff,6.0,0.0,0.0,0.0
84450c5ffffffff,102.0,4.0,0.0,0.0
84450c7ffffffff,29.0,0.0,0.0,0.0
84450cdffffffff,51.0,10.0,0.0,0.0
84450d1ffffffff,35.0,9.0,0.0,0.0
84450d3ffffffff,433.0,160.0,0.0,0.0
84450d5ffffffff,171.0,77.0,0.0,0.0
84450d7ffffffff,67.0,0.0,0.0,0.0
84450d9ffffffff,1.0,0.0,0.0,0.0
84450dbffffffff,12.0,2.0,0.0,0.0
84450ddffffffff,33.0,10.0,0.0,0.0
84450e1ffffffff,31.0,0.0,0.0,0.0
84450e3ffffffff,290.0,2.0,0.0,0.0
84450e7ffffffff,2.0,0.0,0.0,0.0
84450ebffffffff,264.0,27.0,0.0,0.0
844519bffffffff,28.0,2.0,0.0,0.0
8445201ffffffff,2.0,0.0,0.0,0.0
8445203ffffffff,48.0,0.0,0.0,0.0
8445205ffffffff,159.0,0.0,0.0,0.0
8445207ffffffff,35.0,0.0,0.0,0.0
8445209ffffffff,190.0,0.0,0.0,0.0
844520bffffffff,9.0,0.0,0.0,0.0
844520dffffffff,316.0,1.0,0.0,0.0
8445211ffffffff,14.0,0.0,0.0,0.0
8445213ffffffff,190.0,0.0,0.0,0.0
8445215ffffffff,389.0,0.0,0.0,0.0
8445217ffffffff,398.0,2.0,0.0,0.0
8445219ffffffff,9.0,0.0,0.0,0.0
844521bffffffff,22.0,0.0,0.0,0.0
844521dffffffff,113.0,3.0,0.0,0.0
8445221ffffffff,49.0,0.0,0.0,0.0
8445225ffffffff,138.0,0.0,0.0,0.0
8445229ffffffff,1.0,0.0,0.0,0.0
844522bffffffff,27.0,0.0,0.0,0.0
844522dffffffff,8.0,0.0,0.0,0.0
8445231ffffffff,3.0,0.0,0.0,0.0
8445233ffffffff,529.0,11.0,0.0,0.0
