cell_id,Psophia crepitans,Psophia crepitans napensis,Psophia crepitans ochroptera,Psophia crepitans crepitans
835f03fffffffff,2.0,0.0,0.0,2.0
835f2bfffffffff,3.0,0.0,0.0,0.0
835f68fffffffff,3.0,0.0,0.0,0.0
83665afffffffff,8.0,0.0,0.0,0.0
8366c2fffffffff,2.0,0.0,0.0,0.0
8366d1fffffffff,13.0,0.0,0.0,0.0
8366ddfffffffff,2.0,0.0,0.0,0.0
8366defffffffff,16.0,0.0,0.0,0.0
8366ecfffffffff,3.0,0.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0
838a69fffffffff,12.0,0.0,0.0,0.0
838a6dfffffffff,1.0,0.0,0.0,0.0
838ad8fffffffff,1.0,0.0,0.0,1.0
