cell_id,Ninox boobook,Ninox boobook [boobook Group],Ninox boobook lurida
839418fffffffff,8.0,2.0,0.0
83941bfffffffff,20.0,1.0,0.0
839450fffffffff,6.0,2.0,0.0
839451fffffffff,25.0,2.0,0.0
839453fffffffff,12.0,0.0,0.0
839455fffffffff,9.0,0.0,0.0
839458fffffffff,12.0,2.0,0.0
83945afffffffff,8.0,1.0,0.0
83945cfffffffff,34.0,9.0,0.0
83945efffffffff,31.0,4.0,0.0
839466fffffffff,18.0,6.0,0.0
839480fffffffff,53.0,3.0,0.0
839481fffffffff,14.0,2.0,0.0
839482fffffffff,2.0,0.0,0.0
839485fffffffff,1.0,0.0,0.0
839489fffffffff,2.0,0.0,0.0
83948dfffffffff,12.0,1.0,0.0
83948efffffffff,10.0,1.0,0.0
8394a9fffffffff,2.0,0.0,0.0
8394aafffffffff,2.0,0.0,0.0
8394adfffffffff,3.0,0.0,0.0
8394c4fffffffff,7.0,1.0,0.0
8394d4fffffffff,1.0,0.0,0.0
8394e2fffffffff,10.0,2.0,0.0
8394e3fffffffff,10.0,3.0,0.0
8394e8fffffffff,8.0,3.0,0.0
8394eafffffffff,4.0,0.0,0.0
8394ebfffffffff,3.0,1.0,0.0
8394edfffffffff,18.0,2.0,0.0
8394eefffffffff,7.0,0.0,0.0
8394f0fffffffff,6.0,0.0,0.0
8394f2fffffffff,10.0,0.0,0.0
8394f5fffffffff,2.0,0.0,0.0
8394f6fffffffff,25.0,2.0,0.0
83955afffffffff,10.0,1.0,0.0
839c01fffffffff,12.0,6.0,0.0
839c05fffffffff,5.0,0.0,0.0
839c0afffffffff,1.0,0.0,0.0
839c0efffffffff,30.0,5.0,0.0
839c19fffffffff,5.0,0.0,0.0
839c20fffffffff,3.0,0.0,0.0
839c21fffffffff,21.0,2.0,0.0
839c23fffffffff,177.0,31.0,0.0
839c25fffffffff,4.0,2.0,0.0
839c2cfffffffff,7.0,0.0,0.0
839c2dfffffffff,8.0,0.0,0.0
