cell_id,Leptocoma sperata,Leptocoma sperata [sperata Group],Leptocoma sperata juliae
824a97fffffffff,5.0,0.0,0.0
824b97fffffffff,12.0,0.0,0.0
826807fffffffff,2.0,0.0,0.0
82682ffffffffff,360.0,25.0,0.0
826847fffffffff,171.0,10.0,0.0
82684ffffffffff,198.0,40.0,12.0
826857fffffffff,24.0,0.0,19.0
82685ffffffffff,197.0,21.0,87.0
826867fffffffff,30.0,15.0,0.0
82686ffffffffff,26.0,7.0,0.0
826877fffffffff,2.0,0.0,0.0
8268e7fffffffff,3.0,0.0,1.0
826947fffffffff,28.0,1.0,0.0
82694ffffffffff,152.0,11.0,0.0
82695ffffffffff,30.0,10.0,0.0
82696ffffffffff,26.0,5.0,0.0
