cell_id,Pterocles alchata,Pterocles alchata alchata,Pterocles alchata caudacutus
82201ffffffffff,5.0,0.0,0.0
822037fffffffff,8.0,0.0,0.0
822c17fffffffff,1.0,0.0,0.0
822c87fffffffff,2.0,0.0,0.0
822c9ffffffffff,1.0,0.0,0.0
822ca7fffffffff,5.0,0.0,0.0
822cc7fffffffff,20.0,0.0,0.0
822db7fffffffff,374.0,0.0,44.0
823817fffffffff,43.0,0.0,0.0
823827fffffffff,2.0,0.0,0.0
823837fffffffff,2.0,0.0,0.0
823847fffffffff,2.0,0.0,0.0
823907fffffffff,893.0,0.0,0.0
82390ffffffffff,868.0,8.0,0.0
82391ffffffffff,113.0,14.0,0.0
82392ffffffffff,33.0,0.0,0.0
823957fffffffff,47.0,0.0,0.0
82396ffffffffff,86.0,11.0,0.0
823977fffffffff,773.0,7.0,0.0
823987fffffffff,1.0,0.0,0.0
82398ffffffffff,112.0,0.0,1.0
823997fffffffff,3.0,0.0,0.0
82399ffffffffff,1.0,0.0,0.0
823e6ffffffffff,17.0,0.0,0.0
824307fffffffff,3.0,0.0,0.0
824337fffffffff,1.0,0.0,0.0
8243a7fffffffff,343.0,0.0,0.0
8243affffffffff,76.0,0.0,0.0
82534ffffffffff,1.0,0.0,0.0
