cell_id,Hylopezus macularius,Hylopezus macularius macularius,Hylopezus macularius dilutus
825f07fffffffff,78.0,3.0,0.0
825f17fffffffff,49.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f27fffffffff,1.0,0.0,0.0
825f2ffffffffff,309.0,0.0,0.0
825f47fffffffff,6.0,1.0,0.0
825f57fffffffff,2.0,0.0,0.0
825f77fffffffff,13.0,0.0,0.0
826647fffffffff,27.0,0.0,0.0
8266effffffffff,135.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828a6ffffffffff,8.0,0.0,0.0
828aeffffffffff,2.0,0.0,0.0
828af7fffffffff,99.0,13.0,0.0
828f67fffffffff,3.0,0.0,0.0
