cell_id,Glareola nuchalis,Glareola nuchalis liberiae,Glareola nuchalis nuchalis
8454e21ffffffff,1.0,0.0,0.0
8454e8bffffffff,10.0,0.0,0.0
8458861ffffffff,4.0,0.0,0.0
845894bffffffff,24.0,0.0,0.0
8458b51ffffffff,1.0,0.0,0.0
8458d23ffffffff,6.0,0.0,0.0
8458d35ffffffff,3.0,0.0,0.0
846a143ffffffff,1.0,0.0,0.0
846ac3dffffffff,3.0,0.0,0.0
846ac89ffffffff,4.0,0.0,0.0
846acd1ffffffff,19.0,0.0,4.0
846ace5ffffffff,1.0,0.0,0.0
846ae85ffffffff,377.0,0.0,62.0
846aea9ffffffff,4.0,0.0,0.0
846aeabffffffff,18.0,0.0,0.0
846aebdffffffff,8.0,0.0,0.0
846aee3ffffffff,25.0,0.0,0.0
84750d1ffffffff,18.0,0.0,0.0
84750ddffffffff,157.0,40.0,0.0
8475131ffffffff,1.0,0.0,0.0
8475181ffffffff,1.0,0.0,0.0
8475287ffffffff,2.0,2.0,0.0
8475861ffffffff,1.0,0.0,0.0
8475ae7ffffffff,1.0,0.0,0.0
8475b07ffffffff,3.0,0.0,0.0
847a4d1ffffffff,4.0,0.0,0.0
847a4d9ffffffff,23.0,0.0,0.0
847a4ddffffffff,7.0,0.0,0.0
8482a09ffffffff,2.0,0.0,0.0
8482a81ffffffff,5.0,0.0,0.0
8482a83ffffffff,3.0,0.0,1.0
8482a91ffffffff,11.0,0.0,0.0
8482aadffffffff,2.0,0.0,0.0
8482d37ffffffff,1.0,0.0,0.0
8482d61ffffffff,8.0,0.0,0.0
8482f69ffffffff,6.0,0.0,0.0
848312bffffffff,2.0,0.0,0.0
8483151ffffffff,1.0,0.0,0.0
84838e3ffffffff,1.0,0.0,0.0
8496185ffffffff,1.0,0.0,0.0
8496189ffffffff,1.0,0.0,0.0
849620bffffffff,2.0,0.0,0.0
849621dffffffff,3.0,0.0,3.0
8496287ffffffff,4.0,0.0,2.0
849628bffffffff,9.0,0.0,0.0
849629dffffffff,4.0,0.0,0.0
84962abffffffff,2.0,0.0,0.0
84962b9ffffffff,1.0,0.0,0.0
8496d85ffffffff,1.0,0.0,0.0
8497435ffffffff,1.0,0.0,0.0
84974a9ffffffff,1.0,0.0,0.0
84974abffffffff,45.0,0.0,10.0
84974b9ffffffff,20.0,0.0,7.0
84974bbffffffff,2.0,0.0,0.0
84974bdffffffff,1.0,0.0,0.0
84974e1ffffffff,1.0,0.0,0.0
8497503ffffffff,2.0,0.0,0.0
8497513ffffffff,57.0,0.0,1.0
8497515ffffffff,188.0,0.0,29.0
8497517ffffffff,117.0,0.0,16.0
8497583ffffffff,2.0,0.0,0.0
84975c7ffffffff,2.0,0.0,0.0
84975d5ffffffff,2.0,0.0,0.0
8497a8bffffffff,6.0,0.0,0.0
