cell_id,Aegolius funereus,Aegolius funereus [funereus Group],Aegolius funereus richardsoni
8408809ffffffff,3.0,3.0,0.0
8409a47ffffffff,3.0,0.0,0.0
840c42dffffffff,1.0,0.0,0.0
840c51dffffffff,6.0,0.0,0.0
840c5adffffffff,16.0,0.0,0.0
840c733ffffffff,1.0,0.0,1.0
840c73bffffffff,3.0,0.0,3.0
840e45bffffffff,2.0,0.0,0.0
840ec9bffffffff,6.0,0.0,0.0
840ecc9ffffffff,48.0,0.0,0.0
840eea7ffffffff,15.0,0.0,0.0
841130bffffffff,2.0,0.0,0.0
84125b1ffffffff,2.0,0.0,0.0
8412c03ffffffff,2.0,0.0,0.0
8412c15ffffffff,2.0,0.0,0.0
8412c4dffffffff,1.0,0.0,1.0
8412ccdffffffff,34.0,0.0,0.0
8412d11ffffffff,4.0,0.0,0.0
8412d17ffffffff,3.0,0.0,0.0
8412d2dffffffff,2.0,0.0,0.0
8412d83ffffffff,1.0,0.0,0.0
8412d89ffffffff,12.0,0.0,0.0
8412d8bffffffff,5.0,0.0,0.0
8412dc3ffffffff,6.0,0.0,0.0
8412dd7ffffffff,1.0,0.0,0.0
841382bffffffff,1.0,0.0,0.0
8413831ffffffff,4.0,0.0,0.0
841383dffffffff,14.0,0.0,0.0
84138c7ffffffff,1.0,0.0,0.0
8413911ffffffff,1.0,0.0,0.0
8418493ffffffff,1.0,0.0,0.0
841aa07ffffffff,3.0,0.0,0.0
841aa2bffffffff,2.0,0.0,0.0
841aa69ffffffff,6.0,0.0,0.0
841ab0bffffffff,1.0,0.0,0.0
841b839ffffffff,2.0,0.0,0.0
841b9a9ffffffff,1.0,0.0,0.0
841e019ffffffff,1.0,0.0,0.0
841e01bffffffff,1.0,0.0,0.0
841e049ffffffff,5.0,0.0,0.0
841e0c5ffffffff,2.0,2.0,0.0
841e0d9ffffffff,2.0,0.0,0.0
841e0edffffffff,2.0,0.0,0.0
841e1e3ffffffff,2.0,0.0,0.0
841e329ffffffff,2.0,0.0,0.0
841e341ffffffff,5.0,0.0,0.0
841eac3ffffffff,1.0,0.0,0.0
841ec39ffffffff,2.0,2.0,0.0
841f1b1ffffffff,1.0,0.0,0.0
841f22dffffffff,1.0,0.0,0.0
841f351ffffffff,5.0,0.0,0.0
841f8b3ffffffff,2.0,2.0,0.0
841f8d7ffffffff,2.0,2.0,0.0
841fac3ffffffff,4.0,4.0,0.0
8420e65ffffffff,3.0,0.0,0.0
8422db7ffffffff,13.0,0.0,5.0
8424d6dffffffff,1.0,0.0,0.0
8426261ffffffff,6.0,0.0,0.0
8426803ffffffff,13.0,0.0,0.0
8426807ffffffff,1.0,0.0,0.0
842680dffffffff,5.0,0.0,0.0
8426811ffffffff,9.0,0.0,0.0
8426817ffffffff,1.0,0.0,0.0
8426819ffffffff,10.0,0.0,0.0
8426833ffffffff,3.0,0.0,0.0
842683bffffffff,1.0,0.0,0.0
8426853ffffffff,2.0,0.0,0.0
8426857ffffffff,213.0,0.0,9.0
84268a5ffffffff,1.0,0.0,0.0
84268a7ffffffff,2.0,0.0,0.0
84268cdffffffff,14.0,0.0,2.0
84268e7ffffffff,2.0,0.0,0.0
8426909ffffffff,50.0,0.0,13.0
842690dffffffff,7.0,0.0,3.0
8426943ffffffff,5.0,0.0,5.0
8426947ffffffff,3.0,0.0,3.0
842695dffffffff,3.0,0.0,0.0
8426983ffffffff,7.0,0.0,0.0
8426989ffffffff,1.0,0.0,0.0
842698bffffffff,2.0,0.0,0.0
842699bffffffff,1.0,0.0,0.0
842699dffffffff,1.0,0.0,0.0
84269cbffffffff,61.0,0.0,0.0
84269d9ffffffff,2.0,0.0,0.0
8426b63ffffffff,4.0,0.0,0.0
8427059ffffffff,2.0,0.0,0.0
842709bffffffff,2.0,0.0,0.0
842719dffffffff,7.0,0.0,0.0
84271c9ffffffff,2.0,0.0,0.0
8427527ffffffff,11.0,0.0,0.0
8427545ffffffff,4.0,0.0,0.0
8427569ffffffff,2.0,0.0,0.0
8427617ffffffff,1.0,0.0,0.0
8427631ffffffff,12.0,0.0,0.0
842763bffffffff,1.0,0.0,0.0
84276d3ffffffff,3.0,0.0,0.0
84276edffffffff,1.0,0.0,0.0
842773bffffffff,1.0,0.0,0.0
8427761ffffffff,4.0,0.0,0.0
84279a5ffffffff,1.0,0.0,0.0
8428805ffffffff,1.0,0.0,0.0
84288e3ffffffff,3.0,0.0,0.0
84288ebffffffff,1.0,0.0,0.0
842890dffffffff,8.0,0.0,0.0
8428913ffffffff,11.0,0.0,0.0
8428923ffffffff,10.0,0.0,0.0
8428967ffffffff,1.0,0.0,0.0
842896bffffffff,1.0,0.0,1.0
8428989ffffffff,4.0,0.0,0.0
842898dffffffff,2.0,0.0,0.0
84289a9ffffffff,5.0,0.0,0.0
84289b5ffffffff,2.0,0.0,2.0
8428a9bffffffff,8.0,0.0,0.0
8428d2bffffffff,14.0,0.0,0.0
8428d49ffffffff,43.0,0.0,0.0
8428d69ffffffff,2.0,0.0,0.0
8428dadffffffff,3.0,0.0,0.0
8428de9ffffffff,2.0,0.0,0.0
8428f27ffffffff,6.0,0.0,0.0
842a101ffffffff,9.0,0.0,0.0
842a141ffffffff,1.0,0.0,0.0
842a143ffffffff,2.0,0.0,0.0
842a301ffffffff,3.0,0.0,0.0
842a307ffffffff,2.0,0.0,0.0
842ab2dffffffff,1.0,0.0,0.0
842ab41ffffffff,1.0,0.0,0.0
842ab49ffffffff,1.0,0.0,0.0
842ab51ffffffff,1.0,0.0,0.0
842b10dffffffff,1.0,0.0,0.0
842b165ffffffff,4.0,0.0,0.0
842b167ffffffff,52.0,0.0,0.0
842b235ffffffff,8.0,0.0,0.0
842b2adffffffff,1.0,0.0,0.0
842b303ffffffff,1.0,0.0,0.0
842b315ffffffff,2.0,0.0,0.0
842b809ffffffff,2.0,0.0,0.0
842b815ffffffff,7.0,0.0,0.0
842b819ffffffff,2.0,0.0,0.0
842b823ffffffff,1.0,0.0,0.0
842b831ffffffff,5.0,0.0,0.0
842b839ffffffff,2.0,0.0,0.0
842b83bffffffff,30.0,0.0,0.0
842b841ffffffff,3.0,0.0,0.0
842b849ffffffff,4.0,0.0,0.0
842b853ffffffff,2.0,0.0,0.0
842b85bffffffff,2.0,0.0,0.0
842b941ffffffff,3.0,0.0,0.0
842b947ffffffff,4.0,0.0,0.0
842b949ffffffff,2.0,0.0,0.0
842b967ffffffff,2.0,0.0,0.0
842b989ffffffff,1.0,0.0,1.0
842b991ffffffff,9.0,0.0,0.0
842b9a9ffffffff,8.0,0.0,0.0
842b9b5ffffffff,2.0,0.0,0.0
842b9b7ffffffff,89.0,0.0,0.0
