cell_id,Prionops plumatus,Prionops plumatus plumatus,Prionops plumatus [poliocephalus Group]
82541ffffffffff,95.0,20.0,0.0
82544ffffffffff,2.0,0.0,0.0
825457fffffffff,5.0,0.0,0.0
8254affffffffff,40.0,9.0,0.0
8254e7fffffffff,117.0,8.0,0.0
8254effffffffff,7.0,0.0,0.0
8254f7fffffffff,46.0,4.0,0.0
82588ffffffffff,1.0,0.0,0.0
825897fffffffff,13.0,2.0,0.0
8258a7fffffffff,3.0,0.0,0.0
8258c7fffffffff,2.0,0.0,0.0
8258cffffffffff,4.0,0.0,0.0
825987fffffffff,4.0,0.0,0.0
82598ffffffffff,2.0,0.0,0.0
82599ffffffffff,1.0,0.0,0.0
826a17fffffffff,2.0,0.0,0.0
826a4ffffffffff,6.0,0.0,0.0
826a5ffffffffff,44.0,0.0,0.0
826ac7fffffffff,2.0,0.0,2.0
826acffffffffff,2.0,0.0,0.0
826adffffffffff,24.0,0.0,0.0
826aeffffffffff,96.0,0.0,13.0
826bb7fffffffff,1.0,0.0,0.0
82751ffffffffff,2.0,0.0,0.0
827527fffffffff,150.0,1.0,0.0
82752ffffffffff,76.0,16.0,0.0
827537fffffffff,3.0,0.0,0.0
827577fffffffff,1.0,0.0,0.0
827a47fffffffff,61.0,0.0,0.0
827a4ffffffffff,106.0,0.0,0.0
827a57fffffffff,8.0,0.0,0.0
827a5ffffffffff,6.0,0.0,2.0
827a67fffffffff,150.0,0.0,0.0
827a6ffffffffff,65.0,0.0,0.0
827a77fffffffff,1.0,0.0,0.0
827ac7fffffffff,3.0,0.0,1.0
827acffffffffff,16.0,0.0,0.0
827adffffffffff,26.0,0.0,3.0
827aeffffffffff,91.0,0.0,13.0
827b4ffffffffff,18.0,0.0,0.0
827b6ffffffffff,11.0,0.0,0.0
828317fffffffff,10.0,0.0,0.0
82831ffffffffff,7.0,0.0,1.0
828327fffffffff,7.0,0.0,2.0
828337fffffffff,3.0,0.0,3.0
8283a7fffffffff,4.0,0.0,2.0
829607fffffffff,48.0,0.0,13.0
82960ffffffffff,4.0,0.0,0.0
829617fffffffff,25.0,0.0,14.0
829627fffffffff,210.0,0.0,0.0
82962ffffffffff,64.0,0.0,12.0
829637fffffffff,54.0,0.0,4.0
829657fffffffff,1.0,0.0,1.0
82966ffffffffff,1.0,0.0,0.0
829677fffffffff,8.0,0.0,2.0
829687fffffffff,9.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
829697fffffffff,243.0,0.0,0.0
82969ffffffffff,5.0,0.0,0.0
8296a7fffffffff,18.0,0.0,0.0
8296affffffffff,6.0,0.0,0.0
8296b7fffffffff,153.0,0.0,0.0
829707fffffffff,45.0,0.0,0.0
82970ffffffffff,22.0,0.0,0.0
829717fffffffff,176.0,0.0,0.0
82971ffffffffff,70.0,0.0,0.0
829727fffffffff,29.0,0.0,2.0
82972ffffffffff,370.0,0.0,102.0
829737fffffffff,8.0,0.0,1.0
829747fffffffff,162.0,0.0,20.0
82974ffffffffff,131.0,0.0,32.0
829757fffffffff,259.0,0.0,30.0
82975ffffffffff,276.0,0.0,61.0
829777fffffffff,16.0,0.0,0.0
829787fffffffff,4.0,0.0,0.0
82978ffffffffff,8.0,0.0,0.0
82979ffffffffff,6.0,0.0,0.0
8297affffffffff,49.0,0.0,13.0
82ac87fffffffff,159.0,0.0,36.0
82ac8ffffffffff,8.0,0.0,0.0
82ac97fffffffff,32.0,0.0,6.0
82ac9ffffffffff,2.0,0.0,0.0
82aca7fffffffff,8.0,0.0,0.0
82acb7fffffffff,11.0,0.0,0.0
82bc8ffffffffff,70.0,0.0,13.0
82bc9ffffffffff,9.0,0.0,3.0
82bcc7fffffffff,1.0,0.0,0.0
82bcd7fffffffff,977.0,0.0,188.0
82bcdffffffffff,76.0,0.0,8.0
82bcf7fffffffff,492.0,0.0,132.0
