cell_id,Mixornis bornensis,Mixornis bornensis [bornensis Group],Mixornis bornensis cagayanensis
836802fffffffff,73.0,0.0,0.0
836810fffffffff,51.0,20.0,0.0
836811fffffffff,80.0,23.0,0.0
836812fffffffff,22.0,7.0,0.0
836815fffffffff,57.0,2.0,0.0
836816fffffffff,6.0,0.0,0.0
836818fffffffff,992.0,234.0,0.0
836819fffffffff,1.0,0.0,0.0
83681afffffffff,64.0,1.0,0.0
83681bfffffffff,3.0,0.0,0.0
83681cfffffffff,188.0,43.0,0.0
83681dfffffffff,20.0,0.0,0.0
83681efffffffff,51.0,11.0,0.0
836882fffffffff,1.0,0.0,0.0
836883fffffffff,2.0,0.0,0.0
836888fffffffff,6.0,0.0,0.0
83688afffffffff,6.0,0.0,0.0
836896fffffffff,7.0,0.0,0.0
83689afffffffff,13.0,0.0,0.0
8368a1fffffffff,4.0,0.0,0.0
8368a4fffffffff,2.0,0.0,0.0
8368a5fffffffff,36.0,6.0,0.0
8368a6fffffffff,3.0,0.0,0.0
8368abfffffffff,3.0,0.0,0.0
8368acfffffffff,27.0,15.0,0.0
8368b5fffffffff,4.0,0.0,0.0
83699afffffffff,24.0,2.0,0.0
838c92fffffffff,7.0,0.0,0.0
838c95fffffffff,1.0,0.0,0.0
838c96fffffffff,47.0,5.0,0.0
838d9afffffffff,3.0,0.0,0.0
