cell_id,Myiodynastes maculatus,Myiodynastes maculatus [maculatus Group],Myiodynastes maculatus solitarius
8444249ffffffff,3.0,0.0,0.0
8445083ffffffff,12.0,0.0,0.0
8445085ffffffff,13.0,0.0,0.0
8445087ffffffff,38.0,0.0,0.0
8445089ffffffff,5.0,0.0,0.0
844508dffffffff,2.0,0.0,0.0
844509bffffffff,2.0,0.0,0.0
84450a1ffffffff,61.0,0.0,0.0
84450a3ffffffff,36.0,0.0,0.0
84450a5ffffffff,6.0,0.0,0.0
84450a7ffffffff,5.0,0.0,0.0
84450a9ffffffff,5.0,0.0,0.0
84450abffffffff,6.0,0.0,0.0
84450b1ffffffff,2.0,0.0,0.0
84450bdffffffff,5.0,0.0,0.0
84450c1ffffffff,1.0,0.0,0.0
84450c5ffffffff,4.0,0.0,0.0
84450d3ffffffff,13.0,0.0,0.0
84450d5ffffffff,3.0,0.0,0.0
84450ddffffffff,5.0,0.0,0.0
84450e1ffffffff,3.0,0.0,0.0
84450e3ffffffff,22.0,1.0,0.0
84450ebffffffff,2.0,0.0,0.0
8445217ffffffff,5.0,0.0,0.0
8445233ffffffff,22.0,0.0,0.0
84452a3ffffffff,2.0,0.0,0.0
84452a7ffffffff,2.0,0.0,0.0
84452abffffffff,2.0,0.0,0.0
84452d9ffffffff,4.0,0.0,0.0
84452e1ffffffff,548.0,0.0,0.0
84452e3ffffffff,6.0,0.0,0.0
84452e5ffffffff,4.0,0.0,0.0
84452e9ffffffff,13.0,0.0,0.0
84452edffffffff,4.0,0.0,0.0
8445721ffffffff,2.0,0.0,0.0
8448a21ffffffff,40.0,3.0,0.0
8448b5bffffffff,4.0,0.0,0.0
844991dffffffff,2.0,0.0,0.0
8449981ffffffff,2.0,0.0,0.0
8449987ffffffff,59.0,0.0,0.0
84499b1ffffffff,2.0,0.0,0.0
84499b5ffffffff,1.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0
84499ebffffffff,2.0,0.0,0.0
845f08bffffffff,4.0,0.0,0.0
845f095ffffffff,10.0,0.0,0.0
845f09dffffffff,3.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0
845f12bffffffff,4.0,0.0,0.0
845f13dffffffff,12.0,0.0,0.0
845f1c3ffffffff,2.0,0.0,0.0
845f1e9ffffffff,8.0,0.0,0.0
845f1edffffffff,1.0,0.0,0.0
845f291ffffffff,14.0,0.0,0.0
845f295ffffffff,8.0,0.0,0.0
845f297ffffffff,3.0,0.0,0.0
845f299ffffffff,15.0,0.0,0.0
845f29dffffffff,28.0,0.0,0.0
845f2b3ffffffff,1.0,0.0,0.0
845f2bbffffffff,69.0,0.0,0.0
845f2d1ffffffff,25.0,0.0,0.0
845f2d3ffffffff,2.0,0.0,0.0
845f2d7ffffffff,5.0,0.0,0.0
845f403ffffffff,5.0,0.0,0.0
845f407ffffffff,7.0,0.0,0.0
845f411ffffffff,1.0,0.0,0.0
845f415ffffffff,21.0,0.0,0.0
845f42bffffffff,35.0,1.0,0.0
845f445ffffffff,2.0,0.0,0.0
845f459ffffffff,1.0,0.0,0.0
845f483ffffffff,5.0,0.0,0.0
845f487ffffffff,8.0,0.0,0.0
845f491ffffffff,14.0,0.0,0.0
845f4a3ffffffff,2.0,0.0,0.0
845f4a7ffffffff,4.0,0.0,0.0
845f4a9ffffffff,18.0,0.0,0.0
845f4abffffffff,6.0,0.0,0.0
845f4b9ffffffff,7.0,0.0,0.0
845f4bdffffffff,34.0,0.0,0.0
845f4e1ffffffff,1.0,0.0,0.0
845f50bffffffff,7.0,0.0,0.0
845f581ffffffff,8.0,0.0,0.0
845f583ffffffff,490.0,0.0,0.0
845f587ffffffff,12.0,0.0,0.0
845f58bffffffff,4.0,0.0,0.0
845f595ffffffff,24.0,0.0,0.0
845f5b5ffffffff,242.0,0.0,0.0
845f5b9ffffffff,62.0,0.0,0.0
845f5bdffffffff,5.0,0.0,0.0
845f5d7ffffffff,6.0,0.0,0.0
845f683ffffffff,12.0,0.0,0.0
845f689ffffffff,2.0,0.0,0.0
845f68bffffffff,15.0,0.0,0.0
845f6abffffffff,6.0,0.0,0.0
845f711ffffffff,22.0,0.0,0.0
845f713ffffffff,13.0,0.0,0.0
845f755ffffffff,1.0,0.0,0.0
845f759ffffffff,9.0,0.0,0.0
8466005ffffffff,6.0,0.0,0.0
8466007ffffffff,2.0,0.0,0.0
846600dffffffff,3.0,0.0,0.0
8466017ffffffff,1.0,0.0,0.0
846601bffffffff,10.0,0.0,0.0
8466021ffffffff,102.0,0.0,0.0
8466023ffffffff,50.0,0.0,0.0
8466025ffffffff,38.0,0.0,0.0
8466027ffffffff,24.0,0.0,0.0
8466029ffffffff,16.0,0.0,0.0
846602bffffffff,15.0,0.0,0.0
846602dffffffff,1.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466035ffffffff,8.0,0.0,0.0
846603dffffffff,2.0,0.0,0.0
8466045ffffffff,36.0,0.0,0.0
8466047ffffffff,2.0,0.0,0.0
8466057ffffffff,3.0,0.0,0.0
