cell_id,Phylloscopus grammiceps,Phylloscopus grammiceps sumatrensis,Phylloscopus grammiceps grammiceps
82652ffffffffff,8.0,0.0,0.0
828c17fffffffff,366.0,0.0,103.0
828cd7fffffffff,90.0,30.0,0.0
828d87fffffffff,11.0,0.0,0.0
828d8ffffffffff,5.0,0.0,1.0
828da7fffffffff,124.0,0.0,54.0
828db7fffffffff,130.0,0.0,0.0
