cell_id,Copsychus malabaricus,Copsychus malabaricus [malabaricus Group],Copsychus malabaricus ngae,Copsychus malabaricus [melanurus Group]
833c02fffffffff,1.0,0.0,0.0,0.0
833c15fffffffff,1.0,0.0,0.0,0.0
833c19fffffffff,4.0,0.0,0.0,0.0
833c1bfffffffff,2.0,0.0,0.0,0.0
833c1cfffffffff,11.0,0.0,0.0,0.0
833c1dfffffffff,5.0,0.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0,0.0
833c58fffffffff,2.0,2.0,0.0,0.0
833c5afffffffff,5.0,5.0,0.0,0.0
833c8cfffffffff,22.0,0.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0,0.0
833c8efffffffff,6.0,0.0,0.0,0.0
833c90fffffffff,4.0,0.0,0.0,0.0
833c92fffffffff,7.0,0.0,0.0,0.0
833c95fffffffff,2.0,0.0,0.0,0.0
833c96fffffffff,4.0,0.0,0.0,0.0
833ca8fffffffff,13.0,0.0,0.0,0.0
833ca9fffffffff,1.0,0.0,0.0,0.0
833cabfffffffff,21.0,0.0,0.0,0.0
833cb4fffffffff,5.0,5.0,0.0,0.0
833ce1fffffffff,2.0,0.0,0.0,0.0
833ce4fffffffff,6.0,0.0,0.0,0.0
833ce5fffffffff,2.0,0.0,0.0,0.0
833cecfffffffff,5.0,5.0,0.0,0.0
833cedfffffffff,2.0,0.0,0.0,0.0
833d10fffffffff,24.0,0.0,0.0,0.0
833d99fffffffff,2.0,2.0,0.0,0.0
833d9bfffffffff,5.0,2.0,0.0,0.0
83404dfffffffff,3.0,3.0,0.0,0.0
83411cfffffffff,9.0,1.0,0.0,0.0
83415efffffffff,2.0,2.0,0.0,0.0
8342d9fffffffff,15.0,0.0,0.0,0.0
834649fffffffff,3.0,2.0,0.0,0.0
83464efffffffff,2.0,0.0,0.0,0.0
834ba2fffffffff,17.0,0.0,0.0,0.0
834bb1fffffffff,5.0,0.0,0.0,0.0
835d14fffffffff,32.0,2.0,0.0,0.0
835d16fffffffff,10.0,0.0,0.0,0.0
836006fffffffff,25.0,0.0,0.0,0.0
836011fffffffff,4.0,0.0,0.0,0.0
836013fffffffff,3.0,0.0,0.0,0.0
836014fffffffff,977.0,13.0,0.0,0.0
836015fffffffff,10.0,0.0,0.0,0.0
83601efffffffff,40.0,0.0,0.0,0.0
836030fffffffff,1.0,0.0,0.0,0.0
836031fffffffff,43.0,2.0,0.0,0.0
836032fffffffff,97.0,0.0,0.0,0.0
836033fffffffff,327.0,0.0,0.0,0.0
836034fffffffff,2.0,0.0,0.0,0.0
836036fffffffff,1.0,0.0,0.0,0.0
836088fffffffff,4.0,0.0,0.0,0.0
83608afffffffff,13.0,0.0,0.0,0.0
83608bfffffffff,16.0,7.0,0.0,0.0
83608dfffffffff,4.0,0.0,0.0,0.0
8360a4fffffffff,8.0,0.0,0.0,0.0
8360a8fffffffff,4.0,0.0,0.0,0.0
8360a9fffffffff,27.0,2.0,0.0,0.0
8360abfffffffff,1.0,0.0,0.0,0.0
8360adfffffffff,9.0,1.0,0.0,0.0
8360b2fffffffff,4.0,0.0,0.0,0.0
8360b4fffffffff,10.0,0.0,0.0,0.0
836189fffffffff,10.0,0.0,0.0,0.0
83618afffffffff,4.0,0.0,0.0,0.0
83618dfffffffff,23.0,0.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0,0.0
83648cfffffffff,1.0,0.0,0.0,0.0
8364a0fffffffff,1.0,1.0,0.0,0.0
8364a4fffffffff,1.0,0.0,0.0,0.0
8364a5fffffffff,3.0,0.0,0.0,0.0
836520fffffffff,4.0,2.0,0.0,0.0
836526fffffffff,110.0,6.0,0.0,0.0
836588fffffffff,2.0,2.0,0.0,0.0
