cell_id,Leiothrix argentauris,Leiothrix argentauris [argentauris Group],Leiothrix argentauris laurinae/rookmakeri
843c065ffffffff,1.0,0.0,0.0
843c0a5ffffffff,78.0,0.0,0.0
843c0a7ffffffff,2.0,2.0,0.0
843c0a9ffffffff,2.0,0.0,0.0
843c0adffffffff,35.0,0.0,0.0
843c0b7ffffffff,8.0,0.0,0.0
843c199ffffffff,79.0,0.0,0.0
843c19bffffffff,3.0,0.0,0.0
843c1d1ffffffff,1.0,0.0,0.0
843c1d3ffffffff,18.0,0.0,0.0
843c1d7ffffffff,7.0,0.0,0.0
843c521ffffffff,9.0,0.0,0.0
843c525ffffffff,47.0,0.0,0.0
843c527ffffffff,399.0,0.0,0.0
843c52dffffffff,2.0,0.0,0.0
843c533ffffffff,20.0,0.0,0.0
843c535ffffffff,2.0,0.0,0.0
843c537ffffffff,31.0,0.0,0.0
843c581ffffffff,317.0,0.0,0.0
843c583ffffffff,24.0,0.0,0.0
843c587ffffffff,70.0,0.0,0.0
843c589ffffffff,3.0,0.0,0.0
843c58dffffffff,3.0,0.0,0.0
843c595ffffffff,75.0,0.0,0.0
843c5a1ffffffff,10.0,0.0,0.0
843c5adffffffff,13.0,0.0,0.0
843c5b1ffffffff,9.0,0.0,0.0
843c5b7ffffffff,103.0,0.0,0.0
843c5b9ffffffff,22.0,0.0,0.0
843c5bbffffffff,5.0,0.0,0.0
843c5bdffffffff,224.0,0.0,0.0
843c5c1ffffffff,28.0,0.0,0.0
843c5c5ffffffff,27.0,0.0,0.0
843c5c7ffffffff,3.0,0.0,0.0
843c5cdffffffff,2.0,0.0,0.0
843c5e1ffffffff,3.0,0.0,0.0
843c5e3ffffffff,24.0,0.0,0.0
843c5ebffffffff,36.0,0.0,0.0
843cc03ffffffff,2.0,0.0,0.0
843cc31ffffffff,1.0,0.0,0.0
843cc97ffffffff,2.0,0.0,0.0
843ccc9ffffffff,23.0,0.0,0.0
843cd8bffffffff,40.0,2.0,0.0
843cdd5ffffffff,6.0,0.0,0.0
843ce31ffffffff,17.0,0.0,0.0
843ce33ffffffff,4.0,0.0,0.0
843ce3bffffffff,52.0,0.0,0.0
843ce41ffffffff,3.0,0.0,0.0
843ce49ffffffff,7.0,0.0,0.0
843ce4bffffffff,22.0,0.0,0.0
843ce4dffffffff,28.0,0.0,0.0
843ce51ffffffff,29.0,0.0,0.0
843ce53ffffffff,28.0,1.0,0.0
843ce55ffffffff,9.0,0.0,0.0
843ce57ffffffff,28.0,3.0,0.0
843ce5bffffffff,2.0,0.0,0.0
843ce5dffffffff,81.0,8.0,0.0
843ce81ffffffff,22.0,0.0,0.0
843ce83ffffffff,68.0,0.0,0.0
843ce85ffffffff,203.0,0.0,0.0
843ce87ffffffff,33.0,0.0,0.0
843ce8bffffffff,24.0,0.0,0.0
843ce95ffffffff,256.0,0.0,0.0
843ce9dffffffff,8.0,0.0,0.0
843cea1ffffffff,25.0,0.0,0.0
843cea3ffffffff,3.0,0.0,0.0
843cebdffffffff,37.0,0.0,0.0
843cec9ffffffff,48.0,0.0,0.0
843ced7ffffffff,3.0,0.0,0.0
84404ddffffffff,3.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0
8441035ffffffff,7.0,0.0,0.0
8441037ffffffff,4.0,0.0,0.0
84411c9ffffffff,43.0,0.0,0.0
84411cbffffffff,649.0,0.0,0.0
8441493ffffffff,2.0,0.0,0.0
844149bffffffff,3.0,0.0,0.0
84414c3ffffffff,56.0,9.0,0.0
84414cbffffffff,3.0,0.0,0.0
8441653ffffffff,2.0,0.0,0.0
844165bffffffff,5.0,0.0,0.0
8464821ffffffff,3.0,0.0,0.0
846482bffffffff,509.0,119.0,0.0
846482dffffffff,3.0,2.0,0.0
8464911ffffffff,441.0,126.0,0.0
846491bffffffff,3.0,2.0,0.0
8464949ffffffff,8.0,4.0,0.0
846494bffffffff,1.0,0.0,0.0
8464981ffffffff,3.0,0.0,0.0
8464983ffffffff,89.0,0.0,0.0
8464985ffffffff,3.0,0.0,0.0
8464987ffffffff,1.0,0.0,0.0
8464a35ffffffff,25.0,4.0,0.0
8464a3dffffffff,11.0,0.0,0.0
8464a5bffffffff,8.0,0.0,0.0
8464b0bffffffff,15.0,4.0,0.0
8464b39ffffffff,1.0,0.0,0.0
8464b57ffffffff,1.0,0.0,0.0
8465009ffffffff,1.0,0.0,0.0
846500bffffffff,510.0,47.0,0.0
8465039ffffffff,48.0,0.0,0.0
8465055ffffffff,25.0,0.0,0.0
8465057ffffffff,2.0,0.0,0.0
846592bffffffff,4.0,0.0,0.0
8465b2bffffffff,45.0,0.0,0.0
8465b39ffffffff,2.0,0.0,0.0
8465b3dffffffff,7.0,0.0,0.0
