cell_id,Aulacorhynchus albivitta,Aulacorhynchus albivitta lautus,Aulacorhynchus albivitta griseigularis,Aulacorhynchus albivitta albivitta/phaeolaemus,Aulacorhynchus albivitta cyanolaemus,Aulacorhynchus albivitta atrogularis/dimidiatus
846601bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8466083ffffffff,27.0,0.0,0.0,4.0,0.0,0.0
8466087ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8466089ffffffff,131.0,0.0,0.0,4.0,0.0,0.0
846608bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
846608dffffffff,148.0,0.0,0.0,11.0,0.0,0.0
84660a3ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84660a7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84660b1ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84660b3ffffffff,48.0,0.0,0.0,0.0,0.0,0.0
84660b5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84660b7ffffffff,43.0,0.0,0.0,0.0,0.0,0.0
84660b9ffffffff,75.0,0.0,0.0,0.0,0.0,0.0
84660bdffffffff,245.0,0.0,0.0,1.0,0.0,0.0
84660c1ffffffff,33.0,0.0,0.0,2.0,0.0,0.0
84660c3ffffffff,44.0,0.0,0.0,0.0,0.0,0.0
84660c7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84660cbffffffff,36.0,0.0,0.0,30.0,0.0,0.0
84660ddffffffff,62.0,0.0,0.0,0.0,0.0,0.0
8466181ffffffff,182.0,0.0,1.0,14.0,0.0,0.0
8466183ffffffff,751.0,0.0,44.0,0.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8466187ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846618bffffffff,81.0,0.0,2.0,0.0,0.0,0.0
846618dffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466191ffffffff,17.0,0.0,1.0,0.0,0.0,0.0
8466193ffffffff,68.0,0.0,3.0,0.0,0.0,0.0
8466195ffffffff,81.0,0.0,1.0,0.0,0.0,0.0
8466197ffffffff,702.0,0.0,0.0,0.0,0.0,0.0
8466199ffffffff,3.0,0.0,1.0,0.0,0.0,0.0
846619dffffffff,426.0,0.0,3.0,4.0,0.0,0.0
84661b1ffffffff,578.0,0.0,53.0,80.0,0.0,0.0
84661b3ffffffff,263.0,0.0,17.0,2.0,0.0,0.0
84661b7ffffffff,16.0,0.0,0.0,2.0,0.0,0.0
84661b9ffffffff,248.0,0.0,4.0,12.0,0.0,0.0
84661bbffffffff,1029.0,0.0,53.0,18.0,0.0,0.0
84661bdffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84661c3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84661d1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84661d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661d5ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
84661d7ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
84661ddffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8466207ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466211ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466213ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466217ffffffff,1061.0,0.0,0.0,346.0,0.0,0.0
846622bffffffff,2363.0,1426.0,0.0,0.0,0.0,0.0
846623dffffffff,58.0,43.0,0.0,0.0,0.0,0.0
8466291ffffffff,104.0,0.0,0.0,6.0,0.0,0.0
8466299ffffffff,23.0,0.0,0.0,9.0,0.0,0.0
846629dffffffff,66.0,0.0,0.0,7.0,0.0,0.0
84662b1ffffffff,22.0,0.0,0.0,16.0,0.0,0.0
84662b7ffffffff,24.0,0.0,0.0,10.0,0.0,0.0
84662b9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84662bbffffffff,2.0,0.0,0.0,1.0,0.0,0.0
84662d3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84662e5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84662e9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84662edffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8466c0dffffffff,71.0,0.0,0.0,0.0,0.0,0.0
8466c21ffffffff,107.0,0.0,0.0,0.0,0.0,0.0
8466c25ffffffff,27.0,0.0,0.0,1.0,0.0,0.0
8466c29ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8466c2dffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8466c41ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466c45ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8466c47ffffffff,71.0,0.0,8.0,0.0,0.0,0.0
8466c49ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8466c4bffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8466c4dffffffff,27.0,0.0,3.0,0.0,0.0,0.0
8466c61ffffffff,67.0,0.0,0.0,0.0,0.0,0.0
8466c63ffffffff,238.0,0.0,10.0,5.0,0.0,0.0
8466c65ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8466c67ffffffff,87.0,0.0,0.0,0.0,0.0,0.0
8466c69ffffffff,46.0,0.0,0.0,3.0,0.0,0.0
8466c6bffffffff,84.0,0.0,0.0,0.0,0.0,0.0
8466c6dffffffff,71.0,0.0,0.0,1.0,0.0,0.0
8466d0bffffffff,9.0,0.0,3.0,0.0,0.0,0.0
8466d11ffffffff,13.0,0.0,0.0,8.0,0.0,0.0
8466d19ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466d33ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466d53ffffffff,57.0,0.0,2.0,4.0,0.0,0.0
8466d59ffffffff,6.0,0.0,0.0,4.0,0.0,0.0
8466d5bffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8466de1ffffffff,866.0,0.0,0.0,277.0,0.0,0.0
8466de9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466dedffffffff,74.0,0.0,0.0,12.0,0.0,0.0
8466e01ffffffff,7.0,0.0,0.0,1.0,0.0,0.0
8466e03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466e07ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466e09ffffffff,229.0,0.0,0.0,7.0,0.0,0.0
8466e0bffffffff,369.0,0.0,0.0,75.0,0.0,0.0
8466e0dffffffff,62.0,0.0,0.0,2.0,0.0,0.0
8466e25ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466e27ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8466e2dffffffff,85.0,0.0,0.0,0.0,0.0,0.0
8466e3dffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8466e41ffffffff,17.0,0.0,0.0,2.0,0.0,0.0
8466e43ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466e47ffffffff,1062.0,0.0,0.0,99.0,0.0,0.0
8466e4bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466e51ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466e55ffffffff,149.0,0.0,0.0,1.0,0.0,0.0
8466e59ffffffff,53.0,0.0,0.0,0.0,0.0,0.0
