cell_id,Platycercus elegans,Platycercus elegans [elegans Group],Platycercus elegans flaveolus,Platycercus elegans adelaidae/subadelaidae,Platycercus elegans [elegans Group] x flaveolus
831e06fffffffff,1.0,0.0,0.0,0.0,0.0
833933fffffffff,4.0,0.0,0.0,0.0,0.0
83be08fffffffff,11.0,5.0,0.0,0.0,0.0
83be0cfffffffff,9.0,2.0,0.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0,0.0,0.0
83be1afffffffff,1.0,0.0,0.0,0.0,0.0
83be40fffffffff,2.0,0.0,0.0,0.0,2.0
83be44fffffffff,1.0,1.0,0.0,0.0,0.0
83be45fffffffff,1.0,1.0,0.0,0.0,0.0
83be4bfffffffff,2.0,0.0,0.0,2.0,0.0
83be4cfffffffff,2.0,0.0,0.0,0.0,0.0
83be60fffffffff,2.0,0.0,0.0,0.0,0.0
83be61fffffffff,1.0,0.0,0.0,0.0,0.0
83be62fffffffff,2.0,0.0,0.0,0.0,0.0
83be63fffffffff,6.0,3.0,0.0,0.0,0.0
83be6bfffffffff,1.0,0.0,0.0,0.0,0.0
83be71fffffffff,7.0,3.0,1.0,0.0,3.0
83be72fffffffff,37.0,7.0,0.0,0.0,0.0
83be73fffffffff,5.0,0.0,0.0,0.0,5.0
83be75fffffffff,3.0,3.0,0.0,0.0,0.0
83be8dfffffffff,1.0,0.0,0.0,0.0,0.0
83bef0fffffffff,2.0,0.0,0.0,0.0,0.0
83bef6fffffffff,8.0,0.0,0.0,0.0,0.0
