cell_id,Anisognathus lacrymosus,Anisognathus lacrymosus pallididorsalis,Anisognathus lacrymosus melanops,Anisognathus lacrymosus yariguierum,Anisognathus lacrymosus intensus,Anisognathus lacrymosus [palpebrosus Group],Anisognathus lacrymosus lacrymosus
8466185ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466217ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d15ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d1dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d33ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
8466de5ffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0
8466dedffffffff,8.0,0.0,0.0,0.0,0.0,5.0,0.0
8466e61ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8466e67ffffffff,3.0,0.0,0.0,0.0,0.0,1.0,0.0
848f547ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
848f729ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
848f72dffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
848f767ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
848f76dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
