cell_id,Sclerurus obscurior,Sclerurus obscurior andinus,Sclerurus obscurior obscurior,Sclerurus obscurior peruvianus,Sclerurus obscurior macconnelli,Sclerurus obscurior bahiae
825f07fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
825f17fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
825f57fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,35.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,269.0,86.0,0.0,0.0,0.0,0.0
82662ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,420.0,7.0,66.0,0.0,0.0,0.0
8266dffffffffff,89.0,0.0,0.0,15.0,0.0,0.0
8266e7fffffffff,51.0,11.0,0.0,0.0,0.0,0.0
8266f7fffffffff,266.0,53.0,7.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828147fffffffff,3.0,0.0,0.0,0.0,1.0,0.0
82814ffffffffff,33.0,0.0,0.0,0.0,0.0,0.0
82815ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
828177fffffffff,50.0,0.0,0.0,0.0,44.0,0.0
828a07fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
828a17fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828a97fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828af7fffffffff,54.0,0.0,0.0,0.0,2.0,0.0
828b2ffffffffff,3.0,0.0,0.0,1.0,0.0,0.0
828b47fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
828b4ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
828b5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
828b77fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
828b9ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828f0ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
828f47fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
828f57fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,9.0,0.0,0.0,2.0,0.0,0.0
