cell_id,Coccothraustes vespertinus,Coccothraustes vespertinus (type 1),Coccothraustes vespertinus (type 2),Coccothraustes vespertinus (type 3),Coccothraustes vespertinus (type 4),Coccothraustes vespertinus (type 5)
820c57fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820e9ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821227fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,22.0,22.0,0.0,0.0,0.0,0.0
8212affffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8212b7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,9.0,8.0,0.0,0.0,0.0,0.0
8212cffffffffff,27.0,11.0,0.0,0.0,0.0,0.0
8212d7fffffffff,5.0,2.0,0.0,0.0,0.0,0.0
8212dffffffffff,14.0,4.0,0.0,0.0,0.0,0.0
8212e7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8212f7fffffffff,5.0,5.0,0.0,0.0,0.0,0.0
821387fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
821b87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822617fffffffff,8.0,2.0,0.0,0.0,0.0,0.0
822627fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,49.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0
822657fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,160.0,0.0,0.0,6.0,0.0,0.0
82266ffffffffff,96.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,64.0,2.0,0.0,0.0,9.0,0.0
82268ffffffffff,164.0,0.0,0.0,0.0,16.0,0.0
822697fffffffff,568.0,27.0,3.0,0.0,10.0,0.0
82269ffffffffff,68.0,1.0,0.0,0.0,26.0,0.0
8226a7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,42.0,0.0,0.0,0.0,0.0,0.0
8226b7fffffffff,21.0,11.0,0.0,0.0,8.0,0.0
8226c7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,31.0,0.0,0.0,0.0,1.0,0.0
