cell_id,Jacana jacana,Jacana jacana hypomelaena,Jacana jacana [jacana Group]
845f083ffffffff,190.0,0.0,0.0
845f085ffffffff,3.0,0.0,0.0
845f087ffffffff,4.0,0.0,0.0
845f095ffffffff,607.0,0.0,0.0
845f097ffffffff,4.0,0.0,0.0
845f0b9ffffffff,3.0,0.0,0.0
845f0d7ffffffff,39.0,0.0,0.0
845f0dbffffffff,3.0,0.0,0.0
845f0e7ffffffff,5.0,0.0,0.0
845f105ffffffff,1.0,0.0,0.0
845f129ffffffff,23.0,0.0,0.0
845f12bffffffff,45.0,0.0,0.0
845f131ffffffff,1.0,0.0,0.0
845f13bffffffff,6.0,0.0,0.0
845f13dffffffff,42.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f1c3ffffffff,101.0,0.0,0.0
845f1cbffffffff,22.0,0.0,0.0
845f1d9ffffffff,2.0,0.0,0.0
845f1ddffffffff,2.0,0.0,0.0
845f1e9ffffffff,13.0,0.0,0.0
845f1edffffffff,10.0,0.0,0.0
845f283ffffffff,2.0,0.0,0.0
845f291ffffffff,201.0,0.0,0.0
845f295ffffffff,61.0,0.0,0.0
845f299ffffffff,134.0,0.0,0.0
845f29bffffffff,2.0,0.0,0.0
845f29dffffffff,128.0,0.0,0.0
845f2b3ffffffff,10.0,0.0,0.0
845f2b9ffffffff,7.0,0.0,0.0
845f2bbffffffff,33.0,0.0,0.0
845f2d1ffffffff,70.0,0.0,0.0
845f2d3ffffffff,33.0,0.0,0.0
845f2d5ffffffff,4.0,0.0,0.0
845f2d7ffffffff,20.0,0.0,0.0
845f403ffffffff,28.0,0.0,0.0
845f407ffffffff,41.0,0.0,2.0
845f40dffffffff,2.0,0.0,0.0
845f415ffffffff,29.0,0.0,0.0
845f417ffffffff,3.0,0.0,0.0
845f42bffffffff,60.0,0.0,0.0
845f433ffffffff,6.0,0.0,0.0
845f437ffffffff,4.0,0.0,0.0
845f439ffffffff,1.0,0.0,0.0
845f43bffffffff,1.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f463ffffffff,2.0,0.0,0.0
845f46bffffffff,2.0,0.0,0.0
845f483ffffffff,3.0,0.0,0.0
845f487ffffffff,32.0,0.0,0.0
845f491ffffffff,8.0,0.0,0.0
845f4a3ffffffff,8.0,0.0,0.0
845f4a7ffffffff,1.0,0.0,0.0
845f4a9ffffffff,13.0,0.0,0.0
845f4b3ffffffff,7.0,0.0,0.0
845f4b5ffffffff,1.0,0.0,0.0
845f4e1ffffffff,1.0,0.0,0.0
845f4e3ffffffff,2.0,0.0,0.0
845f4e5ffffffff,1.0,0.0,0.0
845f4e7ffffffff,13.0,0.0,0.0
845f549ffffffff,4.0,0.0,0.0
845f569ffffffff,2.0,0.0,0.0
845f56bffffffff,3.0,0.0,0.0
845f581ffffffff,322.0,0.0,0.0
845f583ffffffff,987.0,0.0,0.0
845f587ffffffff,24.0,0.0,0.0
845f58bffffffff,183.0,0.0,0.0
845f595ffffffff,1.0,0.0,0.0
845f5b5ffffffff,15.0,0.0,0.0
845f5b9ffffffff,5.0,0.0,0.0
845f5bdffffffff,311.0,0.0,0.0
845f5d7ffffffff,13.0,0.0,0.0
845f683ffffffff,5.0,0.0,0.0
845f689ffffffff,2.0,0.0,0.0
845f68bffffffff,9.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0
845f713ffffffff,6.0,0.0,0.0
845f74bffffffff,3.0,0.0,0.0
845f759ffffffff,2.0,0.0,0.0
8466005ffffffff,45.0,0.0,0.0
8466007ffffffff,10.0,6.0,0.0
8466009ffffffff,11.0,0.0,0.0
846600dffffffff,1.0,0.0,0.0
8466019ffffffff,1.0,1.0,0.0
846601bffffffff,3.0,0.0,0.0
8466021ffffffff,276.0,7.0,0.0
8466023ffffffff,52.0,0.0,0.0
8466025ffffffff,67.0,0.0,0.0
8466027ffffffff,70.0,0.0,0.0
8466029ffffffff,121.0,0.0,0.0
846602bffffffff,25.0,0.0,0.0
846602dffffffff,7.0,0.0,0.0
8466033ffffffff,4.0,0.0,0.0
8466035ffffffff,22.0,0.0,0.0
8466037ffffffff,5.0,0.0,0.0
846603dffffffff,15.0,0.0,0.0
8466041ffffffff,4.0,0.0,0.0
8466043ffffffff,20.0,0.0,0.0
8466045ffffffff,70.0,0.0,0.0
8466047ffffffff,47.0,0.0,0.0
8466049ffffffff,2.0,0.0,0.0
846604dffffffff,29.0,0.0,0.0
8466051ffffffff,2.0,0.0,0.0
8466053ffffffff,4.0,0.0,0.0
8466055ffffffff,25.0,0.0,0.0
8466057ffffffff,12.0,0.0,0.0
8466059ffffffff,28.0,6.0,0.0
846605bffffffff,8.0,8.0,0.0
8466061ffffffff,20.0,0.0,0.0
8466063ffffffff,19.0,0.0,0.0
8466067ffffffff,430.0,16.0,0.0
8466069ffffffff,25.0,0.0,0.0
846606bffffffff,5.0,0.0,0.0
8466089ffffffff,47.0,0.0,0.0
846608dffffffff,35.0,0.0,0.0
8466091ffffffff,3.0,0.0,0.0
8466093ffffffff,31.0,0.0,0.0
846609bffffffff,45.0,0.0,0.0
84660a1ffffffff,16.0,0.0,0.0
84660a5ffffffff,99.0,2.0,0.0
84660a7ffffffff,314.0,30.0,0.0
84660a9ffffffff,6.0,0.0,0.0
84660adffffffff,62.0,2.0,0.0
84660b1ffffffff,2.0,0.0,0.0
84660b3ffffffff,5.0,0.0,0.0
84660b5ffffffff,13.0,0.0,0.0
84660bbffffffff,19.0,0.0,0.0
84660c5ffffffff,26.0,4.0,0.0
