cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
830c42fffffffff,1.0,0.0,0.0,0.0,0.0
830c46fffffffff,6.0,4.0,0.0,0.0,0.0
830c51fffffffff,4.0,2.0,0.0,0.0,0.0
830c73fffffffff,3.0,3.0,0.0,0.0,0.0
8312b0fffffffff,8.0,0.0,0.0,0.0,0.0
8312b4fffffffff,6.0,0.0,6.0,0.0,0.0
8312b6fffffffff,3.0,0.0,0.0,0.0,0.0
8312c0fffffffff,1.0,0.0,0.0,0.0,0.0
8312c1fffffffff,18.0,0.0,0.0,0.0,0.0
8312cafffffffff,3.0,0.0,0.0,0.0,0.0
8312cbfffffffff,1.0,0.0,0.0,0.0,0.0
8312ccfffffffff,18.0,0.0,0.0,0.0,0.0
8312cefffffffff,3.0,0.0,0.0,0.0,0.0
8312d1fffffffff,1.0,1.0,0.0,0.0,0.0
8312d6fffffffff,2.0,0.0,2.0,0.0,0.0
8312dbfffffffff,2.0,0.0,2.0,0.0,0.0
8312ddfffffffff,9.0,0.0,0.0,0.0,0.0
8312e1fffffffff,12.0,0.0,0.0,0.0,0.0
8312e5fffffffff,2.0,0.0,0.0,0.0,0.0
8312eefffffffff,3.0,0.0,0.0,0.0,0.0
8312f1fffffffff,2.0,0.0,0.0,0.0,0.0
8312f2fffffffff,3.0,0.0,0.0,0.0,0.0
831382fffffffff,30.0,0.0,0.0,0.0,0.0
831383fffffffff,6.0,0.0,0.0,0.0,0.0
831386fffffffff,209.0,0.0,0.0,0.0,0.0
83139efffffffff,6.0,6.0,0.0,0.0,0.0
8313b3fffffffff,9.0,0.0,0.0,0.0,0.0
831d24fffffffff,1.0,0.0,0.0,0.0,0.0
832680fffffffff,6.0,0.0,0.0,0.0,0.0
832681fffffffff,224.0,0.0,0.0,29.0,0.0
832682fffffffff,3.0,0.0,0.0,0.0,0.0
832683fffffffff,3.0,0.0,0.0,0.0,0.0
832685fffffffff,14.0,0.0,0.0,3.0,0.0
832688fffffffff,2.0,0.0,0.0,0.0,0.0
832689fffffffff,22.0,0.0,0.0,5.0,0.0
83268afffffffff,5.0,0.0,0.0,3.0,0.0
83268cfffffffff,51.0,0.0,0.0,12.0,0.0
83268dfffffffff,2.0,0.0,0.0,0.0,0.0
83268efffffffff,13.0,0.0,0.0,7.0,0.0
832690fffffffff,1.0,0.0,0.0,0.0,0.0
832696fffffffff,238.0,0.0,0.0,208.0,0.0
832698fffffffff,2.0,0.0,0.0,0.0,0.0
832699fffffffff,7.0,0.0,0.0,0.0,0.0
83269bfffffffff,1.0,0.0,0.0,0.0,0.0
83269cfffffffff,5.0,0.0,0.0,3.0,0.0
83269dfffffffff,18.0,0.0,0.0,2.0,0.0
83269efffffffff,3.0,0.0,0.0,3.0,0.0
8326a1fffffffff,5.0,0.0,0.0,0.0,0.0
8326aafffffffff,14.0,0.0,0.0,0.0,0.0
8326aefffffffff,14.0,0.0,0.0,0.0,0.0
8326b6fffffffff,1.0,0.0,1.0,0.0,0.0
8326d4fffffffff,62.0,0.0,0.0,0.0,0.0
8326d6fffffffff,8.0,0.0,0.0,0.0,0.0
832792fffffffff,3.0,0.0,3.0,0.0,0.0
832793fffffffff,2.0,0.0,0.0,0.0,0.0
83279afffffffff,15.0,0.0,3.0,0.0,0.0
832800fffffffff,9.0,1.0,0.0,0.0,0.0
832802fffffffff,79.0,31.0,0.0,0.0,0.0
832806fffffffff,7.0,7.0,0.0,0.0,0.0
832810fffffffff,12.0,7.0,0.0,0.0,0.0
832811fffffffff,2.0,2.0,0.0,0.0,0.0
832812fffffffff,1.0,1.0,0.0,0.0,0.0
832814fffffffff,30.0,9.0,0.0,0.0,0.0
832815fffffffff,198.0,1.0,0.0,0.0,0.0
832818fffffffff,2.0,0.0,0.0,0.0,0.0
83281cfffffffff,7.0,7.0,0.0,0.0,0.0
83281efffffffff,17.0,2.0,0.0,0.0,0.0
832830fffffffff,227.0,20.0,0.0,0.0,0.0
832831fffffffff,3.0,2.0,0.0,0.0,0.0
832832fffffffff,90.0,20.0,0.0,0.0,0.0
832833fffffffff,92.0,0.0,0.0,0.0,0.0
832834fffffffff,54.0,37.0,0.0,0.0,0.0
832836fffffffff,26.0,0.0,0.0,0.0,0.0
832880fffffffff,19.0,0.0,0.0,0.0,0.0
832881fffffffff,8.0,6.0,2.0,0.0,0.0
832884fffffffff,85.0,2.0,0.0,0.0,0.0
832886fffffffff,33.0,0.0,16.0,0.0,0.0
832889fffffffff,6.0,1.0,0.0,0.0,0.0
83288afffffffff,31.0,1.0,0.0,0.0,0.0
83288cfffffffff,31.0,15.0,15.0,0.0,0.0
83288dfffffffff,3.0,0.0,0.0,0.0,0.0
83288efffffffff,1.0,0.0,0.0,0.0,0.0
832892fffffffff,2.0,0.0,0.0,0.0,0.0
832898fffffffff,9.0,8.0,0.0,0.0,0.0
8328a1fffffffff,2.0,2.0,0.0,0.0,0.0
8328a3fffffffff,1.0,0.0,0.0,0.0,0.0
8328a9fffffffff,9.0,3.0,0.0,0.0,0.0
8328aafffffffff,2.0,2.0,0.0,0.0,0.0
8328adfffffffff,3.0,2.0,0.0,0.0,0.0
8328aefffffffff,1.0,0.0,1.0,0.0,0.0
8328b6fffffffff,7.0,0.0,0.0,2.0,0.0
8328c2fffffffff,1.0,1.0,0.0,0.0,0.0
8328c6fffffffff,4.0,0.0,0.0,0.0,0.0
8328d1fffffffff,2.0,2.0,0.0,0.0,0.0
8328d3fffffffff,5.0,2.0,0.0,0.0,0.0
8328d4fffffffff,2.0,0.0,0.0,0.0,0.0
8328d5fffffffff,5.0,1.0,2.0,0.0,0.0
8328dafffffffff,10.0,10.0,0.0,0.0,0.0
8328dcfffffffff,29.0,6.0,0.0,0.0,0.0
8328defffffffff,5.0,1.0,0.0,0.0,0.0
8328f0fffffffff,50.0,4.0,0.0,0.0,0.0
8328f1fffffffff,3.0,2.0,0.0,0.0,0.0
8328f2fffffffff,8.0,3.0,0.0,0.0,0.0
8328f4fffffffff,7.0,0.0,0.0,0.0,0.0
8328f5fffffffff,8.0,0.0,0.0,0.0,0.0
8328f6fffffffff,4.0,2.0,0.0,0.0,0.0
832913fffffffff,3.0,0.0,0.0,0.0,0.0
83291afffffffff,20.0,8.0,0.0,0.0,0.0
832980fffffffff,2.0,0.0,0.0,2.0,0.0
832986fffffffff,2.0,0.0,0.0,2.0,0.0
832989fffffffff,39.0,29.0,0.0,0.0,0.0
83298cfffffffff,5.0,4.0,0.0,0.0,0.0
83298dfffffffff,5.0,0.0,0.0,0.0,0.0
832990fffffffff,2.0,0.0,0.0,0.0,0.0
832994fffffffff,24.0,0.0,0.0,24.0,0.0
832995fffffffff,1.0,0.0,0.0,0.0,0.0
832998fffffffff,2.0,0.0,0.0,0.0,0.0
832999fffffffff,3.0,0.0,0.0,0.0,0.0
83299bfffffffff,22.0,0.0,0.0,0.0,0.0
83299efffffffff,12.0,0.0,0.0,1.0,0.0
8329a0fffffffff,87.0,8.0,0.0,0.0,0.0
8329a1fffffffff,3.0,0.0,0.0,0.0,0.0
8329a4fffffffff,13.0,10.0,0.0,0.0,0.0
8329a6fffffffff,3.0,2.0,0.0,0.0,0.0
8329a9fffffffff,11.0,2.0,0.0,0.0,0.0
8329aafffffffff,16.0,15.0,0.0,0.0,0.0
8329abfffffffff,2.0,0.0,0.0,0.0,0.0
8329acfffffffff,4.0,2.0,0.0,0.0,0.0
8329adfffffffff,2.0,2.0,0.0,0.0,0.0
8329aefffffffff,1.0,0.0,0.0,0.0,0.0
8329b2fffffffff,10.0,0.0,0.0,10.0,0.0
8329b6fffffffff,2.0,0.0,0.0,0.0,0.0
834524fffffffff,29.0,0.0,0.0,0.0,19.0
834535fffffffff,3.0,0.0,0.0,0.0,0.0
834833fffffffff,1.0,0.0,0.0,0.0,0.0
8348abfffffffff,5.0,0.0,0.0,0.0,0.0
8348c0fffffffff,5.0,0.0,0.0,0.0,0.0
8348c1fffffffff,2.0,0.0,0.0,0.0,0.0
8348c5fffffffff,23.0,0.0,0.0,20.0,0.0
8348c6fffffffff,84.0,0.0,0.0,5.0,0.0
8348c9fffffffff,68.0,0.0,0.0,67.0,0.0
8348ccfffffffff,6.0,0.0,0.0,0.0,0.0
8348cdfffffffff,71.0,0.0,0.0,28.0,0.0
8348d4fffffffff,13.0,0.0,0.0,2.0,0.0
8348d5fffffffff,2.0,0.0,0.0,0.0,0.0
8348d8fffffffff,36.0,0.0,0.0,32.0,0.0
8348dafffffffff,2.0,0.0,0.0,0.0,0.0
8348dcfffffffff,2.0,0.0,0.0,0.0,0.0
8348defffffffff,1.0,0.0,0.0,0.0,0.0
8348e3fffffffff,1.0,0.0,0.0,0.0,0.0
8348e8fffffffff,359.0,0.0,0.0,65.0,0.0
8348eafffffffff,35.0,0.0,0.0,1.0,0.0
8348ebfffffffff,155.0,0.0,0.0,52.0,0.0
8348ecfffffffff,2.0,0.0,0.0,0.0,0.0
8348eefffffffff,213.0,0.0,0.0,33.0,0.0
8348f2fffffffff,38.0,0.0,0.0,2.0,0.0
8348f3fffffffff,2.0,0.0,0.0,0.0,0.0
834980fffffffff,2.0,0.0,0.0,0.0,2.0
834982fffffffff,6.0,0.0,0.0,0.0,6.0
834983fffffffff,2.0,0.0,0.0,0.0,0.0
834988fffffffff,3.0,0.0,0.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0,0.0,0.0
834996fffffffff,3.0,0.0,0.0,0.0,0.0
83499cfffffffff,3.0,0.0,0.0,0.0,3.0
8349aafffffffff,2.0,0.0,0.0,0.0,0.0
8349b1fffffffff,17.0,0.0,0.0,0.0,17.0
836d21fffffffff,2.0,0.0,0.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0,0.0,0.0
836d28fffffffff,30.0,0.0,0.0,0.0,11.0
836d29fffffffff,10.0,0.0,0.0,0.0,3.0
836d2bfffffffff,1.0,0.0,0.0,0.0,0.0
836d2dfffffffff,5.0,0.0,0.0,0.0,0.0
836d33fffffffff,2.0,0.0,0.0,0.0,0.0
836d64fffffffff,3.0,0.0,0.0,0.0,3.0
836d65fffffffff,1.0,0.0,0.0,0.0,1.0
