cell_id,Ramphastos vitellinus,Ramphastos vitellinus citreolaemus,Ramphastos vitellinus culminatus/pintoi,Ramphastos vitellinus vitellinus,Ramphastos vitellinus ariel,Ramphastos vitellinus citreolaemus x culminatus,Ramphastos vitellinus culminatus x vitellinus,Ramphastos vitellinus culminatus x ariel
835e66fffffffff,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
835f1cfffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
835f58fffffffff,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
835f5bfffffffff,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
83660afffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83660efffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836611fffffffff,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83661cfffffffff,134.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
83661dfffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836641fffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
836648fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d8fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dafffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
83806afffffffff,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
83806efffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
838145fffffffff,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
838163fffffffff,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
838171fffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
838181fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838183fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838185fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8381a1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838a80fffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
838a9cfffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
838b42fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
838b44fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
838b71fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
838bb5fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
838f73fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83a812fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83a831fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83a882fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83a891fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83a8a1fffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
83a8c0fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
83a8c2fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83a8ecfffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
