cell_id,Fregata magnificens,Fregata magnificens rothschildi,Fregata magnificens magnificens
821a0ffffffffff,1.0,0.0,0.0
821ab7fffffffff,1.0,0.0,0.0
822647fffffffff,10.0,0.0,0.0
82264ffffffffff,20.0,0.0,0.0
822667fffffffff,13.0,0.0,0.0
822677fffffffff,1.0,0.0,0.0
82268ffffffffff,20.0,0.0,0.0
8226c7fffffffff,2.0,0.0,0.0
8226dffffffffff,2.0,0.0,0.0
8226e7fffffffff,3.0,0.0,0.0
8226effffffffff,6.0,0.0,0.0
82274ffffffffff,25.0,0.0,0.0
822837fffffffff,2.0,0.0,0.0
8228d7fffffffff,2.0,0.0,0.0
822917fffffffff,2.0,0.0,0.0
82298ffffffffff,2.0,0.0,0.0
822997fffffffff,7.0,0.0,0.0
8229a7fffffffff,123.0,0.0,0.0
8229affffffffff,2.0,0.0,0.0
8229b7fffffffff,3.0,0.0,0.0
822a07fffffffff,16.0,0.0,0.0
822a17fffffffff,5.0,0.0,0.0
822a37fffffffff,30.0,0.0,0.0
822a4ffffffffff,2.0,0.0,0.0
822a87fffffffff,4.0,0.0,0.0
822a9ffffffffff,1.0,0.0,0.0
822aa7fffffffff,4.0,0.0,0.0
822aaffffffffff,63.0,0.0,0.0
822ab7fffffffff,52.0,0.0,0.0
822ad7fffffffff,39.0,0.0,0.0
822af7fffffffff,37.0,0.0,0.0
822b0ffffffffff,4.0,0.0,0.0
822b17fffffffff,2.0,0.0,0.0
822b8ffffffffff,2.0,0.0,0.0
822b9ffffffffff,2.0,0.0,0.0
8235affffffffff,6.0,0.0,0.0
824417fffffffff,69.0,0.0,0.0
82441ffffffffff,157.0,0.0,0.0
824447fffffffff,216.0,0.0,0.0
82444ffffffffff,1.0,0.0,0.0
824457fffffffff,92.0,0.0,0.0
82445ffffffffff,15.0,0.0,0.0
824467fffffffff,39.0,0.0,0.0
82446ffffffffff,98.0,0.0,0.0
824477fffffffff,74.0,0.0,0.0
824487fffffffff,5.0,0.0,0.0
8244a7fffffffff,12.0,0.0,0.0
8244affffffffff,179.0,0.0,0.0
8244b7fffffffff,9.0,0.0,0.0
8244cffffffffff,7.0,0.0,0.0
8244d7fffffffff,28.0,0.0,0.0
8244e7fffffffff,12.0,0.0,0.0
8244effffffffff,7.0,0.0,0.0
8244f7fffffffff,127.0,0.0,0.0
824507fffffffff,11.0,0.0,0.0
82450ffffffffff,9.0,0.0,0.0
824527fffffffff,12.0,0.0,0.0
82452ffffffffff,31.0,0.0,0.0
824557fffffffff,2.0,0.0,0.0
824587fffffffff,30.0,0.0,0.0
8245a7fffffffff,1.0,0.0,0.0
82464ffffffffff,4.0,0.0,0.0
82482ffffffffff,17.0,0.0,0.0
824837fffffffff,2.0,0.0,0.0
824857fffffffff,6.0,0.0,0.0
82485ffffffffff,33.0,0.0,0.0
824877fffffffff,1.0,0.0,0.0
824887fffffffff,8.0,0.0,0.0
824897fffffffff,96.0,0.0,0.0
82489ffffffffff,32.0,0.0,0.0
8248b7fffffffff,76.0,0.0,0.0
8248c7fffffffff,3.0,0.0,0.0
8248effffffffff,1.0,0.0,0.0
824987fffffffff,3.0,0.0,0.0
824997fffffffff,17.0,0.0,0.0
8249affffffffff,4.0,0.0,0.0
824c8ffffffffff,2.0,0.0,0.0
824caffffffffff,1.0,0.0,0.0
824cb7fffffffff,14.0,0.0,0.0
824cc7fffffffff,9.0,0.0,0.0
824cd7fffffffff,3.0,0.0,0.0
824ceffffffffff,142.0,0.0,0.0
824d4ffffffffff,7.0,0.0,0.0
