cell_id,Metallura tyrianthina,Metallura tyrianthina districta,Metallura tyrianthina chloropogon,Metallura tyrianthina oreopola,Metallura tyrianthina tyrianthina/quitensis,Metallura tyrianthina septentrionalis,Metallura tyrianthina smaragdinicollis
82660ffffffffff,1873.0,0.0,0.0,0.0,1.0,0.0,0.0
82661ffffffffff,1768.0,0.0,0.0,0.0,41.0,0.0,0.0
826627fffffffff,4370.0,1408.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,224.0,0.0,0.0,30.0,0.0,0.0,0.0
8266c7fffffffff,748.0,0.0,0.0,0.0,1.0,0.0,0.0
8266d7fffffffff,4673.0,0.0,0.0,0.0,253.0,0.0,0.0
8266dffffffffff,1838.0,0.0,0.0,0.0,110.0,0.0,0.0
8266e7fffffffff,8849.0,0.0,0.0,0.0,144.0,0.0,0.0
8266f7fffffffff,219.0,0.0,0.0,0.0,2.0,0.0,0.0
826747fffffffff,223.0,0.0,10.0,0.0,0.0,0.0,0.0
82674ffffffffff,87.0,0.0,3.0,0.0,0.0,0.0,0.0
82675ffffffffff,152.0,0.0,0.0,0.0,0.0,0.0,0.0
828b27fffffffff,180.0,0.0,0.0,0.0,0.0,0.0,0.0
828b2ffffffffff,204.0,0.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,2228.0,0.0,0.0,0.0,0.0,0.0,120.0
828b6ffffffffff,660.0,0.0,0.0,0.0,0.0,0.0,24.0
828b77fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,162.0,0.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,515.0,0.0,0.0,0.0,0.0,0.0,13.0
828f0ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,468.0,0.0,0.0,0.0,16.0,0.0,0.0
828f47fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
828f57fffffffff,1118.0,0.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,325.0,0.0,0.0,0.0,0.0,0.0,13.0
828f77fffffffff,753.0,0.0,0.0,0.0,4.0,0.0,0.0
82b327fffffffff,174.0,0.0,0.0,0.0,0.0,0.0,0.0
