cell_id,Cercococcyx montanus,Cercococcyx montanus montanus,Cercococcyx montanus patulus
836ac0fffffffff,1.0,0.0,0.0
836ac3fffffffff,1.0,0.0,0.0
836acefffffffff,2.0,0.0,0.0
836adcfffffffff,183.0,0.0,0.0
836adefffffffff,160.0,0.0,0.0
837a45fffffffff,54.0,0.0,0.0
837b48fffffffff,5.0,0.0,0.0
837b4bfffffffff,50.0,0.0,0.0
837b4cfffffffff,1.0,0.0,0.0
837b4dfffffffff,1.0,0.0,0.0
8396b0fffffffff,31.0,0.0,0.0
8396b1fffffffff,1.0,0.0,0.0
8396b2fffffffff,3.0,0.0,0.0
8396b5fffffffff,17.0,0.0,0.0
8396b6fffffffff,19.0,0.0,0.0
8396d2fffffffff,4.0,0.0,0.0
839710fffffffff,2.0,0.0,0.0
839713fffffffff,1.0,0.0,0.0
839788fffffffff,1.0,0.0,0.0
839790fffffffff,1.0,0.0,0.0
839798fffffffff,1.0,0.0,0.0
8397acfffffffff,1.0,0.0,0.0
