cell_id,Geokichla citrina,Geokichla citrina [citrina Group],Geokichla citrina cyanota,Geokichla citrina albogularis/andamanensis,Geokichla citrina [aurimacula Group]
83309bfffffffff,4.0,0.0,0.0,0.0,0.0
833c02fffffffff,11.0,0.0,0.0,0.0,0.0
833c15fffffffff,12.0,8.0,0.0,0.0,0.0
833c1bfffffffff,19.0,0.0,0.0,0.0,0.0
833c1cfffffffff,5.0,0.0,0.0,0.0,0.0
833c1dfffffffff,4.0,0.0,0.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0,0.0,0.0
833c58fffffffff,6.0,0.0,0.0,0.0,0.0
833c88fffffffff,2.0,2.0,0.0,0.0,0.0
833c8cfffffffff,7.0,0.0,3.0,0.0,0.0
833c8dfffffffff,7.0,0.0,0.0,0.0,0.0
833c8efffffffff,3.0,0.0,0.0,0.0,0.0
833c96fffffffff,3.0,3.0,0.0,0.0,0.0
833c9dfffffffff,2.0,0.0,0.0,0.0,0.0
833ca8fffffffff,1.0,0.0,0.0,0.0,0.0
833cb6fffffffff,1.0,0.0,1.0,0.0,0.0
833ce4fffffffff,2.0,0.0,0.0,0.0,0.0
833cf0fffffffff,10.0,0.0,0.0,0.0,0.0
833cf2fffffffff,43.0,5.0,0.0,0.0,0.0
833cf6fffffffff,3.0,0.0,0.0,0.0,0.0
833d10fffffffff,86.0,0.0,0.0,0.0,0.0
833d13fffffffff,2.0,0.0,0.0,0.0,0.0
833d1efffffffff,3.0,0.0,0.0,0.0,0.0
833d30fffffffff,3.0,0.0,0.0,0.0,0.0
833d33fffffffff,1.0,0.0,0.0,0.0,0.0
833d34fffffffff,1.0,0.0,0.0,0.0,0.0
833d36fffffffff,29.0,0.0,0.0,0.0,0.0
833d84fffffffff,4.0,0.0,0.0,0.0,0.0
833d85fffffffff,8.0,3.0,0.0,0.0,0.0
833d8cfffffffff,5.0,0.0,0.0,0.0,0.0
833d8dfffffffff,38.0,3.0,0.0,0.0,0.0
833d9efffffffff,2.0,0.0,0.0,0.0,0.0
833da1fffffffff,20.0,1.0,0.0,0.0,0.0
833da3fffffffff,27.0,0.0,0.0,0.0,0.0
833da9fffffffff,2.0,0.0,0.0,0.0,0.0
833dadfffffffff,26.0,2.0,0.0,0.0,0.0
833db2fffffffff,4.0,0.0,0.0,0.0,0.0
833db6fffffffff,8.0,0.0,0.0,0.0,0.0
834045fffffffff,2.0,0.0,0.0,0.0,2.0
83416dfffffffff,3.0,0.0,0.0,0.0,3.0
834171fffffffff,3.0,0.0,0.0,0.0,3.0
