cell_id,Pycnonotus sinensis,Pycnonotus sinensis sinensis,Pycnonotus sinensis hainanus,Pycnonotus sinensis formosae/orii
8224c7fffffffff,2.0,0.0,0.0,0.0
8224d7fffffffff,9.0,0.0,0.0,0.0
823007fffffffff,32.0,0.0,0.0,0.0
823017fffffffff,39.0,0.0,0.0,0.0
82301ffffffffff,106.0,0.0,0.0,0.0
823027fffffffff,6.0,0.0,0.0,0.0
823037fffffffff,86.0,0.0,0.0,0.0
823087fffffffff,229.0,41.0,0.0,0.0
823097fffffffff,197.0,28.0,0.0,0.0
82309ffffffffff,3161.0,753.0,0.0,0.0
8230a7fffffffff,19.0,1.0,0.0,0.0
8230affffffffff,51.0,0.0,0.0,0.0
8230b7fffffffff,7.0,0.0,0.0,0.0
8230c7fffffffff,51.0,1.0,0.0,0.0
8230cffffffffff,7.0,7.0,0.0,0.0
8230d7fffffffff,77.0,0.0,0.0,0.0
8230e7fffffffff,157.0,0.0,0.0,0.0
8230effffffffff,29.0,10.0,0.0,0.0
8230f7fffffffff,2.0,0.0,0.0,0.0
82315ffffffffff,1.0,0.0,0.0,0.0
823187fffffffff,562.0,66.0,0.0,0.0
82318ffffffffff,1032.0,17.0,0.0,0.0
823197fffffffff,20.0,0.0,0.0,0.0
82319ffffffffff,8.0,0.0,0.0,0.0
8231affffffffff,1877.0,214.0,0.0,0.0
8231b7fffffffff,6.0,0.0,0.0,0.0
824007fffffffff,15.0,0.0,0.0,0.0
82400ffffffffff,14.0,0.0,0.0,0.0
824017fffffffff,11.0,6.0,0.0,0.0
82401ffffffffff,33.0,0.0,0.0,0.0
824027fffffffff,46.0,2.0,0.0,0.0
82402ffffffffff,303.0,24.0,264.0,0.0
824037fffffffff,46.0,0.0,0.0,0.0
82404ffffffffff,2.0,0.0,0.0,0.0
824067fffffffff,5.0,0.0,0.0,0.0
824077fffffffff,5.0,0.0,0.0,0.0
824087fffffffff,3.0,0.0,0.0,0.0
82408ffffffffff,80.0,7.0,0.0,0.0
824097fffffffff,37.0,0.0,0.0,0.0
8240a7fffffffff,79.0,3.0,0.0,0.0
8240affffffffff,18.0,1.0,0.0,0.0
8240b7fffffffff,90.0,0.0,0.0,0.0
8240c7fffffffff,22.0,0.0,0.0,0.0
8240d7fffffffff,4.0,0.0,0.0,0.0
8240e7fffffffff,373.0,51.0,0.0,0.0
8240effffffffff,75.0,13.0,0.0,0.0
8240f7fffffffff,4.0,0.0,0.0,0.0
824107fffffffff,395.0,61.0,4.0,0.0
82410ffffffffff,59.0,2.0,15.0,0.0
824117fffffffff,55.0,2.0,0.0,0.0
82411ffffffffff,5324.0,1466.0,5.0,0.0
824137fffffffff,1.0,0.0,0.0,0.0
824147fffffffff,70.0,1.0,8.0,0.0
824157fffffffff,75.0,7.0,37.0,0.0
82415ffffffffff,33.0,7.0,4.0,0.0
824167fffffffff,2.0,0.0,0.0,0.0
824177fffffffff,470.0,4.0,317.0,0.0
824187fffffffff,127.0,6.0,0.0,0.0
82418ffffffffff,47.0,2.0,0.0,0.0
824197fffffffff,776.0,400.0,0.0,0.0
82419ffffffffff,195.0,14.0,0.0,0.0
8241a7fffffffff,10877.0,5754.0,0.0,0.0
8241affffffffff,12.0,0.0,0.0,0.0
8241b7fffffffff,9939.0,2618.0,0.0,0.0
824a27fffffffff,323.0,0.0,0.0,21.0
824b1ffffffffff,6.0,0.0,0.0,0.0
824b37fffffffff,233.0,117.0,0.0,0.0
824b87fffffffff,93.0,0.0,0.0,6.0
824ba7fffffffff,88079.0,0.0,0.0,7121.0
824baffffffffff,57.0,0.0,0.0,3.0
824bb7fffffffff,37672.0,0.0,0.0,6253.0
