cell_id,Lonchura punctulata,Lonchura punctulata punctulata,Lonchura punctulata [nisoria Group]
84209a5ffffffff,92.0,0.0,0.0
84209a7ffffffff,6.0,0.0,0.0
84209e7ffffffff,10.0,0.0,0.0
8428341ffffffff,2.0,0.0,0.0
842834dffffffff,18.0,5.0,0.0
8429125ffffffff,61.0,0.0,0.0
8429127ffffffff,1093.0,0.0,0.0
8429135ffffffff,34.0,0.0,0.0
8429137ffffffff,11.0,0.0,0.0
84291a7ffffffff,162.0,62.0,0.0
8429a01ffffffff,399.0,5.0,0.0
8429a03ffffffff,52.0,0.0,0.0
8429a09ffffffff,871.0,24.0,0.0
8429a0bffffffff,3622.0,180.0,0.0
8429a0dffffffff,1.0,0.0,0.0
8429a11ffffffff,26.0,0.0,0.0
8429a15ffffffff,2.0,0.0,0.0
8429a19ffffffff,465.0,19.0,0.0
8429a1bffffffff,295.0,0.0,0.0
8429a1dffffffff,3216.0,125.0,0.0
8429a41ffffffff,6058.0,0.0,0.0
8429a43ffffffff,535.0,0.0,0.0
8429a45ffffffff,266.0,0.0,0.0
8429a47ffffffff,2360.0,0.0,0.0
8429a4dffffffff,472.0,0.0,0.0
8429a55ffffffff,4384.0,120.0,0.0
8429a57ffffffff,7415.0,273.0,0.0
8429a99ffffffff,2.0,0.0,0.0
8429ac9ffffffff,2429.0,0.0,0.0
8429acbffffffff,8.0,0.0,0.0
8429ad1ffffffff,204.0,0.0,0.0
8429ad3ffffffff,5.0,0.0,0.0
8429ad9ffffffff,7.0,0.0,0.0
8429addffffffff,1341.0,0.0,0.0
8430833ffffffff,2.0,0.0,0.0
8430839ffffffff,3.0,0.0,0.0
8430919ffffffff,1.0,0.0,0.0
843091dffffffff,2.0,0.0,0.0
8430981ffffffff,3.0,0.0,0.0
8430983ffffffff,1.0,0.0,0.0
8430985ffffffff,8.0,0.0,0.0
8430987ffffffff,2.0,0.0,0.0
8430989ffffffff,4.0,0.0,0.0
843098dffffffff,4.0,0.0,0.0
8430991ffffffff,2.0,0.0,0.0
8430995ffffffff,9.0,0.0,2.0
84309a3ffffffff,5.0,0.0,0.0
84309a5ffffffff,35.0,0.0,0.0
84309adffffffff,14.0,0.0,0.0
84309b1ffffffff,2.0,0.0,0.0
84309b3ffffffff,7.0,0.0,0.0
84309b5ffffffff,7.0,0.0,0.0
84309b9ffffffff,2.0,0.0,0.0
84309bdffffffff,9.0,0.0,0.0
84309e3ffffffff,6.0,0.0,0.0
84309e7ffffffff,3.0,0.0,1.0
