cell_id,Turdus albicollis,Turdus albicollis [phaeopygus Group],Turdus albicollis [albicollis Group]
835f40fffffffff,1.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0
835f58fffffffff,4.0,4.0,0.0
835f5bfffffffff,15.0,5.0,0.0
8366defffffffff,3.0,3.0,0.0
836742fffffffff,4.0,0.0,0.0
83674cfffffffff,4.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
838136fffffffff,2.0,0.0,2.0
838181fffffffff,24.0,0.0,0.0
838185fffffffff,4.0,0.0,0.0
838b22fffffffff,10.0,0.0,9.0
838e64fffffffff,5.0,5.0,0.0
83a831fffffffff,2.0,0.0,2.0
83a882fffffffff,3.0,0.0,3.0
83a891fffffffff,1.0,0.0,1.0
83a92cfffffffff,4.0,0.0,0.0
83a92dfffffffff,8.0,0.0,0.0
83a971fffffffff,7.0,0.0,0.0
83a973fffffffff,4.0,0.0,0.0
83b25efffffffff,1.0,0.0,0.0
83c2d0fffffffff,2.0,0.0,0.0
83c2d8fffffffff,2.0,0.0,0.0
83c2d9fffffffff,7.0,0.0,0.0
83c2f3fffffffff,4.0,0.0,0.0
