cell_id,Cisticola erythrops,Cisticola erythrops [erythrops Group],Cisticola erythrops lepe
835291fffffffff,3.0,0.0,0.0
835298fffffffff,1.0,0.0,0.0
83529bfffffffff,2.0,0.0,0.0
83541bfffffffff,6.0,0.0,0.0
8354a9fffffffff,7.0,0.0,0.0
8354e2fffffffff,1.0,0.0,0.0
8354e5fffffffff,2.0,0.0,0.0
8354e8fffffffff,9.0,0.0,0.0
8354f1fffffffff,2.0,0.0,0.0
8354f5fffffffff,2.0,0.0,0.0
835881fffffffff,2.0,0.0,0.0
835883fffffffff,4.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0
835888fffffffff,1.0,0.0,0.0
835890fffffffff,9.0,0.0,0.0
835894fffffffff,3.0,0.0,0.0
835896fffffffff,22.0,5.0,0.0
8358b3fffffffff,3.0,0.0,0.0
8358c6fffffffff,1.0,0.0,0.0
8358dbfffffffff,2.0,0.0,0.0
8358defffffffff,2.0,0.0,0.0
8358e2fffffffff,4.0,0.0,0.0
8358e6fffffffff,13.0,0.0,0.0
8358f5fffffffff,2.0,0.0,0.0
836a45fffffffff,9.0,1.0,0.0
836a5afffffffff,9.0,0.0,0.0
836a61fffffffff,3.0,0.0,0.0
836a69fffffffff,10.0,0.0,0.0
836ac0fffffffff,83.0,9.0,0.0
836ac1fffffffff,315.0,58.0,0.0
836ac3fffffffff,225.0,16.0,0.0
836ac8fffffffff,92.0,9.0,0.0
836ac9fffffffff,41.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836accfffffffff,32.0,2.0,0.0
836acdfffffffff,22.0,5.0,0.0
836acefffffffff,31.0,0.0,0.0
836ad8fffffffff,29.0,0.0,0.0
836adcfffffffff,81.0,4.0,0.0
836addfffffffff,3.0,0.0,0.0
836adefffffffff,41.0,0.0,0.0
836ae0fffffffff,2.0,0.0,0.0
836ae8fffffffff,37.0,0.0,0.0
836aeafffffffff,268.0,16.0,0.0
836aebfffffffff,8.0,0.0,0.0
836aeefffffffff,13.0,0.0,0.0
836af5fffffffff,2.0,0.0,0.0
836b9afffffffff,1.0,0.0,0.0
837508fffffffff,4.0,1.0,0.0
837509fffffffff,6.0,0.0,0.0
83750cfffffffff,2.0,2.0,0.0
83750dfffffffff,253.0,63.0,0.0
837519fffffffff,4.0,0.0,0.0
837520fffffffff,44.0,10.0,0.0
837529fffffffff,137.0,23.0,0.0
83752afffffffff,29.0,14.0,0.0
83752bfffffffff,12.0,6.0,0.0
83752dfffffffff,1.0,0.0,0.0
83752efffffffff,4.0,2.0,0.0
837574fffffffff,1.0,0.0,0.0
837576fffffffff,22.0,5.0,0.0
8375a0fffffffff,4.0,0.0,0.0
8375a3fffffffff,1.0,0.0,0.0
837a40fffffffff,2.0,0.0,0.0
837a45fffffffff,89.0,0.0,0.0
837a48fffffffff,21.0,0.0,0.0
837a49fffffffff,1.0,0.0,0.0
