cell_id,Centropus sinensis,Centropus sinensis [sinensis Group],Centropus sinensis parroti
833c02fffffffff,2.0,0.0,0.0
833c0afffffffff,4.0,0.0,0.0
833c15fffffffff,7.0,7.0,0.0
833c19fffffffff,2.0,0.0,0.0
833c1cfffffffff,10.0,0.0,0.0
833c36fffffffff,5.0,5.0,0.0
833c52fffffffff,2.0,0.0,0.0
833c58fffffffff,47.0,0.0,0.0
833c5afffffffff,5.0,0.0,0.0
833c83fffffffff,3.0,0.0,0.0
833c88fffffffff,15.0,0.0,6.0
833c8dfffffffff,3.0,0.0,0.0
833c90fffffffff,2.0,0.0,2.0
833c91fffffffff,5.0,0.0,5.0
833c92fffffffff,25.0,0.0,25.0
833c93fffffffff,143.0,0.0,140.0
833c96fffffffff,2.0,0.0,2.0
833c9dfffffffff,5.0,0.0,2.0
833c9efffffffff,7.0,0.0,7.0
833ca0fffffffff,2.0,0.0,0.0
833ca9fffffffff,4.0,1.0,2.0
833cb1fffffffff,5.0,0.0,3.0
833cb3fffffffff,2.0,0.0,2.0
833cb4fffffffff,7.0,0.0,7.0
833cb5fffffffff,3.0,0.0,3.0
833cb6fffffffff,15.0,0.0,15.0
833cccfffffffff,14.0,0.0,0.0
833ce5fffffffff,1.0,0.0,0.0
833ceafffffffff,3.0,0.0,0.0
833cedfffffffff,1.0,0.0,0.0
833cf0fffffffff,8.0,0.0,3.0
833cf2fffffffff,27.0,0.0,4.0
833cf6fffffffff,13.0,0.0,5.0
833d10fffffffff,45.0,4.0,0.0
833d14fffffffff,2.0,2.0,0.0
833d16fffffffff,4.0,4.0,0.0
833d32fffffffff,3.0,0.0,0.0
833d84fffffffff,31.0,0.0,31.0
833d85fffffffff,11.0,4.0,7.0
833d89fffffffff,2.0,2.0,0.0
833d8dfffffffff,23.0,17.0,5.0
833d91fffffffff,3.0,0.0,3.0
833d96fffffffff,15.0,0.0,15.0
833d99fffffffff,9.0,0.0,9.0
833d9bfffffffff,1.0,0.0,1.0
833d9dfffffffff,2.0,0.0,2.0
833d9efffffffff,25.0,0.0,25.0
833da1fffffffff,17.0,13.0,4.0
833da3fffffffff,51.0,8.0,36.0
833da5fffffffff,4.0,4.0,0.0
833da6fffffffff,8.0,0.0,8.0
833da9fffffffff,4.0,4.0,0.0
833dacfffffffff,2.0,2.0,0.0
833dadfffffffff,21.0,0.0,0.0
833db1fffffffff,6.0,0.0,6.0
833db2fffffffff,3.0,0.0,3.0
833db3fffffffff,2.0,0.0,2.0
833db5fffffffff,13.0,0.0,13.0
833db6fffffffff,14.0,0.0,14.0
83400afffffffff,2.0,0.0,0.0
83411cfffffffff,6.0,6.0,0.0
834194fffffffff,2.0,0.0,0.0
8341a0fffffffff,3.0,3.0,0.0
8341a4fffffffff,4.0,0.0,0.0
8341a5fffffffff,1.0,0.0,0.0
8341adfffffffff,2.0,0.0,0.0
8341b0fffffffff,1.0,1.0,0.0
8341b5fffffffff,3.0,1.0,0.0
83425afffffffff,2.0,0.0,2.0
8342c0fffffffff,13.0,0.0,13.0
8342c1fffffffff,31.0,0.0,30.0
8342c2fffffffff,39.0,0.0,39.0
8342c3fffffffff,9.0,0.0,9.0
8342c4fffffffff,17.0,0.0,17.0
8342c5fffffffff,4.0,0.0,4.0
8342cafffffffff,39.0,0.0,39.0
8342cbfffffffff,4.0,0.0,4.0
8342ccfffffffff,108.0,0.0,108.0
8342cdfffffffff,4.0,0.0,4.0
8342cefffffffff,50.0,0.0,50.0
8342d9fffffffff,41.0,0.0,41.0
8342dbfffffffff,71.0,0.0,71.0
8342dcfffffffff,10.0,0.0,10.0
8342ddfffffffff,21.0,0.0,21.0
8342e2fffffffff,6.0,0.0,6.0
8342ebfffffffff,8.0,0.0,8.0
836002fffffffff,188.0,0.0,178.0
836004fffffffff,89.0,0.0,78.0
836006fffffffff,184.0,0.0,169.0
836011fffffffff,39.0,0.0,39.0
836012fffffffff,2.0,0.0,2.0
836013fffffffff,2.0,0.0,2.0
836014fffffffff,185.0,0.0,180.0
836015fffffffff,325.0,0.0,322.0
836016fffffffff,72.0,0.0,68.0
83601efffffffff,84.0,0.0,82.0
836022fffffffff,319.0,0.0,257.0
836026fffffffff,160.0,0.0,100.0
836031fffffffff,765.0,0.0,701.0
836032fffffffff,4.0,0.0,2.0
836033fffffffff,55.0,0.0,46.0
836035fffffffff,29.0,0.0,13.0
836080fffffffff,10.0,0.0,10.0
836081fffffffff,7.0,0.0,7.0
836085fffffffff,2.0,0.0,2.0
836088fffffffff,854.0,0.0,854.0
83608afffffffff,29.0,0.0,29.0
83608bfffffffff,465.0,0.0,459.0
83608cfffffffff,8.0,0.0,8.0
83608dfffffffff,53.0,0.0,53.0
83608efffffffff,181.0,0.0,181.0
836090fffffffff,82.0,0.0,82.0
836091fffffffff,2.0,0.0,2.0
836092fffffffff,11.0,0.0,11.0
836093fffffffff,14.0,0.0,13.0
836094fffffffff,45.0,0.0,45.0
836095fffffffff,2.0,0.0,2.0
836096fffffffff,40.0,0.0,40.0
836098fffffffff,21.0,0.0,21.0
836099fffffffff,268.0,0.0,268.0
83609afffffffff,3.0,0.0,3.0
83609bfffffffff,9.0,0.0,9.0
83609cfffffffff,2.0,0.0,2.0
83609dfffffffff,4.0,0.0,4.0
83609efffffffff,1654.0,0.0,1654.0
8360a0fffffffff,15.0,0.0,14.0
8360a1fffffffff,13.0,0.0,13.0
8360a2fffffffff,4.0,0.0,2.0
8360a5fffffffff,5.0,0.0,5.0
8360a8fffffffff,21.0,0.0,21.0
8360a9fffffffff,49.0,0.0,48.0
8360aafffffffff,71.0,0.0,71.0
8360abfffffffff,122.0,0.0,122.0
8360adfffffffff,30.0,0.0,30.0
8360b1fffffffff,12.0,0.0,0.0
8360b2fffffffff,3.0,0.0,3.0
8360b5fffffffff,6.0,0.0,2.0
8360f6fffffffff,4.0,0.0,4.0
836100fffffffff,2.0,0.0,2.0
836188fffffffff,328.0,0.0,327.0
836189fffffffff,77.0,0.0,75.0
83618afffffffff,15.0,0.0,15.0
83618bfffffffff,51.0,0.0,15.0
83618cfffffffff,8.0,0.0,0.0
83618efffffffff,26.0,0.0,26.0
836198fffffffff,2.0,0.0,2.0
83619afffffffff,13.0,0.0,7.0
83619efffffffff,18.0,0.0,18.0
8361abfffffffff,3.0,0.0,0.0
836432fffffffff,1.0,1.0,0.0
